# Wordlist

# DATA
ID	COGID	POS	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	ALIGNMENT
6091	1128	other	all	Written_Burmese		962.26			all1 all2 all3	bad concept	12 11 5	TBL		98	hmɑn²tθɑ¹hmjɑ¹	hmɑn²tθɑ¹hmjɑ¹	all / everything	m̥ a n ² + s a ¹ + m̥ j a ¹	394550	m̥ a n ² ◦ s a ¹ ◦ m̥ j a ¹
#
129	1127	other	bad	Achang_Longchuan	bad	1053.28	Achang (Longchuan) TBL	tɕa⁵⁵  | 1053.28	bad		1013	TBL		1292	tɕa⁵⁵	tɕa⁵⁵	bad	tɕ a ⁵⁵	399200	tɕ a ⁵⁵
131	16	other	bad	Atsi	bad	1053.3	Atsi [Zaiwa] TBL	then²¹  | 1053.30	bad		1012	TBL		1292	then²¹	then²¹	bad	tʰ e n ²¹	399202	tʰ e n ²¹
132	1131	other	bad	Bola	bad	1053.32	Bola (Luxi) TBL	a³¹ kai⁵⁵  | 1053.32	not good		1011 986	TBL		1292	a³¹kai⁵⁵	a³¹kai⁵⁵	bad	a ³¹ + k a i ⁵⁵	399204	- a - ³¹ ◦ k a i ⁵⁵
135	54	other	bad	Lashi	bad	1053.33	Leqi (Luxi) TBL	pjɔːʔ³¹  | 1053.33	bad		1023	TBL		1292	pjɔːʔ³¹	pjɔːʔ³¹	bad	p j ɔː ʔ ³¹	399205	p j ɔː ʔ ³¹
136	1131	other	bad	Maru	bad	1053.31	Langsu (Luxi) TBL	kɔi³⁵  | 1053.31	bad		986	TBL		1292	kɔi³⁵	kɔi³⁵	bad	k ɔ i ³⁵	399203	k ɔ i ³⁵
137	1127	other	bad	Xiandao	bad	1053.29	Achang (Xiandao) TBL	n³¹ cɛ⁵⁵  | 1053.29	not good		55 1014	TBL		1292	n³¹cɛ⁵⁵	n³¹cɛ⁵⁵	bad	n ³¹ + c ɛ ⁵⁵	399201	n ³¹ ◦ c ɛ ⁵⁵
5367	1147	other	bad	Rangoon		1053.27			bad1		56	TBL		1292	sho⁵⁵	sho⁵⁵	bad	sʰ o ⁵⁵	399199	sʰ o ⁵⁵
5368	1130	other	bad	Rangoon		1053.27			bad2		987	TBL		1292	ȵɑ̃⁵³	ȵɑ̃⁵³	bad	nʲ ɑ̃ ∼ ⁵³	399231	nʲ ɑ̃ ∼ ⁵³
5807	1147	other	bad	Written_Burmese		1053.26			bad1		56	TBL		1292	sho³	sho³	bad	tsʰ ə ³	399198	tsʰ ə ³
5808	1130	other	bad	Written_Burmese		1053.26			bad2		987	TBL		1292	ȵɑṁ¹	ȵɑṁ¹	bad	ŋʲ a m ¹	399230	ŋʲ a m ¹
#
6168	129		below, under	Written_Burmese	below / under	732.26	Burmese (Written)	ɔk⁴	under		66	TBL		1485		ɔk⁴		o k ⁴	32855	- o k ⁴
6326	130		below, under	Atsi	below / under	732.3	Atsi [Zaiwa]	o̱⁵¹mai²¹	under on		66 65	TBL		1485		o̱⁵¹mai²¹		o̰ ⁵¹ + m a i ²¹	42050	- o̰ - ⁵¹ ◦ m a i ²¹
6451	134		below, under	Bola	below / under	732.32	Bola (Luxi)	a³¹a⁵⁵	a-prefix under		1293 1294	TBL		1485		a³¹a⁵⁵		a ³¹ + a ⁵⁵	45690	a ³¹ ◦ a ⁵⁵
6524	132		below, under	Achang_Longchuan	below / under	732.28	Achang (Longchuan)	a³¹the⁵¹	a-prefix below		1293 1295	TBL		1485		a³¹tʰe⁵¹		a ³¹ + tʰ e ⁵¹	36630	a ³¹ ◦ tʰ e ⁵¹
6584	130		below, under	Maru	below / under	732.31	Langsu (Luxi)	ɔ³¹mɛ³¹	below on		66 65	TBL		1485		ɔ³¹mɛ³¹		ɔ ³¹ + m ɛ ³¹	43908	- ɔ - ³¹ ◦ m ɛ - ³¹
6618	129		below, under	Rangoon	below / under	732.27	Burmese (Rangoon)	ɑuʔ⁴	under		66	TBL		1485		ɑuʔ⁴		ɑ u ʔ ⁴	34750	ɑ u ʔ ⁴
#
310	79	other	big	Achang_Longchuan	big	964.28	Achang (Longchuan) TBL	kʐə³¹  | 0964.28	big		86	TBL		1202	kʐə³¹	kʐə³¹	big / large	k ʐ ə ³¹	394664	k ʐ ə ³¹
312	79	other	big	Atsi	big	964.3	Atsi [Zaiwa] TBL	ko̱²¹  | 0964.30	big		86	TBL		1202	ko̱²¹	ko̱²¹	big / large	k o̰ ²¹	394666	k - o̰ ²¹
313	79	other	big	Bola	big	964.32	Bola (Luxi) TBL	kɔ̱³⁵  | 0964.32	big		86	TBL		1202	kɔ̱³⁵	kɔ̱³⁵	big / large	k ɔ̰ ³⁵	394668	k - ɔ̰ ³⁵
316	79	other	big	Lashi	big	964.33	Leqi (Luxi) TBL	kjiː³³  | 0964.33	big		86	TBL		1202	kjiː³³	kjiː³³	big / large	k j iː ³³	394669	k j iː ³³
317	79	other	big	Maru	big	964.31	Langsu (Luxi) TBL	ɣə³⁵  | 0964.31	big		86	TBL		1202	ɣə³⁵	ɣə³⁵	big / large	ɣ ə ³⁵	394667	ɣ - ə ³⁵
319	79	other	big	Xiandao	big	964.29	Achang (Xiandao) TBL	kɯ³¹  | 0964.29	big		86	TBL		1202	kɯ³¹	kɯ³¹	big / large	k ɯ ³¹	394665	k - ɯ ³¹
5671	79	other	big	Rangoon		964.27			big		86	TBL		1202	tɕi⁵⁵	ʨi⁵⁵	big / large	tɕ i ⁵⁵	394663	tɕ - i ⁵⁵
6106	79	other	big	Written_Burmese		964.26			big		86	TBL		1202	kri³	kri³	big / large	k r i ³	394662	k r i ³
#
367	125	other	black	Achang_Longchuan	black	1005.28	Achang (Longchuan) TBL	lɔk⁵⁵  | 1005.28	black		92	TBL		163	lɔk⁵⁵	lɔk⁵⁵	black	l ɔ k ⁵⁵	396805	l ɔ k ⁵⁵
369	111	other	black	Atsi	black	1005.3	Atsi [Zaiwa] TBL	noʔ²¹  | 1005.30	black		92	TBL		163	noʔ²¹	noʔ²¹	black	n o ʔ ²¹	396807	n o ʔ ²¹
370	111	other	black	Bola	black	1005.32	Bola (Luxi) TBL	naʔ³¹  | 1005.32	black		92	TBL		163	naʔ³¹	naʔ³¹	black	n a ʔ ³¹	396809	n a ʔ ³¹
373	111	other	black	Lashi	black	1005.33	Leqi (Luxi) TBL	nɔːʔ³¹  | 1005.33	black		92	TBL		163	nɔːʔ³¹	nɔːʔ³¹	black	n ɔː ʔ ³¹	396810	n ɔː ʔ ³¹
374	111	other	black	Maru	black	1005.31	Langsu (Luxi) TBL	nɔʔ³¹  | 1005.31	black		92	TBL		163	nɔʔ³¹	nɔʔ³¹	black	n ɔ ʔ ³¹	396808	n ɔ ʔ ³¹
375	111	other	black	Xiandao	black	1005.29	Achang (Xiandao) TBL	nɔʔ⁵⁵  | 1005.29	black		92	TBL		163	nɔʔ⁵⁵	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	396806	n ɔ ʔ ⁵⁵
5528	111	other	black	Rangoon		1005.27			black		92	TBL		163	nɛʔ⁴	nɛʔ⁴	black	n ɛ ʔ ⁴	396804	n ɛ ʔ ⁴
5966	111	other	black	Written_Burmese		1005.26			black		92	TBL		163	nɑk⁴	nɑk⁴	black	n a k ⁴	396803	n a k ⁴
#
672	169	other	cold (of temperature)	Achang_Longchuan	cold (weather, water)	1063.28	Achang (Longchuan) TBL	kʐuat⁵⁵  | 1063.28	cold	bad concept	153	TBL		1287	kʐuat⁵⁵	kʐuat⁵⁵	cold (water)	k ʐ u a t ⁵⁵	399719	k ʐ u a t ⁵⁵
674	169	other	cold (of temperature)	Atsi	cold (weather, water)	1063.3	Atsi [Zaiwa] TBL	kjoʔ²¹  | 1063.30	cold	bad concept	153	TBL		1287	kjoʔ²¹	kjoʔ²¹	cold (water)	k j o ʔ ²¹	399721	k j o - ʔ ²¹
675	169	other	cold (of temperature)	Bola	cold (weather, water)	1063.32	Bola (Luxi) TBL	kjaʔ³¹  | 1063.32	cold	bad concept	153	TBL		1287	kjaʔ³¹	kjaʔ³¹	cold (water)	k j a ʔ ³¹	399723	k j a - ʔ ³¹
676	214	other	cold (of temperature)	Lashi	cold (weather, water)	1063.33	Leqi (Luxi) TBL	ŋaːm⁵⁵  | 1063.33	cold	bad concept	1031	TBL		1287	ŋaːm⁵⁵	ŋaːm⁵⁵	cold (water)	ŋ aː m ⁵⁵	399724	ŋ aː m ⁵⁵
677	169	other	cold (of temperature)	Maru	cold (weather, water)	1063.31	Langsu (Luxi) TBL	kjɔʔ³¹  | 1063.31	cold	bad concept	153	TBL		1287	kjɔʔ³¹	kjɔʔ³¹	cold (water)	k j ɔ ʔ ³¹	399722	k j ɔ - ʔ ³¹
678	169	other	cold (of temperature)	Xiandao	cold (weather, water)	1063.29	Achang (Xiandao) TBL	kʐot⁵⁵  | 1063.29	cold	bad concept	153	TBL		1287	kʐot⁵⁵	kʐot⁵⁵	cold (water)	k ʐ o t ⁵⁵	399720	k ʐ o - t ⁵⁵
5630	1142	other	cold (of temperature)	Rangoon		1063.27			cold1	bad concept	154	TBL		1287	tɕhɑ̃⁵⁵	ʨʰɑ̃⁵⁵	cold (water)	tɕʰ ɑ̃ ∼ ⁵⁵	399748	tɕʰ - ɑ̃ ∼ ⁵⁵
5650	1143	other	cold (of temperature)	Rangoon		1063.27			cold2	bad concept	152	TBL		1287	e⁵⁵	e⁵⁵	cold (weather)	e ⁵⁵	399718	e ⁵⁵
6066	1142	other	cold (of temperature)	Written_Burmese		1063.26			cold1	bad concept	154	TBL		1287	khjɑm³	kʰjɑm³	cold (water)	kʰ j a m ³	399747	kʰ j a m ³
6085	1143	other	cold (of temperature)	Written_Burmese		1063.26			cold2	bad concept	152	TBL		1287	ê³	ê³	cold (weather)	e ³	399717	e ³
#
3334	12	other	correct (right)	Achang_Longchuan	right / correct	1045.28	Achang (Longchuan) TBL	tsɿ⁵⁵  | 1045.28	correct		605	TBL		1725	tsɿ⁵⁵	tsɿ⁵⁵	right / correct	ts ɿ ⁵⁵	398782	ts ɿ ⁵⁵
3337	12	other	correct (right)	Atsi	right / correct	1045.3	Atsi [Zaiwa] TBL	tʃo²¹  | 1045.30	correct		605	TBL		1725	tʃo²¹	tʃo²¹	right / correct	tʃ o ²¹	398784	tʃ o ²¹
3339	12	other	correct (right)	Bola	right / correct	1045.32	Bola (Luxi) TBL	tʃɔ³¹  | 1045.32	correct		605	TBL		1725	tʃɔ³¹	tʃɔ³¹	right / correct	tʃ ɔ ³¹	398786	tʃ ɔ ³¹
3342	15	other	correct (right)	Lashi	right / correct	1045.33	Leqi (Luxi) TBL	kɛː³¹  | 1045.33	correct		1131	TBL		1725	kɛː³¹	kɛː³¹	right / correct	k ɛː ³¹	398787	k ɛː ³¹
3343	12	other	correct (right)	Maru	right / correct	1045.31	Langsu (Luxi) TBL	tʃɔ³¹  | 1045.31	correct		605	TBL		1725	tʃɔ³¹	tʃɔ³¹	right / correct	tʃ ɔ ³¹	398785	tʃ ɔ ³¹
3344	12	other	correct (right)	Xiandao	right / correct	1045.29	Achang (Xiandao) TBL	cɛ⁵⁵  | 1045.29	good		1131	TBL		1725	cɛ⁵⁵	cɛ⁵⁵	right / correct	c ɛ ⁵⁵	398783	c ɛ ⁵⁵
5251	14	other	correct (right)	Rangoon		1045.27			correct		604	TBL		1725	m̥ɑ̃²²	m̥ɑ̃²²	right / correct	m̥ ɑ̃ ∼ ²²	398781	m̥ ɑ̃ ∼ ²²
5693	14	other	correct (right)	Written_Burmese		1045.26			correct		604	TBL		1725	hmɑn²	hmɑn²	right / correct	m̥ a n ²	398780	m̥ a n ²
#
6142	86		dark	Achang_Longchuan	dark	1013.28	Achang (Longchuan)	ɕin⁵⁵	dark		1251	TBL		706		ɕin⁵⁵		ɕ i n ⁵⁵	36912	ɕ i n ⁵⁵
6201	84		dark	Maru	dark	1013.31	Langsu (Luxi)	nɔʔ³¹	black		92	TBL		706		nɔʔ³¹		n ɔ ʔ ³¹	44189	n ɔ ʔ ³¹
6237	85		dark	Rangoon	dark	1013.27	Burmese (Rangoon)	m̥ɑ̃u²²	dark		34	TBL		706		m̥ɑ̃u²²		m̥ ɑ̃ u ∼ ²²	35045	m̥ ɑ̃ u ∼ ²²
6304	84		dark	Atsi	dark	1013.3	Atsi [Zaiwa]	noʔ²¹	black		92	TBL		706		noʔ²¹		n o ʔ ²¹	42349	n o ʔ ²¹
6430	84		dark	Bola	dark	1013.32	Bola (Luxi)	naʔ³¹	black		92	TBL		706		naʔ³¹		n a ʔ ³¹	45981	n a ʔ ³¹
6530	85		dark	Written_Burmese	dark	1013.26	Burmese (Written)	hmɔŋ²	dark		34	TBL		706		hmɔŋ²		m̥ o ŋ ²	33148	m̥ o - ŋ ²
6593	88		dark	Xiandao	dark	1013.29	Achang (Xiandao)	kɯn⁵⁵	dark		1252	TBL		706		kɯn⁵⁵		k ɯ n ⁵⁵	38693	k ɯ n ⁵⁵
#
936	245	other	dirty	Achang_Longchuan	dirty	1086.28	Achang (Longchuan) TBL	ək³⁵  | 1086.28	dirty		211	TBL		1230	ək³⁵	ək³⁵	dirty	ə k ³⁵	400877	ə k ³⁵
938	226	other	dirty	Atsi	dirty	1086.3	Atsi [Zaiwa] TBL	tʃhaʔ⁵⁵  | 1086.30	dirty		1032	TBL		1230	tʃhaʔ⁵⁵	tʃhaʔ⁵⁵	dirty	tʃʰ a ʔ ⁵⁵	400879	tʃʰ a ʔ ⁵⁵
940	260	other	dirty	Bola	dirty	1086.32	Bola (Luxi) TBL	lu̱³⁵  | 1086.32	dirty		18	TBL		1230	lu̱³⁵	lu̱³⁵	dirty	l ṵ ³⁵	400881	l - ṵ ³⁵
942	302	other	dirty	Lashi	dirty	1086.33	Leqi (Luxi) TBL	a³¹ san⁵⁵  | 1086.33	a-prefix dirty		1033 1034	TBL		1230	a³¹san⁵⁵	a³¹san⁵⁵	dirty	a ³¹ + s a n ⁵⁵	400882	a ³¹ ◦ s a n ⁵⁵
943	260	other	dirty	Maru	dirty	1086.31	Langsu (Luxi) TBL	la̱u³⁵  | 1086.31	dirty		18	TBL		1230	la̱u³⁵	la̱u³⁵	dirty	l a̰ u ³⁵	400880	l a̰ u ³⁵
944	245	other	dirty	Xiandao	dirty	1086.29	Achang (Xiandao) TBL	ɤk³⁵  | 1086.29	dirty		211	TBL		1230	ɤk³⁵	ɤk³⁵	dirty	ɤ k ³⁵	400878	ɤ k ³⁵
5459	287	other	dirty	Rangoon		1086.27			dirty1 dirty2		209 210	TBL		1230	ȵiʔ⁴pɑʔ⁴	ȵiʔ⁴pɑʔ⁴	dirty	nʲ i ʔ ⁴ + p ɑ ʔ ⁴	400876	nʲ i ʔ ⁴ ◦ p ɑ ʔ ⁴
5898	287	other	dirty	Written_Burmese		1086.26			dirty1 dirty2		209 210	TBL		1230	ȵɑs⁴pɑt⁴	ȵɑs⁴pɑt⁴	dirty	ŋʲ a ts ⁴ + p a t ⁴	400875	ŋʲ a ts ⁴ ◦ p a t ⁴
#
1037	402	other	dry	Achang_Longchuan	dry	1028.28	Achang (Longchuan) TBL	səʔ⁵⁵  | 1028.28	dry		1036	TBL		1398	səʔ⁵⁵	səʔ⁵⁵	dry	s ə ʔ ⁵⁵	397970	s ə ʔ ⁵⁵
1039	329	other	dry	Atsi	dry	1028.3	Atsi [Zaiwa] TBL	xui⁵⁵  | 1028.30	dry		233	TBL		1398	xui⁵⁵	xui⁵⁵	dry	x u i ⁵⁵	397972	x u i ⁵⁵
1040	329	other	dry	Bola	dry	1028.32	Bola (Luxi) TBL	kja̱uʔ⁵⁵  | 1028.32	dry		232	TBL		1398	kja̱uʔ⁵⁵	kja̱uʔ⁵⁵	dry	k j a̰ u ʔ ⁵⁵	397974	k j a̰ u ʔ ⁵⁵
1043	329	other	dry	Lashi	dry	1028.33	Leqi (Luxi) TBL	kju̱ːʔ⁵⁵  | 1028.33	dry		232	TBL		1398	kju̱ːʔ⁵⁵	kju̱ːʔ⁵⁵	dry	k j ṵː ʔ ⁵⁵	397975	k j - ṵː ʔ ⁵⁵
1044	329	other	dry	Maru	dry	1028.31	Langsu (Luxi) TBL	fai⁵⁵  | 1028.31	dry		233	TBL		1398	fai⁵⁵	fai⁵⁵	dry	f a i ⁵⁵	397973	f a i ⁵⁵
1046	415	other	dry	Xiandao	dry	1028.29	Achang (Xiandao) TBL	tsui³⁵  | 1028.29	dry		1037	TBL		1398	tsui³⁵	tsui³⁵	dry	ts u i ³⁵	397971	ts u i ³⁵
5416	329	other	dry	Rangoon		1028.27			dry		232	TBL		1398	tɕhɑuʔ⁴	ʨʰɑuʔ⁴	dry	tɕʰ ɑ u ʔ ⁴	397969	tɕʰ - ɑ u ʔ ⁴
5856	329	other	dry	Written_Burmese		1028.26			dry		232	TBL		1398	khrɔk⁴	kʰrɔk⁴	dry	kʰ r o k ⁴	397968	kʰ r o - k ⁴
#
6144	94		early	Achang_Longchuan	early	1018.28	Achang (Longchuan)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	36917	n ɔ ʔ ⁵⁵
6202	94		early	Maru	early	1018.31	Langsu (Luxi)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	44194	n ɔ ʔ ⁵⁵
6239	95		early	Rangoon	early	1018.27	Burmese (Rangoon)	sɔ⁵⁵	early		36	TBL		672		sɔ⁵⁵		s ɔ ⁵⁵	35050	s ɔ ⁵⁵
6307	94		early	Atsi	early	1018.3	Atsi [Zaiwa]	noʔ²¹	early		35	TBL		672		noʔ²¹		n o ʔ ²¹	42354	n o ʔ ²¹
6319	95		early	Written_Burmese	early	1018.26	Burmese (Written)	sɔ³	early		36	TBL		672		sɔ³		ts o ³	33153	ts o ³
6474	94		early	Lashi	early	1018.33	Leqi (Luxi)	nɔːʔ⁵⁵	early		35	TBL		672		nɔːʔ⁵⁵		n ɔː ʔ ⁵⁵	47794	n ɔː ʔ ⁵⁵
6536	94		early	Xiandao	early	1018.29	Achang (Xiandao)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	38697	n ɔ ʔ ⁵⁵
6604	94		early	Bola	early	1018.32	Bola (Luxi)	naʔ⁵⁵	early		35	TBL		672		naʔ⁵⁵		n a ʔ ⁵⁵	45986	n a ʔ ⁵⁵
#
1150	439	other	eight	Achang_Longchuan	eight	804.28	Achang (Longchuan) TBL	ɕet⁵⁵  | 0804.28	eight		247	TBL		1705	ɕet⁵⁵	ɕet⁵⁵	eight	ɕ e t ⁵⁵	386412	ɕ e t ⁵⁵
1152	439	other	eight	Atsi	eight	804.3	Atsi [Zaiwa] TBL	ʃit⁵⁵  | 0804.30	eight		247	TBL		1705	ʃit⁵⁵	ʃit⁵⁵	eight	ʃ i t ⁵⁵	386414	ʃ i t ⁵⁵
1153	439	other	eight	Bola	eight	804.32	Bola (Luxi) TBL	ʃɛʔ⁵⁵  | 0804.32	eight		247	TBL		1705	ʃɛʔ⁵⁵	ʃɛʔ⁵⁵	eight	ʃ ɛ ʔ ⁵⁵	386416	ʃ ɛ ʔ ⁵⁵
1156	439	other	eight	Lashi	eight	804.33	Leqi (Luxi) TBL	ʃɛ̱t⁵⁵  | 0804.33	eight		247	TBL		1705	ʃɛ̱t⁵⁵	ʃɛ̱t⁵⁵	eight	ʃ ɛ̰ t ⁵⁵	386417	ʃ ɛ̰ t ⁵⁵
1157	439	other	eight	Maru	eight	804.31	Langsu (Luxi) TBL	ʃɛʔ⁵⁵  | 0804.31	eight		247	TBL		1705	ʃɛʔ⁵⁵	ʃɛʔ⁵⁵	eight	ʃ ɛ ʔ ⁵⁵	386415	ʃ ɛ ʔ ⁵⁵
1158	439	other	eight	Xiandao	eight	804.29	Achang (Xiandao) TBL	çɛʈ⁵⁵  | 0804.29	eight		247	TBL		1705	çɛʈ⁵⁵	çɛʈ⁵⁵	eight	ç ɛ ʈ ⁵⁵	386413	ç ɛ ʈ ⁵⁵
5575	439	other	eight	Rangoon		804.27			eight		247	TBL		1705	ɕiʔ⁴	ɕiʔ⁴	eight	ɕ i ʔ ⁴	386411	ɕ i ʔ ⁴
6012	439	other	eight	Written_Burmese		804.26			eight		247	TBL		1705	hrɑs⁴	hrɑs⁴	eight	ɕ a ts ⁴	386410	ɕ a ts ⁴
#
1241	473	other	far	Achang_Longchuan	far	974.28	Achang (Longchuan) TBL	ve³¹  | 0974.28	far		266	TBL		1406	ve³¹	ve³¹	far / distant	v e ³¹	395204	v e ³¹
1243	473	other	far	Atsi	far	974.3	Atsi [Zaiwa] TBL	ve²¹  | 0974.30	far		266	TBL		1406	ve²¹	ve²¹	far / distant	v e ²¹	395206	v e ²¹
1244	473	other	far	Bola	far	974.32	Bola (Luxi) TBL	vɛ³¹  | 0974.32	far		266	TBL		1406	vɛ³¹	vɛ³¹	far / distant	v ɛ ³¹	395208	v ɛ ³¹
1247	473	other	far	Lashi	far	974.33	Leqi (Luxi) TBL	vɛː³³  | 0974.33	far		266	TBL		1406	vɛː³³	vɛː³³	far / distant	v ɛː ³³	395209	v ɛː ³³
