RN	DOCULECT	REFLEX	CONCEPT	NEPALI	GFN	ETYMON
1	Kulung	sǝima	decrease, become less.		vi-4 [1: sǝt- 2: sǝi- 3: sǝn-]	280
2	Kulung	sǝkǝppa	grasshopper	 phaṭyāŋgro.	n.	256
3	Kulung	sǝklǝ	only	 mātra.	adv.	
4	Kulung	sǝkma	lame	 laṃgaḍo.	adj. fem.	
5	Kulung	sǝkpa	lame	 laṃgaḍo.	adj. masc.	
6	Kulung	sǝlǝmɔksi	in a line	 lāin lāgera.	adv.	
7	Kulung	sǝm	1. lung; 2. compassion	1. phokso	n.	235
8	Kulung	sǝma	itch, be hot (spicy)	 cilāunu.	vi-3 [1: sǝs- 2: sǝ-]	258
9	Kulung	sǝmcima	bath, wash oneself	 nuhāunu.	vr [1: sǝm- 2: sǝp-]	292
10	Kulung	sǝmkhe	love, affection	 māyā.	n.	
11	Kulung	sǝmma	be washed.		vi-3 [1: sǝp- 2: sǝm-]	292
12	Kulung	sǝmma	wash	 dhunu.	vt-4 [1: sǝp- 2: sǝpp- 3: sǝm-]	292
13	Kulung	sǝmma	climb	 caḍhnu.	vt-4 [1: sǝp- 2: sǝpp- 3: sǝm-]	
14	Kulung	si	louse	 jumrā.	n.	264
15	Kulung	sidi	louse-egg.		n.	
16	Kulung	sil	June/July	 ās5āḍh.	n.	
17	Kulung	sil bama	dance	 nācnu.	vi-7 [1: sil bɔi- 2: sil bɔ- 3: sil bai- 4: sil ba-]	
18	Kulung	sili	dance.		n.	
19	Kulung	siluchɔ	name of a peak.		n.	
20	Kulung	silum	final funerary rite.		n.	
21	Kulung	kas	we	 hāmī duī-janā.	pron.	
22	Kulung	kaska	we	 hāmī duī-janā.	pron.	
23	Kulung	kaupuchɔ	dragonfly	 pānī kīrā.	n.	
24	Kulung	kawa	water	 pānī.	n.	199
25	Kulung	keche	once, some time ago, long ago	 uhile.	adv.	
26	Kulung	kei	we pl.	 hāmī.	pron.	
27	Kulung	keika	we p.e.	 hāmī.	pron.	
28	Kulung	kemma	sting (of insects)	 cilnu.	vt-4 [1: kep- 2: kepp- 3: kem-]	804
29	Kulung	kemma	fasten, stick, join	 ṭāṃsnu.	vt-4 [1: kep- 2: kepp- 3: kem-]	91
30	Kulung	ke:ma	become cold, cool	 selāunu.	vi-3 [1: keN- 2: ke:-]	
31	Kulung	kerma	hit, beat, thresh	 kuṭnu.	vt-1 [1: ker-]	
32	Kulung	keska	day before yesterday	 asti.	adv.	
33	Kulung	kǝl	tusk (of elephant), fang (of snake, pig, tiger)	 dāhrā.	n.	
34	Kulung	kǝlma	chase, pursue, drive off (cattle, people), push, follow, take a road	 dhapāunu, khednu, ghaceḍnu, pachyāunu.	vt-4 [1: kǝl- 2: kǝll- 3: kǝl-]	59
35	Kulung	kǝmma	pick up	 ṭipnu.	vt-4 [1: kǝp- 2: kǝpp- 3: kǝm-]	912
36	Kulung	kha	irrigated field	 khet. liskha 'millet field' , samkhekha 'potato field' , rayikha 'rice field'.	n.	63
37	Kulung	khacalu	elbow	 kuhino.	n.	138
38	Kulung	khai	cooked vegetables, Nep. tihun.		n.	62
39	Kulung	khaima	go	 jānu.	vi-4 [1: khat- 2: khai- 3: khan-]	928
40	Kulung	khaima	suit someone	 suhāunu.	vt-5 [1: khat- 2: khatt- 3: khai- 4: khan- 5: kha:-]	
41	Kulung	lais	front		n.	
42	Kulung	laispi	first	 pahilā.	adv.	
43	Kulung	lam	road, path, hole	 bāṭo.	n.	422
44	Kulung	lam dumma	walk	 hiṃḍnu.	vi-1 [1: lam dum-]	
45	Kulung	lamma	search, look for, seek, try	 khojnu.	vt-4 [1: lam- 2: lamm- 3: lam-]	810
46	Kulung	lamma	grab, hold, catch, seize, grasp, khalamba lamma catch a cold	 samātnu, pakranu.	vt-4 [1: lap- 2: lapp- 3: lam-]	
47	Kulung	lamskɔ	door	 ḍhokā.	n.	398
48	Kulung	lanimadu	moonlight	 jūn.	n.	
49	Kulung	laNɔ	desire	 icchā.	n.	
50	Kulung	la:ma	slip	 ciplinu.	vi-3 [1: laks- 2: la:-]	811
51	Kulung	la:ma	shine, glitter, be glossy	 ṭalkanu.	vi-3 [1: laN- 2: la:-]	
52	Kulung	la:ma	make glitter or shine	 ṭalkāunu.	vt-4 [1: laN- 2: laNN- 3: la:-]	
53	Kulung	lappǝi	echo	 pratidhvani.	n.	
54	Kulung	laptɔ	wing	 pakhetā.	n.	444
55	Kulung	lari	stalk, pistil of a flower	 ḍāṃṭh, biṃḍ.	n.	476
56	Kulung	le	penis	 lāḍo.	n.	636
57	Kulung	lebaleba	silent	 cup.	adj.	
58	Kulung	lei	day	 din.	n.	485
59	Kulung	leima	live, survive	 bāṃcnu.	vi-4 [1: let- 2: lei- 3: len-]	812
60	Kulung	leima	plant, pour out	 ropnu, khanyāunu.	vt-5 [1: let- 2: lett- 3: lei- 4: len- 5: le:-]	932
61	Kulung	khimdɔs	backside (South) of the house.		n.	
62	Kulung	khimduwa	leftside (West) of the house.		n.	
63	Kulung	khimlais	frontside (North) of the house.		n.	
64	Kulung	khimma	tie a load	 kasnu.	vt-4 [1: khip- 2: khipp- 3: khim-]	
65	Kulung	khimthem	roof, top of the house	 chānā.	n.	
66	Kulung	khiN	gall	 pitta.	n.	129
67	Kulung	khi:ma	be bitter	 tīto hunu.	vi-3 [1: khik- 2: khi:-]	131
68	Kulung	khirimɔksi	in a circle	 gherā ghumeko.	adv.	
69	Kulung	khirma	make a circle	 gherā lagāunu.	vt-1 [1: khir-]	54
70	Kulung	khisi	deer	 mṛph	n.	856
71	Kulung	khisɔpɔwa	the pine-tree Pinus wallichiana	 sallo.	n.	
72	Kulung	khitɔ	or	 ki.	conj.	
73	Kulung	khɔ	boil	 pilo.	n.	25
74	Kulung	khɔburkhɔbur	coarse, rough	 khasro.	adj.	
75	Kulung	khɔdɔ	in that manner	 tyaso.	adv.	
76	Kulung	khɔdɔlɔ	at that time	 uti belā.	adv.	
77	Kulung	khɔkhɔlpa	bent	 khumle.	adj.	
78	Kulung	khɔma	sting, bite, chew	 ṭoknu.	vt-8 [1: khɔi- 2: khɔ- 3: khǝi- 4: khǝ- 5: khui- 6: khu- 7: kha- 8: khɔk-]	69
79	Kulung	khɔN	small brass bowl	 baṭuko.	n.	
80	Kulung	khɔNlɔ	splinter of split bamboo.		n.	
81	Kulung	bum	friend	 sāthī.	n.	
82	Kulung	bumcari	waistband	 kandanī.	n.	
83	Kulung	bumma	gather (cloths) together	 mujā pārnu.	vt-4 [1: bup- 2: bupp- 3: bum-]	
84	Kulung	buN	flower	 phūl.	n.	730
85	Kulung	buNnam	the beginning of spring, season starting in April and lasting till mid May.		n.	
86	Kulung	bu:ma	pour out, overthrow, sow	 ghopṭyāunu, charnu.	vt-2 [1: buks- 2: bu:-]	
87	Kulung	bur	mountain	 himāl.	n.	656
88	Kulung	burma	be angry, scold	 risāunu, gālī garnu.	vi-1 [1: bur-]	637
89	Kulung	burma	sew, stitch	 siunu.	vt-1 [1: bur-]	751
90	Kulung	ca	taste.		n.	366
91	Kulung	cakcakur	December/January	 pauṣ.	n.	
92	Kulung	calei	seed	 bīu.	n.	
93	Kulung	cama	eat	 khānu.	vt-7 [1: cɔi- 2: cɔ- 3: cǝi- 4: cǝ- 5: cai- 6: ca-]	311
94	Kulung	canari	throat (interior)	 ghāṃtī.	n.	
95	Kulung	ca:ma	prune (branches of a tree)	 chāsnu.	vt-2 [1: caks- 2: ca:-]	
96	Kulung	cap	ghost, spirit of deceased	 bhūt.	n.	
97	Kulung	caphara	long-handled mattock with a narrow blade	 kodālo.	n.	
98	Kulung	capmǝma	great-grandmother	 jijyu-bajyai.	n.	
99	Kulung	capphǝpa	great-grandfather	 jijyu-bāje.	n.	
100	Kulung	cari	ancestral land.		n.	
101	Kulung	yi	dry field	 bārī.	n.	212
102	Kulung	-yika	since	Nep. dekhi.		
103	Kulung	yi:ma	1. grind, turn around 2. live	1. piṃdhnu	vt-2 [1: yik- 2: yi:-]	209
104	Kulung	yɔ	or	 ki.	conj.	
105	Kulung	yɔ	footprint	 pāilā.	n.	
106	Kulung	yɔksi	arum, Calladium arumaciae	 piṇḍālu.	n.	
107	Kulung	yɔma	feed	 khuvāunu.	vt-8 [1: yɔi- 2: yɔ- 3: yǝi- 4: yǝ- 5: yui- 6: yu- 7: ya- 8: yɔk-]	838
108	Kulung	yɔNcha	offspring of elder brother	 bhatijo, bhatijī.	n.	
109	Kulung	yɔ:ma	melt, dissolve	 paglanu,	vi-3 [1: yǝN- 2: yɔ:-]	214
110	Kulung	yɔ:ma	shiver	 kāmnu.	vi-3 [1: yɔks- 2: yɔ:-]	473
111	Kulung	yɔ:ma	shake out.		vt-2 [1: yɔks- 2: yɔ:-]	473
112	Kulung	yɔ:ma	be sift, be passed through a sieve	 cālinu.	vi-3 [1: yɔN- 2: yɔ:-]	217
113	Kulung	yɔ:ma	sift, pass through a sieve	 cālnu.	vt-4 [1: yɔN- 2: yɔNN- 3: yɔ:-]	217
114	Kulung	yɔ:N	nest, spider web	 guṃḍ, jāl.	n.	839
115	Kulung	yɔpsi	spindle used in weaving at a loom	 katuvā.	n.	
116	Kulung	yɔsipɔwa	the tree Schima wallichii	 cilaune.	n.	
117	Kulung	yɔumuldu	fine river sand	 masino bāluvā.	n.	
118	Kulung	yɔwa	river	 kholā.	n.	935
119	Kulung	yu	wife	 patnī.	n.	
120	Kulung	yudɔwa	kind of bird.		n.	
121	Kulung	wahalbu	red morning sky.		n.	
