RN	DOCULECT	REFLEX	CONCEPT	NEPALI	GFN	ETYMON
1	Yamphu	khäʔma I	to go.	 jānu	v.intr.	928
2	Yamphu	khäʔma II	1) expresses that the situation denoted by the main verb involves a receding motion 2) serves to change stative verbs or sustained action verbs into verbs expressing a process culminating in a transition		v.intr.aux.	
3	Yamphu	khäʔma III	(with an infinitival complement) a) to have to; b) to be necessary.		v.intr.	
4	Yamphu	khäʔma IV	1) expresses that the situation denoted by the transitive main verb involves a receding motion or transportation 2) expresses the inception into a state of sustained action with transitive event or action verbs		v.tr.aux.	
5	Yamphu	khäkma	1) <i>v.intr.</i> to remain hooked behind something 2) <i>v.tr.</i> to hook, to grasp by means of a hooked object		v.intr. &amp; v.tr.	148
6	Yamphu	khänsrukma	elbow.		n.	138
7	Yamphu	khäŋ	curried vegetables, gravy	 tihun	n.	
8	Yamphu	khä:kciʔwa	a species of bird.		n.	
9	Yamphu	khäŋsaʔwa	leafy, green vegetables.		n.	
10	Yamphu	khäoro:kpa	<i>bulbul,</i> a species of bird.	 jurelī	n.	
11	Yamphu	khäuriʔha	shards.		n.	
12	Yamphu	khäurik	curly, winding around many times.		adj.redupl. &amp; adv.redupl.	
13	Yamphu	kheʔ	helping, time.	&lt; khep	suffix.	
14	Yamphu	kheʔaŋma	to suffer, to endure		v.tr.	
15	Yamphu	kheʔma	oblong shallow basket, made of wood and reeds, hung above the fire and used for drying all sorts of things.	 sarāŋ	n.	
16	Yamphu	kheʔma	1a) <i>v.intr.</i> to itch; b) to cause itch 2a) <i>v.tr.</i> to scratch oneself; b) <i>v.intr.</i> <i>&amp;</i> <i>v.tr.</i> to dig up with the hands, to scratch out.	 cilāunu, koṭyāunu, koṭyāera khannu	v.intr. &amp; v.tr.	
17	Yamphu	khemma I	1) to hear; 2) to listen; 3) to heed, to obey.	 sunnu, mānnu	v.intr. &amp; v.tr.	914
18	Yamphu	khemma II	to bite, to take a bite off something, to set your teeth into something.	 ṭoknu	v.intr. &amp; v.tr.	65
19	Yamphu	khe:dumba	a species of rodent.	 malsāpro	n.	
20	Yamphu	khe:ma I	to moan, to groan (as when having fever)		v.intr.	
21	Yamphu	hoŋbeʔ	under, below.	 muni	suffix.	
22	Yamphu	hoŋdala	lower storey	&lt; talo	n.	
23	Yamphu	hoŋma	stream, rivulet.	 kholā	n.	
24	Yamphu	hoŋma	to go through, to leak, to come through	 chirnu, cuhinu	v.intr.	37
25	Yamphu	ho:ma I	1) <i>v.intr.</i> to stream forth, to spout forth 2) <i>v.tr.</i> a to cause to flow again, to cause to stream; b to pour off, to let the water go, to pour from one vessel into another.	 bagnu, bagāunu	v.intr. &amp; v.tr.	
26	Yamphu	ho:ma II	see <u>wo:ma.</u>			
27	Yamphu	hoŋmajup	confluence.	 dobhān	n.	
28	Yamphu	ho:pma	to jab, to prick, to pierce with a knife, to stab with the horns	 ropnu	v.tr.	
29	Yamphu	hoŋsiʔ	(in both <i>locational</i> and directional senses) inside	 bhitra	suffix.	120
30	Yamphu	hopma	to squeeze oneself in beside, as when taking shelter under someone's umbrella etc.	 ghusrinu	v.intr.	
31	Yamphu	hoppräk	empty.	 khālī	adj.	30
32	Yamphu	hoptiʔwa	sweat	 pasinā	n.	850
33	Yamphu	horeʔ	gulping, with the sound of successive gulps.		adv.redupl.	
34	Yamphu	hu	lair, nest or any kind of animal <i>hideout</i>		n.	
35	Yamphu	huʔup	bowed to the ground, face to the ground	 ghopṭo pareko	adj.	
36	Yamphu	huʔwa	dog.	 kukur	n.	23
37	Yamphu	huʔwade:ʔlemba	a species of insect.		n.	
38	Yamphu	huʔwaminjwa	a species of insect found especially on dogs.	 kukurjhĩgo	n.	
39	Yamphu	hujuʔwa	a) the sound of whistling b) the sound of blowing through pursed lips when one is tired, as when saying phew.		n.	
40	Yamphu	hujuŋ I	at all, ever		adv.	
41	Yamphu	maik	black.	 kālo	adj.	865
42	Yamphu	makkham	earth, ground, land.		n.	
43	Yamphu	makma I	to burn	 jalāunu	v.intr. &amp; v.tr.	
44	Yamphu	makma II	to dream	 sapanā dekhnu	v.intr. &amp; v.tr.	611
45	Yamphu	makmiʔ	morning, in the morning.	 bihān	n. &amp; adv.	
46	Yamphu	makmissella	early in the morning.		adv.	
47	Yamphu	makmiwäʔ	in the morning.		adv.	
48	Yamphu	makpa	decayed.	&lt; makinu	adj.	
49	Yamphu	maksa	1) son-in-law; 2) husband of a younger sister.		n.	815
50	Yamphu	ma:ʔlaŋma	a species of bird.	 kalcaūḍo	n.	
51	Yamphu	maŋba	witch doctor, shaman.	 dhāmī	n.	
52	Yamphu	maŋgaima I	a kind of tree, <i>Vigna</i> <i>catjang.</i>	 boḍi	n.	
53	Yamphu	maŋgaima II	nightmare, oppressive vision	 aĩṭhan	n.	
54	Yamphu	maŋgik	flea.	 upiyā	n.	350
55	Yamphu	ma:kma	moss, lichen.	 leu	n.	
56	Yamphu	ma:ksa	bear.	 bhālu	n.	607
57	Yamphu	ma:ksuk	vanished.		adv.	
58	Yamphu	maŋliŋsa	parasitic worm, any of the species of worms which can afflict human beings.		n.	
59	Yamphu	maŋma	1) without reason, just like that 2 very much, extremely	 tyasai, dherai	adv.	
60	Yamphu	maŋma	female shaman.		n.	
61	Yamphu	räkkhäʔma	to go bald.	 khuilinu	v.intr.	
62	Yamphu	räkkiya	bald.	 khuile	adj.	
63	Yamphu	räkma	to hit something with the hand, to strike, to slap.		v.tr.	
64	Yamphu	rä:kma	to lick, to taste, to eat a little bit	 cāṭnu, cākhnu	v.intr. &amp; v.tr.	437
65	Yamphu	räŋma I	(pertaining to surfaces) to be smooth.		v.intr.stat.	
66	Yamphu	räŋma II	to daub the walls and floors with a mixture of red soil and dung.	 lipnu	v.intr. &amp; v.tr.	
67	Yamphu	räŋma III	to slip.	 ciplinu	v.intr.	811
68	Yamphu	räŋma IV	to fry an egg.		v.intr. &amp; v.tr.	
69	Yamphu	räŋma V	to play the role of, to be in the form of, to act, to function as.		v.intr.	
70	Yamphu	re	see <u>le.</u>			
71	Yamphu	reʔ	see <u>leʔ.</u>			
72	Yamphu	reʔma I	to pee, to piddle		v.tr.	
73	Yamphu	reʔma II	to strike (in whatever manner), to go for somebody.		v.tr.	884
74	Yamphu	reʔma III	to put on		v.tr.	
75	Yamphu	reʔma IV	to say nasty things		v.tr.	
76	Yamphu	reʔma V	see <u>leʔma.</u>			
77	Yamphu	rema	see <u>lema.</u>			864
78	Yamphu	remdeʔma	to lie, to feign.	 ḍhāṭnu, chalnu	v.intr. &amp; v.tr.	
79	Yamphu	remma I	1) <i>v.intr.</i> to pierce through, to go through; 2) <i>v.tr.</i> to pierce through something, to put through, to pull an object through something.	 chirnu, chirāunu	v.intr. &amp; v.tr.	
80	Yamphu	remma II	to split bamboo reeds for weaving baskets.	 coyā chirnu	v.intr. &amp; v.tr.	
81	Yamphu	akko	that, that one, he, she; <i>akkosäʔ</i> <i>;</i> <i>akkoeʔ</i> <i>;</i> <i>akkweʔ</i> ergative/instrumental; <i>akkoji</i> non-singular independent form; <i>akkha</i> plural dependent form; <i>akkhaji</i> plural independent form	 tyo, tī, tinīharū	demons.pron.	10
82	Yamphu	akkoba	from there, from that particular place.	 tyahābāṭa	demons.adv.	
83	Yamphu	akkobeʔ	a) there, in that place b) to that place.	 tyahā	demons.adv.	
84	Yamphu	akkr̂aŋ	shoulder.	 kādh	n.	639
85	Yamphu	akma	pig.	 sūgur	n.	698
86	Yamphu	akma I	(only with auxiliaries) to make off, to run off	 dauḍinu, kudnu	v.intr.	
87	Yamphu	akma II	to weave with straw or thread, as opposed to <i>a:ma</i> 'to plait', 'to weave with reeds'	 bunnu	v.intr. &amp; v.tr.	388
88	Yamphu	akmasa	pork.	 sūgurko māsu	n.	
89	Yamphu	akpa	from there, from around there		demons.adv.	
90	Yamphu	akpasa	piglet, small pig.	 sūgurko baccā	n.	
91	Yamphu	akpäʔwa	flat strip of wood used to press down the weft.		n.	
92	Yamphu	akpeʔ	there		demons.adv.	
93	Yamphu	akthä:ʔlo	very much, a large amount such as that, as much as that.		demons.adv.	
94	Yamphu	akthe:ŋha	that many, as many as that.		demons.adj.	
95	Yamphu	aktok	like that; that much; that way	 tyati, tyaso	demons.adv.	
96	Yamphu	aktokpeʔ	then, at that particular time.	 tyahī belāmā	demons.adv.	
97	Yamphu	akyaʔwa	buttocks.	 cāk, pīdh	n.	
98	Yamphu	am-	your	 timro, tapāīko	pron.prefix.	
99	Yamphu	ambrukma	to jump up and down.		v.intr.	
100	Yamphu	amli	finger	?&lt; aūlā	n.	
101	Yamphu	sammaŋ	offerings, ritual sacrifices; pertains to offerings larger than domestic sacrifices		n.	
102	Yamphu	saniŋ	a) every year; b) other years; c) usually, normally.		adv.	
103	Yamphu	sanuŋʔu	elder brother and younger sibling.		n.	
104	Yamphu	sanuŋba	father and child.		n.	
105	Yamphu	sanuŋlaiʔma	elder and younger wife.		n.	
106	Yamphu	sanuŋma	mother and child.		n.	
107	Yamphu	sanuŋna	elder sister and younger sibling.		n.	
108	Yamphu	sa:ʔwa	leafy vegetables.		n.	
109	Yamphu	sa:ʔwaghäŋ	curry of leafy vegetables.		n.	
110	Yamphu	saŋa	buffalo.		n.	887
111	Yamphu	saŋapsa	buffalo calf.		n.	
112	Yamphu	saŋdoŋ	a sacrificial or devotional activity carried out by Lamas for the well-being and welfare of each house.		n.	
113	Yamphu	saŋge	star.		n.	284
114	Yamphu	saŋgebusä:ʔ	a species of snake.		n.	
115	Yamphu	saŋgomma	large, square basket for drying things above the fireplace	 sarāŋ	n.	
116	Yamphu	saŋlaŋ	large, sword-like knife, larger than a <i>ta:biya.</i>	 khukurī	n.	
117	Yamphu	saŋma	to ascend, to go or climb up	 caḍhnu	v.intr.	
118	Yamphu	sa:ma I	to take from one place to another, to move by going to and fro many times, e.g. when moving a pile of stones.	 osārnu	v.intr. &amp; v.tr.	
119	Yamphu	sa:ma II	to breathe.		v.intr.	
120	Yamphu	sa:pma I	to eat a large quantity.		v.intr. &amp; v.tr.	278
121	Yamphu	hiŋma II	to feed, to provide with food or a meal.	 khuvāunu	v.tr.	848
122	Yamphu	hi:ma II	1a) to sprinkle; b) to offer a libation 2) to shake off something from your body without using your hand.	 charkinu	v.intr. &amp; v.tr.	
123	Yamphu	hiŋma III	1) <i>v.intr.</i> (of an upright object) to turn around 2) <i>v.tr.</i> to turn an upright object around, to pick up and turn and put down		v.intr. &amp; v.tr.	
124	Yamphu	hiŋrik	unripe, green.	 hariyo, kāco	adj.	848
125	Yamphu	hirum	vulva.	 putī	n.	849
126	Yamphu	hiyaŋ	turd		n.	
127	Yamphu	ho	hey.		interj.	
128	Yamphu	hobäktoʔ	with a sweep, with a blow		adv.	
129	Yamphu	hoho	open.		adj.	37
130	Yamphu	hokma	to copulate.	 ciknu	v.tr.	
131	Yamphu	homliŋ	fitting loosely, wide, baggy.	 khukulo	adj.	
132	Yamphu	homma I	to drink excessively, to drink a lot.		v.intr. &amp; v.tr.	45
133	Yamphu	homma II	to turn over earth, to rout up, to grub.	 udhinnu	v.intr. &amp; v.tr.	
134	Yamphu	homma III	to be swollen	 sunieko hunu	v.intr.	46
135	Yamphu	hommakma	to crawl, to walk on hands and feet.		v.intr.	
136	Yamphu	homsa	beaver.	 ǖt	n.	585
137	Yamphu	homyaŋ	pig, hog, lit. 'one who routs'.		n.	
138	Yamphu	hoŋ	1) suffix of logical consequence; a) expresses consecutivity; b) expresses causality; c) marks a contingency; 2) (after interrogatives) ever; <i>asa:hoŋ</i> whoever; <i>hoŋgore</i> only because, since		suffix.	
139	Yamphu	hoŋ	empty, gaping, open.	 ritto	adj.redupl.	37
140	Yamphu	hoŋaya	hole.	 cheḍ, pvāl	n.	37
141	Yamphu	canuma	to taste good, to be tasty.	Nep miṭho hunu	v.intr.	
142	Yamphu	caŋjira	something to wear, clothing.		n.	
143	Yamphu	ca:kpa	millet bread.	 ḍhĩḍo	n.	
144	Yamphu	ca:ma	a) cooked rice; b) meal; c) food.	 bhāt, khānā	n.	
145	Yamphu	caŋma I	to wear, to put on (clothing)	 lugā lagāunu	v.intr. &amp; v.tr.	842
146	Yamphu	ca:ma I	1) to eat 2) to eat	 khānu	v.intr. &amp; v.tr-2.	311
147	Yamphu	caŋma II	to bring or take something out.	 jhiknu	v.tr.	
148	Yamphu	ca:masu	pan for cooking rice.		n.	
149	Yamphu	cap	a) spirit of an ancestor or person who has passed away; b) spirit, evil spirit.	 bhūt	n.	
150	Yamphu	carawa	a) lasting prosperity b) tokens of prosperity as used in historical rites.	 lakṣaḍ, sahā	n.	
151	Yamphu	cari	seed.	 bīū	n.	476
152	Yamphu	cariʔwariʔ	seeds and grains.	 bīubijan	n.	
153	Yamphu	carkiyaba	in the expression <i>carkiyaba</i> <i>li:ma:</i> to shout, to talk at the top of your voice.	&lt; carkinu	adj.	
154	Yamphu	carpa	bread.	 roṭi	n.	
155	Yamphu	casak	cereals.	 sāmal	n.	
156	Yamphu	cawa	spring around which ancestors settled, spring belonging to a certain clan.		n.	
157	Yamphu	cayuŋma	to be fat, to be of large proportions, to be strong	 moṭo hunu	v.intr.	
158	Yamphu	cäʔma	a) expresses that the transitive verbal situation involves an approaching movement or transportation b) expresses that the verbal situation involves a bringing to an end or a doing completely c) expresses that the verbal situation was carried out through a protracted period of time in the past.		v.tr.aux.	
159	Yamphu	cäk	a) wet; b) swampy, miry.	 ciso ciso	adj.redupl.	321
160	Yamphu	cäkci	iron.	 phālām	n.	
161	Yamphu	ʔama	portrays the verbal situation as something done with a design, to do with a special purpose, to mind that one does something, to especially go or come to a place in order to V, to go or come for the sake of V-ing	~ [absolutive particle] + rākhnu	v.intr.aux. &amp; v.tr-2 aux.	
162	Yamphu	ʔapma I	a) expresses that the verbal situation involves an approaching motion across a horizontal plane b) to come through time doing something, to have been doing something for a certain period.	 āunu	v.intr.aux.	
163	Yamphu	ʔapma II	a) expresses that the transitive verbal situation involves an approaching movement or transportation across a horizontal plane b) expresses that the transitive verbal situation took place for a protracted period of time in the past.	 lyāunu	v.tr.aux.	
164	Yamphu	ʔämma	1) expresses that the transitive verbal situation involves a downward motion, or a putting or sending down 2) (in conjunction with the transitive process-oriented auxiliary verb <i>-khäʔma</i> 'to take along') to start doing something unfitting or unbecoming 3) converts an imperative like <i>co:se</i> 'eat it' into a polite and gentle imperative		v.intr.aux. &amp; v.tr.aux.	
165	Yamphu	ʔidäʔ	day, as when referring to a certain day	 din	bound morph.	
166	Yamphu	ʔokma	1a) to open, to make room; b) to release, to undo 2a) to start doing something new or unprecedented; b) (in conjunction with one of the process-oriented auxiliary verbs <i>-khäʔma</i> 'to go', 'to take along') to start doing something insolent or offensive.		v.intr.aux. &amp; v.tr.aux.	
167	Yamphu	ʔu	elder brother		bound morph.	
168	Yamphu	ʔukma I	expresses that the situation denoted by the main verb involves a coming down		v.intr.aux.	
169	Yamphu	ʔukma II	expresses that the situation denoted by the main verb involves an approaching downward movement or transportation		v.tr.aux.	
170	Yamphu	aʔidumba	a species of insect which multiplies itself in dung.	 guhe kirā	n.	
171	Yamphu	aʔwa	leaf of a plant.	 pāt	n.	739
172	Yamphu	airo	see <u>ayu.</u>			
173	Yamphu	akkhabeʔ	in those places, around there, in that area, up and down and around that place.	~ yatā-utā	demons.adv.	
174	Yamphu	akkhan-lokma	lump of earth.		n.	
175	Yamphu	akkhoŋ	trough.	 okhal	n.	841
176	Yamphu	akkhra:bhu	a species of tree, <i>Pilea</i> <i>wightii.</i>	 kāmle	n.	
177	Yamphu	akkhuma	earth, soil, ground	 māṭo	n.	717
178	Yamphu	akkiʔmu	a) down to that place, down thither b) down in that particular place, down there.	 tyatā tala	demons.adv.	
179	Yamphu	akkiʔyu	a) toward that place, thither b) in that particular place, there.	 tyatā	demons.adv.	
180	Yamphu	akkittu	a) up to that place, up thither b) up in that particular place, up there.	 tyatā māthi	demons.adv.	
181	Yamphu	tiŋma I	to do work, to be busy, to labour.		v.intr. &amp; v.tr.	
182	Yamphu	tiŋma II	a) to pursue, to follow, to chase; b) to drive cattle; c) to chase away.	 pachyāunu, dhapāunu, haṭṭāunu	v.intr. &amp; v.tr.	
183	Yamphu	ti:rama	to go out and come back, to go somewhere and return	 pugera āunu, pugi rākhnu	v.intr.	
184	Yamphu	tipma	1) to press, to put a weight onto something to keep it down; 2) to oppress	 thicnu	v.intr. &amp; v.tr.	579
185	Yamphu	to	(always follows an infinitive) naturally, of course, it goes without saying, obviously.		suffix.	
186	Yamphu	toʔ	see <u>tok.</u>		suffix.	
187	Yamphu	togondoʔ	with a heavy thud, with a slam.		adv.onom.	
188	Yamphu	togr̂oʔwa	creaky.		adv.onom.	
189	Yamphu	tok	similaritive case; a) like; b) about, approximately.		suffix.	
190	Yamphu	tok	perched, upright		adv.redupl.	
191	Yamphu	tokko	(introduces a second alternative) in that case, then		pcl.	
192	Yamphu	tokkore	nevertheless.		pcl.	
193	Yamphu	tokma I	to find, to encounter, to obtain.	 pāunu	v.tr.	582
194	Yamphu	tokma II	to get the opportunity to, to manage to, to be in the circumstances so as to be able to	 pāunu	v.intr.aux. &amp; v.tr.aux.	582
195	Yamphu	tokma III	to congeal, to freeze, to become solid		v.intr.	521
196	Yamphu	tokma IV	to give birth to, to bear	 biyāunu, janmāunu	v.tr.	
197	Yamphu	toksia	stick used by porters on which to rest a <i>?hoko</i> (a basket used to transport goods on foot)	 toklaŋ	n.	
198	Yamphu	toktokma	big rock on which one can sit.		n.	
199	Yamphu	tomliŋ	shaky		adj. &amp; adv.	
200	Yamphu	tomma	a) pond; b) well; c) deep part in a river or stream, pool.	 kuvā, pokharī	n.	
201	Yamphu	psa	diminutive; a) little, small b) a bit, a small amount		suffix.	
202	Yamphu	pubaŋ	monkey.		n.	916
203	Yamphu	pudaŋ	plant	 boṭ	n.	
204	Yamphu	pujik	bug, insect or worm.	 kirā	n.	753
205	Yamphu	pukma I	expresses the inception of the situation denoted by the main verb		v.intr.aux. &amp; v.tr.aux.	
206	Yamphu	pukma II	to tie, to bind together, to tie a knot, e.g. around a bundle of firewood or around a sheaf etc.	 bādhnu	v.intr. &amp; v.tr.	
207	Yamphu	puma	see <u>pama.</u>			
208	Yamphu	pumbum	one whole, a lump.		adj.	
209	Yamphu	pumma	to stuff together, to lump together, to make one whole, to make a ball of something.	 ḍallo pārnu	v.intr. &amp; v.tr.	710
210	Yamphu	pu:kma	1) to rise, to get up 2) to arise, to come into being	 uṭhnu	v.intr.	732
211	Yamphu	pu:ksa	a species of deer.	 khairo m(r)ga	n.	
