RN	DOCULECT	REFLEX	CONCEPT	NEPALI	GFN	ETYMON
1	Dumi	saktɨm	cubit, the part of the arm from the elbow up to and including the hand.		n.	
2	Dumi	saktɨmtha:p	cubit as a unit of measure. Although the Dumi cubit is equivalent in length to the western cubit, provided the same individual is doing the measuring, the techniques of measuring the Dumi and the western cubit are different: Whereas the western cubit is traditionally taken as the distance between a person's elbow and the tip of the middle finger, the Dumi cubit is measured with a balled fist and is taken as the distance from the elbow to the fist which, held face-down on the surface being measured, is subsequently rolled over up to the metacarpo-phalangeal joints, the large knuckles of the hand.		n.	
3	Dumi	saldim	sweat, perspiration	 pasīnā	n.	
4	Dumi	sali	nail, talon	 nan%	n.	
5	Dumi	salim	1) wife's younger sister; 2) younger brother's wife's younger sister		n.	
6	Dumi	salo	1) wife's younger brother; 2) younger brother's wife's younger brother		(voc. sala) n.	
7	Dumi	sam	spirit, mood		n.	
8	Dumi	sambɨ-khi:bɨ	Tibetan mastiff, large black dog with brown paws and muzzle used by cis-Himalayan Tibetans, but not by the Dumi, as a watchdog and for herding yaks	 bhoṭe kukur.	n.	
9	Dumi	samlɨ	story, fable, myth	 kahānī, kathā	n.	
10	Dumi	samlɨ-momlɨ	orally transmitted text, myth, story, narrative	 kathā-kahānī.	n.	
11	Dumi	sampha:kNsinɨ				
12	Dumi	sampheʔlu	1) the Omniscient Stone, one of several epithets for the mythological omniscient stone described as a shiny, polished perfectly flat slab of stone (Nep. cyāpṭo ḍhun%gā ); the stone of yári:-tsɨʔ́ri: 'True Knowledge'; 2) the mystic mountain in whose interior the secrets of creation are divulged to the shaman in dreams		n.myth.	
13	Dumi	samphep	a flat, shiny stone used in conjunction with a rɨtsɨlu as a hard surface for grinding spices	 silauṭā.	n.	
14	Dumi	samsam	exorcism, propitiation of spirits by a shaman at a healing ceremony		n.	
15	Dumi	samsir	welfare, well-being, comfort.		n.	
16	Dumi	samtsu	speaking man, conscious man, human being, humankind.		n.	
17	Dumi	samtsu-mi:ntsu	mankind, humankind.		n.	
18	Dumi	saNge:rbu	bamboo species Arundinaria aristata, not or no longer native to Dumi-speaking areas	 mālin%go.	n.	
19	Dumi	saNge:rma	a jingle rhyming with gaNge:rma 'Pyracantha crenulata' which occurs in the expression gaNge:rma saNge:rma 'underbrush and reeds'.		n.	
20	Dumi	saNkhi:m	sweat, perspiration	 pasīnā	n.	
21	Dumi	khikɨ	1) glue; 2) sticky paste used in a trap to ensnare birds by rendering them flightless	 liso.	n.	
