RN	DOCULECT	REFLEX	CONCEPT	NEPALI	GFN	ETYMON
1	Limbu	cɛ:dhi	giant intestinal roundworms, Ascaris lumbricoides.		n.	
2	Limbu	cɛ:Nmaʔ, -cɛ:ks-/-cɛ:N-	discuss		vt.	
3	Limbu	cɛpmaʔ, -cɛpt-/-cɛp-	1) cut or chop (sa meat, siN wood, etc.); 2) (with animate patient) slaughter		vt.	
4	Limbu	cɛpsi	emaciated person.		n.	
5	Limbu	cɛtthe:	dish.		n.	
6	Limbu	cɛtthya				
7	Limbu	cǝmmaʔ, -cǝm-	laud, praise, speak well of someone		vt.	
8	Limbu	cǝppǝl	sandal, slipper.		n.	
9	Limbu	ciʔ	1) a bit, a few; 2) postp., a little bit.		adv.	786
10	Limbu	ciʔaʔ	just a little bit, teensy bit.		adv.	
11	Limbu	cibuk	excited		adj.adv.	
12	Limbu	cidziʔ	a little bit.		adv.	
13	Limbu	cigɛʔ	intensifier in the expression sik lɔʔmaʔ, q.v.		adv.	
14	Limbu	cigip	glue, sticky resin any sticky fluid		n.	
15	Limbu	cila:pphe:pma	butterfly		n.	669
16	Limbu	cimmaʔ, -cips-/-cim-	shut someone up, stop something or someone from making noise, turn something off.		vt.	
17	Limbu	cindzinma	large shrub Brassaiopsis hainla and, occasionally, glomerulata		n.	
18	Limbu	ciNmaʔ, -ciks-/-ciN-	hide, conceal.		vt.	
19	Limbu	ci:kmaʔ, -ci:kt-/-ci:k-	cool off		vi.	321
20	Limbu	ci:mmaʔ, -ci:nd-/-ci:n-	foul, defile		vt.	
21	Limbu	tɔʔigɛn-naNge:piba	to the northeast (mythological)		adv.	
22	Limbu	tɔʔi:nahaN	north		n.adv.	
23	Limbu	tɔʔlumbe:ʔ	oesophagus		n.	
24	Limbu	tɔʔmaʔ, -tɔʔr-/-tɔʔ-	have sewn for someone		vt.	
25	Limbu	tɔk	cooked rice (Nep. bhāt), generally used as a synonym for wɛtchaʔdɔk, cf. syaʔ, yaʔ		n.	
26	Limbu	tɔkciʔ	little bits of cooked rice sprinkled either deliberately (as in the practice of co:ʔco:ʔ mɛpmaʔ) or inad- vertently on the floor.		n.	
27	Limbu	tɔkkaʔl	stick, rod, staff.		n.	
28	Limbu	tɔkkrima	stout, stumpy bronze goblet for serving yumlakpa or se:dzɔNwa or children's portions of thi:		n.	
29	Limbu	tɔkkrumba	throat, the front of the neck		n.	573
30	Limbu	tɔkmaʔ, -tɔkt-/-tɔk-	1) hold up, support, keep up straight 2) last someone (of a supply)		vt.	581
31	Limbu	tɔkpɛʔl	with a straight spine, straight up		adv.	
32	Limbu	tɔksikwa	leftovers.		n.	
33	Limbu	tɔksɔN	highland, the mountains, the mountainous regions		n.adv.	
34	Limbu	tɔmaʔ, -tɔr-/-tɔn-	I) 1) curse someone, reprove someone, ridicule 2) [slang] eat; II) 1) afflict 2) (with lambo: 'a cold', q.v.) catch a cold; 3) (with sakwama 'famine') suffer a famine, suffer a bad harvest		vt.	
35	Limbu	tɔmaʔ, -tɔr-/-tɔ-	(with le: penis, hira vagina) [vulgar] be itchy; be horny		vi.	
36	Limbu	tɔNba	1) hot millet beer served in a wooden barrelshaped vessel with a lid, filled roughly halfway with fermented red millet (sɔNaʔ) to which boiling water is added; the beer is imbibed through a bamboo straw (pi:tchiN) running through the centre of the lid and finely slit at the bottom to prevent the sɔNaʔ from entering the straw; the boiling water may be replenished several times; when served, the pi:tchiN is offered separately in a phɔgǝna filled with water, and a small dish of meat or yumlakpa is offered as a side-dish; 2) the receptacle in which tɔNba (1) is served		n.	
37	Limbu	tɔNbe:	year.		n.	560
38	Limbu	tɔNmaʔ, -tɔN-	meet, fit, make sense, be correct or fitting, come together, be reconciled		vi.	833
39	Limbu	tɔNmaʔ, -tɔns-/-tɔN-	fit together, make fit, repair, arrange, reconcile		vt.	
40	Limbu	tɔNsiNmaʔ	find oneself something, arrange something (eg. a job) for oneself, get oneself something.		vr.	
41	Limbu	suriʔl	wind.		n.	
42	Limbu	surti	tobacco.		n.	
43	Limbu	surubuNge:	potpourri, stew, hodge-podge		n.	
44	Limbu	suruN	tunnel.		n.	
45	Limbu	swaʔl lɔʔmaʔ				
46	Limbu	sya	husked rice; husked grain		n.	276
47	Limbu	syaʔl	sting		n.	
48	Limbu	syaʔl	the Eurasian jackal, Canis aureus		n.	
49	Limbu	syaʔl kɛsɛppa	pejorative ethnonym for an Indian or Indo-Aryan inhabitant of the Tarāī		n.	
50	Limbu	syutmaʔ, -syutt-/-syut-/-syuʔl	be sour, taste sour, turn sour		vi.	308
