NUMBER	GLOSS	SEMANTIC TAG	STATUS
1	the work	action	!
2	to bite	action	!
3	to buy	action	!
4	to chew	action	!
5	to come	action	!
6	to cook	action	!
7	to count	action	!
8	to cry (weep)	action	!
9	to cut	action	!
10	to dig	action	!
11	to drink	action	!
12	to eat	action	!
13	to fight	action	!
14	to fly (move through air)	action	!
15	to give	action	!
16	to grow	action	!
17	to hear	action	!
18	to hide (conceal)	action	!
19	to hit	action	!
20	to hold	action	!
21	to hunt	action	!
22	to kill	action	!
23	to know	action	!
24	to laugh	action	!
25	to lick	action	!
26	to lie down	action	!
27	to lie, rest	action	!
28	to open	action	!
29	to plant	action	!
30	to play	action	!
31	to pull	action	!
32	to push	action	!
33	to reside (live)	action	!
34	to say	action	!
35	to scratch	action	!
36	to see	action	!
37	to shoot (an arrow)	action	!
38	to sing	action	!
39	to sit	action	!
40	to sleep	action	!
41	to smell (perceive odor) [transitive]	action	!
42	to spit	action	!
43	to split	action	!
44	to stand	action	!
45	to steal	action	!
46	to think (reflect)	action	!
47	to throw	action	!
48	to tie (together)	action	!
49	to vomit	action	!
50	to walk	action	!
51	to wash	action	!
52	to wipe	action	!
53	to breathe	action	?
54	to choose	action	?
55	to climb	action	?
56	to freeze (intransitive)	action	?
57	to rub	action	?
58	to sew	action	?
59	to squeeze	action	?
60	to stab	action	?
61	to suck	action	?
62	to swim	action	?
63	to turn (around)	action	?
64	to yawn	action	?
65	knead	action	&
66	marry (a man marries a woman)	action	&
67	forget	action	&
68	learn	action	&
69	run	action	&
70	swallow	action	&
71	the bird	animal	!
72	the fish	animal	!
73	the louse	animal	!
74	the mosquito	animal	!
75	the mouse or rat	animal	!
76	the snake	animal	!
77	the spider	animal	!
78	the worm	animal	!
79	the ant	animal	&
80	the bedbug	animal	&
81	the cattle	animal	&
82	the crow	animal	&
83	the donkey, ass 	animal	&
84	the dragonfly	animal	&
85	the earthworm	animal	&
86	the goose	animal	&
87	the magpie	animal	&
88	the monkey	animal	&
89	the pig	animal	&
90	the rabbit	animal	&
91	the bull	animal	&
92	the butterfly	animal	&
93	the cat	animal	&
94	the centipede	animal	&
95	the hen (chicken)	animal	&
96	the duck	animal	&
97	the frog	animal	&
98	the goat	animal	&
99	the sheep	animal	&
100	the sparrow	animal	&
101	the tiger	animal	&
102	the wolf	animal	&
103	the animal	animal, abstract	?
104	the egg	animal, product	!
105	the feather	animal, product	!
106	the belly	body	!
107	the blood	body	!
108	the bone	body	!
109	the breast	body	!
110	the ear	body	!
111	the eye	body	!
112	the foot	body	!
