GLOSS	AMBIGUITY	COVERAGE	SOURCES
April		1	ZMYYC
April (chicken month)		1	ZMYYC
August		1	ZMYYC
August (bovine month)		1	ZMYYC
Chinese		1	ZMYYC
December		1	ZMYYC
December (snake month)		1	ZMYYC
February (sheep month)		1	ZMYYC
January (horse month)		1	ZMYYC
July		1	ZMYYC
July (rat month)		1	ZMYYC
June		1	ZMYYC
June (pig month)		1	ZMYYC
March		1	ZMYYC
March (monkey month)		1	ZMYYC
May		1	ZMYYC
May (dog month)		1	ZMYYC
NEG		1	ZMYYC
NEG+copula		1	ZMYYC
NEG+have		1	ZMYYC
November		1	ZMYYC
November (dragon)		1	ZMYYC
October		1	ZMYYC
October (rabbit month)		1	ZMYYC
September		1	ZMYYC
September (tiger month)		1	ZMYYC
acre		1	ZMYYC
again		1	ZMYYC
again;again		1	ZMYYC
airplane		1	ZMYYC
alive		1	ZMYYC
all / even		1	ZMYYC
also		1	ZMYYC
arm (upper)		1	ZMYYC
army		1	ZMYYC
arrive;arr. throughout the yr		1	ZMYYC
ask / inquire		1	ZMYYC
aunt (father's elder sister)		1	ZMYYC
aunt (mater., older than mom)		1	ZMYYC
aunt (maternal)		1	ZMYYC
aunt (mother's elder sister)		1	ZMYYC
aunt (paternal)		1	ZMYYC
aunt (paternal) direct address		1	ZMYYC
aunt (paternal, elder)		1	ZMYYC
aunt (paternal, elder)(direct)		1	ZMYYC
aunt (paternal, elder)(ref)		1	ZMYYC
aunt (wife of maternal uncle)		1	ZMYYC
aunt (wife of younger paternal		1	ZMYYC
autonym		1	ZMYYC
autonym (Burmese)		1	ZMYYC
autonym; autonym (ancient)		1	ZMYYC
autumn		1	ZMYYC
ax		1	ZMYYC
back (direction)		1	ZMYYC
back (of body)		1	ZMYYC
back / waist		1	ZMYYC
ball		1	ZMYYC
bamboo bucket		1	ZMYYC
bamboo shoot		1	ZMYYC
bank		1	ZMYYC
barley (Tibetan)		1	ZMYYC
barrel / pail / bucket		1	ZMYYC
barrel / pail / bucket for water		1	ZMYYC
basket (bamboo, large)		1	ZMYYC
bathe		1	ZMYYC
be / copula		1	ZMYYC
beans		1	ZMYYC
begin (caus.)		1	ZMYYC
belly (outside part of body)		1	ZMYYC
birth, give (polite term)		1	ZMYYC
birth, give (taboo)		1	ZMYYC
birth, give; give birth (animal)		1	ZMYYC
bite(snake, rat); bite(by dog)		1	ZMYYC
bitter (N)		1	ZMYYC
black bovine		1	ZMYYC
bloom		1	ZMYYC
blow (of wind)		1	ZMYYC
blow on fire, blow flute		1	ZMYYC
blow with mouth		1	ZMYYC
board / plank		1	ZMYYC
boil (rice); boil (water)		1	ZMYYC
book (TibStyle);book(newstyle)		1	ZMYYC
borrow / lend		1	ZMYYC
borrow / lend (money);(things)		1	ZMYYC
borrow / lend thing		1	ZMYYC
borrow / lend;borrow / lend thing		1	ZMYYC
bovine		1	ZMYYC
bow (weapon)		1	ZMYYC
bow and arrow;bow (weapon)		1	ZMYYC
bowl, wooden		1	ZMYYC
bowl; wooden, porcelain		1	ZMYYC
braid		1	ZMYYC
bran		1	ZMYYC
break (rope, etc.)		1	ZMYYC
break (v.i. of rope, etc.)		1	ZMYYC
break(vi,rope);break (vi,stick		1	ZMYYC
breakfast		1	ZMYYC
breast; milk		1	ZMYYC
bridge (general)		1	ZMYYC
bro (younger)direct / general		1	ZMYYC
bro (younger)used by elder bro		1	ZMYYC
brother (elder) (direct)		1	ZMYYC
brush		1	ZMYYC
buckwheat (bitter)		1	ZMYYC
buckwheat; buckwheat (sweet)		1	ZMYYC
bud (of crops)		1	ZMYYC
bull; cow		1	ZMYYC
bury (something)		1	ZMYYC
cabbage (Chinese)		1	ZMYYC
calf;thigh		1	ZMYYC
call so.; cry out		1	ZMYYC
candle		1	ZMYYC
cannon		1	ZMYYC
car		1	ZMYYC
carry on a pole (two people)		1	ZMYYC
carry on back		1	ZMYYC
carry on shoulder		1	ZMYYC
carrytowardspkr;carryfromspkr		1	ZMYYC
cast		1	ZMYYC
castrate		1	ZMYYC
catty=500 grams		1	ZMYYC
celebrate new year		1	ZMYYC
certainly		1	ZMYYC
change / transform		1	ZMYYC
change;		1	ZMYYC
chase / run after		1	ZMYYC
cheat / swindle		1	ZMYYC
chipped		1	ZMYYC
choke		1	ZMYYC
chop (tree)		1	ZMYYC
chopsticks for fire		1	ZMYYC
city		1	ZMYYC
classifier for animals		1	ZMYYC
classifier for clothes		1	ZMYYC
classifier for e.g. bowls		1	ZMYYC
classifier for grains		1	ZMYYC
classifier for long objects		1	ZMYYC
classifier for long, thin obje		1	ZMYYC
classifier for objects with ha		1	ZMYYC
close (eye)		1	ZMYYC
close (eye); close (door)		1	ZMYYC
cloudy		1	ZMYYC
cloudy (V)		1	ZMYYC
cold (water;food)		1	ZMYYC
collapse		1	ZMYYC
come (of rain, people)		1	ZMYYC
come back;go back		1	ZMYYC
connect		1	ZMYYC
cook / boil (rice); boil meat		1	ZMYYC
cooked		1	ZMYYC
cool		1	ZMYYC
copper (yellow)		1	ZMYYC
copper (yellow); copper (red)		1	ZMYYC
copper(red);copper (yellow)		1	ZMYYC
correct / change		1	ZMYYC
country / nation		1	ZMYYC
courage		1	ZMYYC
crack		1	ZMYYC
crack wood;crack earth / melon		1	ZMYYC
crawl		1	ZMYYC
cross (river)		1	ZMYYC
cry out / yell		1	ZMYYC
cut		1	ZMYYC
cut (firewood)		1	ZMYYC
cut (vegetable)		1	ZMYYC
cut (vegetable);cut meat		1	ZMYYC
cut ear of grain; cut root		1	ZMYYC
cut meat;cut melon;cut veg's		1	ZMYYC
cut open (fish)		1	ZMYYC
day (24 hours)		1	ZMYYC
day (24 hours) (measure word)		1	ZMYYC
day(time)		1	ZMYYC
day, eleventh of month		1	ZMYYC
day, fifteenth of month		1	ZMYYC
day, fifth of month		1	ZMYYC
day, first of month		1	ZMYYC
day, sixteenth of month		1	ZMYYC
day, third of month		1	ZMYYC
day, thirtieth of month		1	ZMYYC
day, twentieth of month		1	ZMYYC
day, twentieth of month (lunar		1	ZMYYC
deep-fry		1	ZMYYC
delicious		1	ZMYYC
dhole, jackal		1	ZMYYC
dig (ditch)		1	ZMYYC
diligent		1	ZMYYC
dinner		1	ZMYYC
don't		1	ZMYYC
drink; drink (caus.)		1	ZMYYC
drip		1	ZMYYC
drive animal;drive out		1	ZMYYC
drive away		1	ZMYYC
drive verbally;drive w / stone		1	ZMYYC
drop / fall		1	ZMYYC
drum (big); drum (small hand)		1	ZMYYC
drunk		1	ZMYYC
dry (clothes) near fire		1	ZMYYC
dry in the sun		1	ZMYYC
dry in the sun (outdoors)		1	ZMYYC
dry measure / peck / =10 shēng		1	ZMYYC
dry measure / pint		1	ZMYYC
dry season		1	ZMYYC
dry(clothes)nr fire;dry(kang)		1	ZMYYC
dung / manure		1	ZMYYC
dung / manure of cow		1	ZMYYC
dustpan / winnowing sieve		1	ZMYYC
dwell / live		1	ZMYYC
ear (of grain-producing plant)		1	ZMYYC
earring (big); earring (small)		1	ZMYYC
eat rice; eat meat		1	ZMYYC
eat; eat (causative)		1	ZMYYC
eat; eat (of birds)		1	ZMYYC
edge		1	ZMYYC
eggplant		1	ZMYYC
eighth		1	ZMYYC
enclosure		1	ZMYYC
encounter / meet		1	ZMYYC
enemy (personal)		1	ZMYYC
escape		1	ZMYYC
exist / be present		1	ZMYYC
exist / be present (of animals)		1	ZMYYC
exit		1	ZMYYC
fall (down)		1	ZMYYC
farmer		1	ZMYYC
fast (adv.)		1	ZMYYC
fat (beef)		1	ZMYYC
fat (meat)		1	ZMYYC
fat (of people)		1	ZMYYC
fat (pork)		1	ZMYYC
father (ref.);father (direct)		1	ZMYYC
father(direct);father (gen'l)		1	ZMYYC
father-in-law (direct address)		1	ZMYYC
fathom=6 feet		1	ZMYYC
feed	n,v	1	ZMYYC
feed livestock;feed child		1	ZMYYC
feed; feed child		1	ZMYYC
fertilizer		1	ZMYYC
fertilizer (manure)		1	ZMYYC
fifth		1	ZMYYC
fight (of cattle)		1	ZMYYC
fine (flour)		1	ZMYYC
fingernail		1	ZMYYC
fir		1	ZMYYC
fireplace		1	ZMYYC
fishy		1	ZMYYC
flag		1	ZMYYC
flail		1	ZMYYC
flash (of lightning)		1	ZMYYC
flat / level(land)		1	ZMYYC
flute-like instrument (Turkic)		1	ZMYYC
fly; fly in circles		1	ZMYYC
fodder		1	ZMYYC
folksong		1	ZMYYC
foot (measure)		1	ZMYYC
forty (Tib. borr)		1	ZMYYC
fragrant		1	ZMYYC
friend (btwn men)		1	ZMYYC
from now on		1	ZMYYC
full / satiated		1	ZMYYC
full / satiated (V)		1	ZMYYC
gall		1	ZMYYC
garbage		1	ZMYYC
ghost / demon		1	ZMYYC
give / send / deliver		1	ZMYYC
give / send / deliver;send guest		1	ZMYYC
give out / distribute		1	ZMYYC
give out / distribute wages		1	ZMYYC
give out / distribute;germinate		1	ZMYYC
gnaw		1	ZMYYC
go through (a hole)		1	ZMYYC
go upward		1	ZMYYC
goat / sheep (generic)		1	ZMYYC
god / deity		1	ZMYYC
granary		1	ZMYYC
grandfather(direct);grandfathe		1	ZMYYC
grandmother (direct)		1	ZMYYC
grass (wild);cattle feed		1	ZMYYC
grave;grave mound		1	ZMYYC
graze		1	ZMYYC
grip / hold		1	ZMYYC
ground		1	ZMYYC
ground; ground (ploughed)		1	ZMYYC
gruel		1	ZMYYC
guess		1	ZMYYC
hair / fur		1	ZMYYC
hair of head		1	ZMYYC
half;halfway		1	ZMYYC
hammer (nail in)		1	ZMYYC
handspan		1	ZMYYC
hang (object)		1	ZMYYC
hang (object) (caus.)		1	ZMYYC
hat (bamboo)		1	ZMYYC
hat for rain		1	ZMYYC
hatch		1	ZMYYC
hatch (v.i.); hatch (vt)		1	ZMYYC
have		1	ZMYYC
he / she		1	ZMYYC
highway		1	ZMYYC
highway ("motor veh. road")		1	ZMYYC
hit (target)		1	ZMYYC
hit / beat		1	ZMYYC
hit / beat with fist		1	ZMYYC
