ID	rn	reflex	GLOSS	x	srcabbr	lgid	language	srcid
669	465818	chu-stim-a	doze; nod (vi)		RB-LMMG	1945	Garo (Bangladesh)	7.96-II:idx
670	465819	chu-ti	holiday (n)		RB-LMMG	1945	Garo (Bangladesh)	8.433-II:idx
671	465820	chu-wan-chi	yeast (n)		RB-LMMG	1945	Garo (Bangladesh)	5.405-II:idx
672	465821	da•-an-da•-an	often (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.71-II:idx
673	465822	da-ba	pipe; water pipe (n)		RB-LMMG	1945	Garo (Bangladesh)	5.429-II:idx
674	465823	da-da	brother (n)		RB-LMMG	1945	Garo (Bangladesh)	6.614-II:idx
675	465824	da-gai	playing field (n)		RB-LMMG	1945	Garo (Bangladesh)	8.81-II:idx
676	465825	dai	midwife (n)		RB-LMMG	1945	Garo (Bangladesh)	6.77-II:idx
677	465826	dail	dahl; pulse (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
678	465827	dak-a	act; behave; do; make (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
679	465828	da-kait	bandit; dacoit; robber (n)		RB-LMMG	1945	Garo (Bangladesh)	8.33-II:idx
680	465829	dak-bru-a	pretend (vi)		RB-LMMG	1945	Garo (Bangladesh)	7.25-II:idx
681	465830	dak-dil-a	show how (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.73-II:idx
682	465831	dak-grik-a	fight (vi)		RB-LMMG	1945	Garo (Bangladesh)	8.36-II:idx
683	465832	dak-nam	name, familiar, personal (n)		RB-LMMG	1945	Garo (Bangladesh)	7.18-II:idx
684	465833	da-kon	cover; lid (n)		RB-LMMG	1945	Garo (Bangladesh)	5.438-II:idx
685	465834	dak-ri	almost (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.341-II:idx
686	465835	dal•-a	big; large (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.213-II:idx
687	465836	dal-an-nok	house, masonary (n)		RB-LMMG	1945	Garo (Bangladesh)	5.624-II:idx
688	465837	dal•-a-sot-sot	boastful; conceited (adv)		RB-LMMG	1945	Garo (Bangladesh)	7.748-II:idx
689	465838	dal•-nik-a	look up to; respect (vt)		RB-LMMG	1945	Garo (Bangladesh)	7.43-II:idx
690	465839	dam	price (n)		RB-LMMG	1945	Garo (Bangladesh)	8.442-II:idx
691	465840	dam-	place; places (cls)		RB-LMMG	1945	Garo (Bangladesh)	1.31-II:idx
692	465841	da-ma	drum (n)		RB-LMMG	1945	Garo (Bangladesh)	8.85-II:idx
693	465842	dam•-bak-a	squat; stocky (vi)		RB-LMMG	1945	Garo (Bangladesh)	6.46-II:idx
694	465843	dam-bong	mushroom (n)		RB-LMMG	1945	Garo (Bangladesh)	4.656-II:idx
695	465844	dam-bu	lots; much (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.342-II:idx
696	465845	dam-san	same; together (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.25-II:idx
697	465846	dan-dan-a	lean against (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.349-II:idx
698	465847	-dang	plural (ns)		RB-LMMG	1945	Garo (Bangladesh)	0.11-II:idx
699	465848	dang•-a	fit (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.22-II:idx
700	465849	dang-a	cultivate (vt)		RB-LMMG	1945	Garo (Bangladesh)	5.156-II:idx
701	465850	dang-ga	money (n)		RB-LMMG	1945	Garo (Bangladesh)	8.447-II:idx
702	465851	dang•-kep	tongs (n)		RB-LMMG	1945	Garo (Bangladesh)	5.438-II:idx
703	465852	dang-rok-a	scrape (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.576-II:idx
704	465853	da•-o-ba	again (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.71-II:idx
705	465854	dap-a	bury; cover (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.576-II:idx
706	465855	dap-ket-a	bury (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.576-II:idx
707	465856	dap-pu-a	bury (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.576-II:idx
708	465857	da-reng-a	sharp (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.666-II:idx
709	465858	da-ri	mat (n)		RB-LMMG	1945	Garo (Bangladesh)	5.852-II:idx
710	465859	da-ri	adulterer (n)		RB-LMMG	1945	Garo (Bangladesh)	8.33-II:idx
711	465860	da•-sal	today (n)		RB-LMMG	1945	Garo (Bangladesh)	2.65-II:idx
712	465861	dat-a	pound into (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.571-II:idx
713	465862	da-wil-a	circular; negative imperative; round (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.313-II:idx
714	465863	de•-a	lift; raise (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.532-II:idx
715	465864	de-bra	carrying cloth (n)		RB-LMMG	1945	Garo (Bangladesh)	6.521-II:idx
716	465865	de•-bri-a	shake; toss (vt)		RB-LMMG	1945	Garo (Bangladesh)	5.16-II:idx
717	465866	de-chap	twin (n)		RB-LMMG	1945	Garo (Bangladesh)	6.64-II:idx
718	465867	de•-gang-git-a	slanting (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.317-II:idx
719	465868	de•-gat-a	lift; load (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.532-II:idx
720	465869	de•-jit-a	move (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.511-II:idx
721	465870	dek-dek-a	twitch (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.322-II:idx
722	465871	del-a	sting (vt)		RB-LMMG	1945	Garo (Bangladesh)	4.482-II:idx
723	465872	del-ang	spirit house (n)		RB-LMMG	1945	Garo (Bangladesh)	8.58-II:idx
724	465873	dem•-	folds (cls)		RB-LMMG	1945	Garo (Bangladesh)	137-II:idx
725	465874	dem•-a	fold (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.641-II:idx
726	465875	de-me-chik	daughter (n)		RB-LMMG	1945	Garo (Bangladesh)	6.617-II:idx
727	465876	den•-a	chop; cut (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.573-II:idx
728	465877	deng-deng-a	flail; restless; squirm; wiggle (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.319-II:idx
729	465878	deng-ga	spinach like vegetable (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
730	465879	deng-gok-a	bow (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.348-II:idx
731	465880	deng-gu	naughty (n)		RB-LMMG	1945	Garo (Bangladesh)	8.33-II:idx
732	465881	den•-ku-rak-a	split (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.573-II:idx
733	465882	-dep-	flat (aa)		RB-LMMG	1945	Garo (Bangladesh)	2.311-II:idx
734	465883	de-pan-te	son (n)		RB-LMMG	1945	Garo (Bangladesh)	6.617-II:idx
735	465884	des	country; nation (n)		RB-LMMG	1945	Garo (Bangladesh)	8.22-II:idx
736	465885	de-srong	twin (n)		RB-LMMG	1945	Garo (Bangladesh)	6.64-II:idx
737	465886	de•-tom-a	carry (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.532-II:idx
738	465887	de•-tom-brot-a	carry; lift (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.532-II:idx
739	465888	de-wal	wall (n)		RB-LMMG	1945	Garo (Bangladesh)	5.638-II:idx
740	465889	di-di	teacher (n)		RB-LMMG	1945	Garo (Bangladesh)	8.6-II:idx
741	465890	dik-a	thick (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.25-II:idx
742	465891	dik-dik-sa	little while (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.53-II:idx
743	465892	dik-ka	pot, large (n)		RB-LMMG	1945	Garo (Bangladesh)	5.432-II:idx
744	465893	dik-te	pot (n)		RB-LMMG	1945	Garo (Bangladesh)	5.432-II:idx
745	465894	dik-tom	pot for rice beer (n)		RB-LMMG	1945	Garo (Bangladesh)	5.432-II:idx
746	465895	dil-a	impoverished; poor (vi)		RB-LMMG	1945	Garo (Bangladesh)	8.441-II:idx
747	465896	dil-a	cause; guide; lead; show how (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.73-II:idx
748	465897	dil•-dek-ga-dek	loose (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.23-II:idx
749	465898	dil-dek-ga-dek	wobble (adv)		RB-LMMG	1945	Garo (Bangladesh)	9.258-II:idx
750	465899	dil•-dil-a	shake; tremble (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.322-II:idx
751	465900	dil-ding bal•-jak	adolescent; mature (adv)		RB-LMMG	1945	Garo (Bangladesh)	6.78-II:idx
752	465901	dil•-dok-dil•-dok	soft (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.664-II:idx
753	465902	dil-ing-dil-ing	swirling (adv)		RB-LMMG	1945	Garo (Bangladesh)	4.248-II:idx
754	465903	dim•-a	build (vt)		RB-LMMG	1945	Garo (Bangladesh)	5.631-II:idx
755	465904	dim•-a	damp (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.272-II:idx
756	465905	dim-a	swarm (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.486-II:idx
757	465906	dim•-ak	soot (n)		RB-LMMG	1945	Garo (Bangladesh)	5.422-II:idx
758	465907	dim-breng-a	straight (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.318-II:idx
759	465908	dim-dak	all; every (n)		RB-LMMG	1945	Garo (Bangladesh)	3.343-II:idx
760	465909	dim-dim-a	burn brightly (vi)		RB-LMMG	1945	Garo (Bangladesh)	5.425-II:idx
761	465910	dim-prong-dim-prong	dusty; smoky (adv)		RB-LMMG	1945	Garo (Bangladesh)	5.422-II:idx
762	465911	ding•-a	hot (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.673-II:idx
763	465912	ding-a	attack; fight (vt)		RB-LMMG	1945	Garo (Bangladesh)	8.36-II:idx
764	465913	ding•-bru-ding•-bru	warm (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.673-II:idx
765	465914	ding-chon-a	thin (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.211-II:idx
766	465915	ding-dang	big around; different (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.435-II:idx
767	465916	ding-de-a	hang (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.255-II:idx
768	465917	ding-ding	stretched (adv)		RB-LMMG	1945	Garo (Bangladesh)	9.642-II:idx
769	465918	ding•-du-a	fever (vi)		RB-LMMG	1945	Garo (Bangladesh)	8.93-II:idx
770	465919	ding•-il-a ding•-cha-a	burning (vi)		RB-LMMG	1945	Garo (Bangladesh)	8.94-II:idx
771	465920	ding•-ka-ri	hot season (n)		RB-LMMG	1945	Garo (Bangladesh)	2.84-II:idx
772	465921	ding-sri-sri	thin (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.211-II:idx
773	465922	dip-a	bed bug (n)		RB-LMMG	1945	Garo (Bangladesh)	4.468-II:idx
774	465923	di-pang-pil-ek-a	upside down (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.327-II:idx
775	465924	dip-ik-a	powdery (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.668-II:idx
776	465925	dip-it-a	tough (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.668-II:idx
777	465926	dip-u dip-u	soft (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.664-II:idx
778	465927	dis-mel	decimal (n)		RB-LMMG	1945	Garo (Bangladesh)	5.12-II:idx
779	465928	dit-a	filled; filter (vt)		RB-LMMG	1945	Garo (Bangladesh)	5.458-II:idx
780	465929	-do-	upward (aa)		RB-LMMG	1945	Garo (Bangladesh)	2.14-II:idx
781	465930	do•-	bird (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
782	465931	do-a	climb; upward (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.318-II:idx
783	465932	do•-bi-ma	hen (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
784	465933	do•-bi-pa	cock; rooster (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
785	465934	do•-bit-chi	egg (n)		RB-LMMG	1945	Garo (Bangladesh)	4.475-II:idx
786	465935	do•-bring	wild foul (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
787	465936	do•-chi-dik	bird coop; chicken coop (n)		RB-LMMG	1945	Garo (Bangladesh)	5.852-II:idx
788	465937	do•-di	peacock (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
789	465938	do•-ga	door (n)		RB-LMMG	1945	Garo (Bangladesh)	5.638-II:idx
790	465939	do•-ga-chol	doorway (n)		RB-LMMG	1945	Garo (Bangladesh)	5.638-II:idx
791	465940	do•-gep	duck (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
792	465941	do•-gring	bird basket (n)		RB-LMMG	1945	Garo (Bangladesh)	5.852-II:idx
793	465942	do•-gu-gu	dove; pigeon (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
794	465943	do•-ja-rak	duck (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
795	465944	-dok	six (num)		RB-LMMG	1945	Garo (Bangladesh)	3.3706-II:idx
796	465945	do•-ka	crow (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
797	465946	dok-a	beat; forge; hit; make (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.553-II:idx
798	465947	do-kan	shop (n)		RB-LMMG	1945	Garo (Bangladesh)	8.449-II:idx
799	465948	dok-a-sik-a-ni	musical instruments (n)		RB-LMMG	1945	Garo (Bangladesh)	8.85-II:idx
800	465949	dok-ban-da	skirt (n)		RB-LMMG	1945	Garo (Bangladesh)	6.526-II:idx
801	465950	dok-bo	goiter (n)		RB-LMMG	1945	Garo (Bangladesh)	8.956-II:idx
802	465951	dok-dek-a	waggle head (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.41-II:idx
803	465952	dok-dep-a	flatten (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.578-II:idx
804	465953	Dok-gip-a	God (n)		RB-LMMG	1945	Garo (Bangladesh)	8.54-II:idx
805	465954	dok-grik-a	fight (vi)		RB-LMMG	1945	Garo (Bangladesh)	8.36-II:idx
806	465955	dok-kak-kak-a	knock; tap (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.553-II:idx
807	465956	dok-kiin	south (n)		RB-LMMG	1945	Garo (Bangladesh)	4.218-II:idx
808	465957	dok-ro-rek-a	wag (vt)		RB-LMMG	1945	Garo (Bangladesh)	4.488-II:idx
809	465958	dok-tap-a	pat (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.552-II:idx
810	465959	dok-tip-tip-a	pat; slap (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.552-II:idx
811	465960	dok-tok-tok-a	knock; tap (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.557-II:idx
812	465961	do•-ku-ru	dove; pigeon (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
813	465962	dol•-a	roll up (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.645-II:idx
814	465963	dol-deng-dol-deng	dangling; hanging; swinging (adv)		RB-LMMG	1945	Garo (Bangladesh)	9.257-II:idx
815	465964	dol-dop-a	sag (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.642-II:idx
816	465965	do◦l-|ong	bridge (n)		RB-LMMG	1945	Garo (Bangladesh)	5.646-II:idx
817	465966	dom	pig selling caste (n)		RB-LMMG	1945	Garo (Bangladesh)	6.89-II:idx
818	465967	do•-man-di	domestic foul (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
819	465968	do•-mat	animals (n)		RB-LMMG	1945	Garo (Bangladesh)	4.40-II:idx
820	465969	do•-mok	goat (n)		RB-LMMG	1945	Garo (Bangladesh)	5.35-II:idx
821	465970	do•-mok-me-ra	sheep (n)		RB-LMMG	1945	Garo (Bangladesh)	5.35-II:idx
822	465971	don-a	call; name (vt)		RB-LMMG	1945	Garo (Bangladesh)	7.18-II:idx
823	465972	don-a	omit; place; put (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.68-II:idx
824	465973	don-ba-a	leave behind (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.538-II:idx
825	465974	don-chak-a	shut in; store (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.68-II:idx
826	465975	don-e	leave out; omitting (adv)		RB-LMMG	1945	Garo (Bangladesh)	9.538-II:idx
827	465976	dong-a	belong; dwell; have; reside (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
828	465977	dong-ba-a	there are; there is (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
829	465978	dong-chak-a	dwell; reside; stay (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
830	465979	dong-chap-a	second wife, give (vt)		RB-LMMG	1945	Garo (Bangladesh)	6.652-II:idx
831	465980	dong-dam-a	dwell (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
832	465981	dong-dang-a	stay (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
833	465982	dong-dil-a	care for (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.73-II:idx
834	465983	dong-dip-a	pause; stop (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.14-II:idx
835	465984	dong-gip-eng dong-gru	Orion's belt (n)		RB-LMMG	1945	Garo (Bangladesh)	4.212-II:idx
836	465985	dong-kam-a	reside (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
837	465986	dong-peng-a	block the way; obstruct (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.77-II:idx
838	465987	dong-rik-a	stay behind (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
839	465988	dong-rim-a	peaceful (vi)		RB-LMMG	1945	Garo (Bangladesh)	8.32-II:idx
840	465989	dong-ru-rak-a	restless (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.324-II:idx
841	465990	dong-tim-a	guard; look after; wait (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.73-II:idx
842	465991	dong-tim-gip-a	defender; guardian (n)		RB-LMMG	1945	Garo (Bangladesh)	9.73-II:idx
843	465992	dong-wil-wil-a	surround (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.11-II:idx
844	465993	don-jri-a	rename (vt)		RB-LMMG	1945	Garo (Bangladesh)	7.18-II:idx
845	465994	don-u-a	conceal; hide (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.344-II:idx
846	465995	do•-pi-sa	chick (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
847	465996	do•-po	owl (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
848	465997	do•-reng	hawk (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
849	465998	do-ri	rope; string (n)		RB-LMMG	1945	Garo (Bangladesh)	6.594-II:idx
850	465999	dor-mo	denomination; religion (n)		RB-LMMG	1945	Garo (Bangladesh)	8.51-II:idx
851	466000	do•-sat-til a-sek-ki	Pleiades (n)		RB-LMMG	1945	Garo (Bangladesh)	4.212-II:idx
852	466001	do•-sik	parakeet (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
853	466002	do•-til-eng	wood pecker (n)		RB-LMMG	1945	Garo (Bangladesh)	4.43-II:idx
854	466003	dot-mi	lizard (n)		RB-LMMG	1945	Garo (Bangladesh)	4.441-II:idx
855	466004	dra-e	forcefully (adv)		RB-LMMG	1945	Garo (Bangladesh)	7.56-II:idx
856	466005	drak-a	tattered; torn (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.292-II:idx
857	466006	-drang	plural (ns)		RB-LMMG	1945	Garo (Bangladesh)	0.11-II:idx
858	466007	dren	channel (n)		RB-LMMG	1945	Garo (Bangladesh)	5.114-II:idx
859	466008	drin-a	collapse; slide (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.212-II:idx
860	466009	drok-a	cluck (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.476-II:idx
861	466010	du•-a	bait; feed animals (vt)		RB-LMMG	1945	Garo (Bangladesh)	4.49-II:idx
862	466011	du•-a	feed (vt)		RB-LMMG	1945	Garo (Bangladesh)	5.478-II:idx
863	466012	du•-a	tie strips, bamboo (n)		RB-LMMG	1945	Garo (Bangladesh)	5.854-II:idx
864	466013	du-a	flood (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.33-II:idx
865	466014	du-a	give birth (vt)		RB-LMMG	1945	Garo (Bangladesh)	6.77-II:idx
866	466015	du-ait	oil lamp (n)		RB-LMMG	1945	Garo (Bangladesh)	5.82-II:idx
867	466016	dul-a	dust (n)		RB-LMMG	1945	Garo (Bangladesh)	4.248-II:idx
868	466017	dut	milk of cow (n)		RB-LMMG	1945	Garo (Bangladesh)	5.409-II:idx
869	466018	e•-ching	ginger (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
870	466019	e-jam-a	yawn (vi)		RB-LMMG	1945	Garo (Bangladesh)	7.96-II:idx
871	466020	e-kor	acre (n)		RB-LMMG	1945	Garo (Bangladesh)	5.12-II:idx
872	466021	el•-bu-a	spit up; vomit (vt)		RB-LMMG	1945	Garo (Bangladesh)	5.478-II:idx
873	466022	el-du-el-du dak-a	gasp (vph)		RB-LMMG	1945	Garo (Bangladesh)	9.45-II:idx
874	466023	el-ek-ka	district (n)		RB-LMMG	1945	Garo (Bangladesh)	8.22-II:idx
875	466024	el-ep-a	lightning (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.344-II:idx
876	466025	el-u	leech (n)		RB-LMMG	1945	Garo (Bangladesh)	4.466-II:idx
877	466026	em-ne	without reason (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.44-II:idx
878	466027	eng-a	untie (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.65-II:idx
879	466028	eng-ki-a	avoid; dislike (vi)		RB-LMMG	1945	Garo (Bangladesh)	7.744-II:idx
880	466029	-et-	causative (aa)		RB-LMMG	1945	Garo (Bangladesh)	0.41-II:idx
881	466030	-et-	causative (aa)		RB-LMMG	1945	Garo (Bangladesh)	1.13-II:idx
882	466031	ga•-a	put on shoes; step; wear (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.321-II:idx
883	466032	ga-a	climb; function; work (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.318-II:idx
884	466033	ga•-ak-a	fall (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.326-II:idx
885	466034	ga-ak-a	crow (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.476-II:idx
886	466035	ga•-ak-dap-a	fall onto (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.326-II:idx
887	466036	ga•-ak-ro-rot-a	leak; overflow (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.22-II:idx
888	466037	ga•-au-a	flake (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.668-II:idx
889	466038	ga•-bat-a	cross (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.321-II:idx
890	466039	ga-bil-a	bowl (n)		RB-LMMG	1945	Garo (Bangladesh)	5.432-II:idx
891	466040	ga•-chep-chep-a	tramping (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.321-II:idx
892	466041	ga•-dap-a	step on (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.321-II:idx
893	466042	ga•-deng-si-a	tip toe (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.346-II:idx
894	466043	ga-dil-a	cloud (n)		RB-LMMG	1945	Garo (Bangladesh)	4.323-II:idx
895	466044	ga-gak	duck (n)		RB-LMMG	1945	Garo (Bangladesh)	5.35-II:idx
896	466045	ga-gak-gang-si	goose (n)		RB-LMMG	1945	Garo (Bangladesh)	5.35-II:idx
897	466046	ga•-git-ik-a	squirm (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.319-II:idx
898	466047	ga•-git-tong	stubble (n)		RB-LMMG	1945	Garo (Bangladesh)	4.670-II:idx
899	466048	ga•-gong	stem; vein of leaf (n)		RB-LMMG	1945	Garo (Bangladesh)	4.675-II:idx
900	466049	ga-gu-ri	underpants (n)		RB-LMMG	1945	Garo (Bangladesh)	6.526-II:idx
901	466050	ga•-jep-a	stamp (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.321-II:idx
902	466051	ga-jur	carrot (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
903	466052	gak-a	nibble; peck (vt)		RB-LMMG	1945	Garo (Bangladesh)	4.487-II:idx
904	466053	ga-kat-a	climb; get on bus; ride (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.318-II:idx
905	466054	gak-u-a	nod (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.41-II:idx
906	466055	gal-a	divorce; throw away (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.54-II:idx
907	466056	gal-e-gal-e	partly (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.347-II:idx
908	466057	-gal-gal-	carelessly; quickly (aa)		RB-LMMG	1945	Garo (Bangladesh)	2.726-II:idx
909	466058	gal-grik-a	divorce (vt)		RB-LMMG	1945	Garo (Bangladesh)	6.655-II:idx
910	466059	gam gok-a	eager; enthusiastic (vph)		RB-LMMG	1945	Garo (Bangladesh)	7.725-II:idx
911	466060	gam•-a	noise; sound (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.624-II:idx
912	466061	gam-a	compensation; fine, pay (vt)		RB-LMMG	1945	Garo (Bangladesh)	8.15-II:idx
913	466062	gam-cha	cloth; napkin; towel (n)		RB-LMMG	1945	Garo (Bangladesh)	6.521-II:idx
914	466063	ga-mi-pong	altar (n)		RB-LMMG	1945	Garo (Bangladesh)	8.58-II:idx
915	466064	gam•-pret-a	sound (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.628-II:idx
916	466065	gam-ra	fork of tree (n)		RB-LMMG	1945	Garo (Bangladesh)	4.671-II:idx
917	466066	gam•-ru-ru-a	noisy (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.628-II:idx
918	466067	gan	song (n)		RB-LMMG	1945	Garo (Bangladesh)	8.83-II:idx
919	466068	ga-|na	blind (n)		RB-LMMG	1945	Garo (Bangladesh)	8.92-II:idx
920	466069	gan-a	dress, get dressed; wear (vt)		RB-LMMG	1945	Garo (Bangladesh)	6.53-II:idx
921	466070	gan•-chat-a	dense (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.323-II:idx
922	466071	gan-da	because; contrast; instead; therefore (pp)		RB-LMMG	1945	Garo (Bangladesh)	1.13-II:idx
923	466072	gan-di	beetle (n)		RB-LMMG	1945	Garo (Bangladesh)	4.469-II:idx
924	466073	gan-ding-chin-ding	clothes (n)		RB-LMMG	1945	Garo (Bangladesh)	6.521-II:idx
925	466074	gan-do	loin cloth (n)		RB-LMMG	1945	Garo (Bangladesh)	6.527-II:idx
926	466075	gan-du-ri	navel (n)		RB-LMMG	1945	Garo (Bangladesh)	6.245-II:idx
927	466076	gang	river (n)		RB-LMMG	1945	Garo (Bangladesh)	4.252-II:idx
928	466077	gang-a	aroused; sexually aroused (vi)		RB-LMMG	1945	Garo (Bangladesh)	6.72-II:idx
929	466078	gang-git-chak	reddish (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.532-II:idx
930	466079	gang-gu-a	mosquito (n)		RB-LMMG	1945	Garo (Bangladesh)	4.462-II:idx
931	466080	gang-ma	black head; pus (n)		RB-LMMG	1945	Garo (Bangladesh)	6.29-II:idx
932	466081	gang-rim-it	yellowish (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.532-II:idx
933	466082	gan•-sang	platform (n)		RB-LMMG	1945	Garo (Bangladesh)	5.637-II:idx
