NUMBER	concept	tbl_id	concepticon_id	gloss_in_source	ipa	note	tokens	source
1	above	731	1741	above (prep.)	cunglei; 	e.g. We flew above the cloud = Khuadawm cungin kan zuang.	c u n g l ei	VanBick2014
2	all	962	98	all (adj.)	a dihlak		d i hl a k	VanBick2014
3	the ant	365	587	ant (n.)	tuangtuan.		t u a n g t u a n	VanBick2014
3	the ant	365	587	ant (n.)	hngerhte		hng e r h t e	VanBick2014
4	the armpit	92	1886	armpit (n.)	zaktang		z a k t a n g	VanBick2014
5	bad	1053	1292	bad (adj.)	a ttha lo , a thu a tlolmi		t l o l m I	VanBick2014
6	the bamboo	389	1927	bamboo (n.)	rua , mau		r u a	VanBick2014
7	the barley (tibetan or highland)	411	932	barley (n.)	barli, 	facang bantuk a simi rawl phun khat	b a r l i	VanBick2014
8	to be alive	1087	1422	alive (adj.)	a nung , a nungin		n u ng	VanBick2014
9	the belly	96	1251	belly (n.)	paw		p a w	VanBick2014
10	below, under	732	1485	below (prep.)	thlang ah		th l a ng	VanBick2014
11	big	964	1202	big (adj.)	lian , ngan		l i a n	VanBick2014
12	the bird	326	937	bird (n.)	vate; 	bird's eye view = cunglei in vun cuanh. bird	v a t e	VanBick2014
13	to bite	1753	1403	bite (v.)	seh		s e h	VanBick2014
14	black	1005	163	black (adj.)	nak , a nak		n a k	VanBick2014
15	the blood	129	946	blood (n.)	thisen		t h i s e n	VanBick2014
16	to blow (of wind)	1738	175	blow (v.)	1. thli hran; 	e.g. The wind blows = Thlitu a hrang; 2. mei hmih; e.g. Blow out the candles = Phazawngdan kha chemhmit; 3. hnit; e.g. Blow your nose = Na hnap i hnit; 4. tum; e.g. Blow the whistle = Firik kha tum tuah;	t l i + hr a n	VanBick2014
17	the body hair (hair or fur)	266	189	fur (n.)	hmul , vom hmul ti bantuk		hm u l	VanBick2014
18	the bone	133	1394	bone (n.)	ruh		r u h	VanBick2014
18	the bone	133	1394	bone (n.)	uikuang ruh		u i k u a ng	VanBick2014
19	the branch	374	1531	branch (n.)	thingnge ; ttengnge		th i ng ng e	VanBick2014
20	the breast (female)	94	1402	breast (n.)	hnuk , tang		hn u k	VanBick2014
21	to burn [intransitive]	1269	1428	burn (v.)	1. me in khang; 	2. a kang; e.g. The house is burning = Inn a kang; 3. duah, mei duah.	m e + i n + kh a ng	VanBick2014
22	to buy	1516	1869	buy (v.)	cawk		c a w k	VanBick2014
23	to chew	1424	321	chew (v.)	khai		kh ai	VanBick2014
24	the child (young human)	169	1304	child (n.)	ngakchia		ng a k ch i a	VanBick2014
25	the cloud	7	1489	cloud (n.)	khuadawm		kh u a d a w m	VanBick2014
26	cold (of temperature)	1063	1287	cold (adj.)	a kik		k i k	VanBick2014
27	to come	1491	1446	come (v.)	1. ra, hika ah hin ra; 	2. phanh; 3. zulh; e.g. Two comes after one = Pahnih nih pakhat kha a zulh; 4. chuahkehnak lei i chuahnak; e.g. Jack comes from a good family = Jack cu phun ttha chungin a chuakmi a si. past participle of come is come. come about = Zeitindah thil a hung umning a si? come over = Zei nih dah an ti?	r a	VanBick2014
28	correct (right)	1045	1725	correct (adj.)	a hmaan a dik		hm aa n	VanBick2014
29	to count	1640	1420	count (v.)	1. rel; 	2. man a ngei, biapi a si; e.g. Everything you do counts = Na tuahmi paoh kha man a ngei. count on = bochan. count up = fonh; e.g. Count up what I gave you = Kan pekmi kha fonh dih.	r e l	VanBick2014
30	to cry (weep)	1485	1839	cry (v.)	au , kawh , ttah		a u	VanBick2014
31	dark	1013	706	dark (adj.)	a muimi; e.g. Dark night = A muimi zan		m u i m i	VanBick2014
32	the daughter	222	1357	daughter (n.)	fanu		f a n u	VanBick2014
33	the dew	15	1977	dew (n.)	dap.		d a p	VanBick2014
34	to die	1651	1494	die (v.)	1. thih; 	2. duh tuk; e.g. I am dying to go with you = Nangmah sin kal ka duh tuk.	th i h	VanBick2014
35	to dig	1698	1418	dig (v.)	vawlei i khor cawh , aalu phuk		v a w l ei	VanBick2014
36	dirty	1086	1230	dirty (adj.)	a hnawmmi , a thurmi		hn a w mm i	VanBick2014
37	the dog	289	2009	dog (n.)	uico		u i c o	VanBick2014
38	the dream	699	2374	dream (n.)	1. mang; 	2. saduhthah	m a ng	VanBick2014
39	to drink	1370	1401	drink (v.)	din		d i n	VanBick2014
40	dry	1028	1398	dry (adj.)	1. a ro, a carmi; 	2. lung a tho lomi, ngaih a nuam lomi; e.g. His sermon is dry = A phungchim mi lung a tho lo, ngaih a nuam lo.	r o	VanBick2014
42	the ear	81	1247	ear (n.)	1. hnakhaw; 	2. fungvoi fo	hn a kh a w	VanBick2014
43	early	1018	672	early (adv.)	tuante ah; 	e.g. He gets up early in the morning = Zinglei ah tuante in a tho.	t u a n t e	VanBick2014
44	the earth (soil)	40	1228	earth (n.)	vawlei; 	e.g. We plant seeds in the earth = Vawlei ah thlaici kan tuh.	v a w l e i	VanBick2014
