# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
#
6731	Jianchuan	Buddha	ve₄₂	v e ₄₂	v e ₄₂	ve42	Buddha	Allen2007	247	1464	佛	CVT	?
6732	Eryuan	Buddha	we₄₂	w e ₄₂	w e ₄₂	we42	Buddha	Allen2007	247	1465	佛	CVT	?
6733	Heqi	Buddha	we₄₂	w e ₄₂	w e ₄₂	we42	Buddha	Allen2007	247	1466	佛	CVT	?
6734	Lanping	Buddha	ve₄₂	v e ₄₂	v e ₄₂	ve42	Buddha	Allen2007	247	1467	佛	CVT	?
6735	Qiliqiao	Buddha	we₄₂	w e ₄₂	w e ₄₂	we42	Buddha	Allen2007	247	1468	佛	CVT	?
6736	Yunlong	Buddha	wɛ₄₂t͡sʰɛ₅₅	w ɛ ₄₂ t͡sʰ ɛ ₅₅	w ɛ ₄₂ t͡sʰ ɛ ₅₅	wɛ42tsʰɛ55	Buddha	Allen2007	247	1469	佛	CVTCVT	?
6737	Xiangyun	Buddha	wẽ₄₂	w ẽ ₄₂	w ẽ ₄₂	wẽ42	Buddha	Allen2007	247	1470	佛	CVT	?
6738	Luobenzhuo	Buddha	we₄₂	w e ₄₂	w e ₄₂	we42	Buddha	Allen2007	247	1471	佛	CVT	?
#
7651	Jianchuan	CLS for axe	t͡sʰɤ₃₁	t͡sʰ ɤ ₃₁	t͡sʰ ɤ ₃₁	tsʰɤ31	CLS for axe	Allen2007	467	2384	把（斧头）	CVT	?
7652	Eryuan	CLS for axe	t͡ʂʰɤ₃₁	t͡ʂʰ ɤ ₃₁	t͡ʂʰ ɤ ₃₁	tʂʰɤ31	CLS for axe	Allen2007	467	2385	把（斧头）	CVT	?
7653	Heqi	CLS for axe	t͡ɕʰuɔ₃₁	t͡ɕʰ uɔ ₃₁	t͡ɕʰ uɔ ₃₁	tɕʰuɔ31	CLS for axe	Allen2007	467	2386	把（斧头）	CVT	?
7654	Lanping	CLS for axe	t͡sʰɛ₄₂	t͡sʰ ɛ ₄₂	t͡sʰ ɛ ₄₂	tsʰɛ42	CLS for axe	Allen2007	467	2387	把（斧头）	CVT	?
7655	Qiliqiao	CLS for axe	t͡sʰɤ₃₁	t͡sʰ ɤ ₃₁	t͡sʰ ɤ ₃₁	tsʰɤ31	CLS for axe	Allen2007	467	2388	把（斧头）	CVT	?
7656	Yunlong	CLS for axe	pa₄₂	p a ₄₂	p a ₄₂	pa42	CLS for axe	Allen2007	467	2389	把（斧头）	CVT	?
7657	Xiangyun	CLS for axe	we₃₁	w e ₃₁	w e ₃₁	we31	CLS for axe	Allen2007	467	2390	把（斧头）	CVT	?
7658	Luobenzhuo	CLS for axe	ʂɛ₃₃	ʂ ɛ ₃₃	ʂ ɛ ₃₃	ʂɛ33	CLS for axe	Allen2007	467	2391	把（斧头）	CVT	?
#
7635	Jianchuan	CLS for bowl	pe₂₁	p e ₂₁	p e ₂₁	pe21	CLS for bowl	Allen2007	464	2368	个（碗）	CVT	?
7636	Eryuan	CLS for bowl	pe₂₁	p e ₂₁	p e ₂₁	pe21	CLS for bowl	Allen2007	464	2369	个（碗）	CVT	?
