ID	Concept	Dashi	Ega	Enqi	Eryuan	Gongxing	Heqi	Jianchuan	Jinman	Jinxing	Lanping	Luobenzhuo	Mazhelong	Qiliqiao	Tuoluo	Xiangyun	Yunlong	Zhoucheng
1	(???, Chinese character has to be checked)	-	(???, Chinese character has to be checked)	(???, Chinese character has to be checked)	-	(???, Chinese character has to be checked)	-	-	(???, Chinese character has to be checked)	(???, Chinese character has to be checked)	-	-	-	-	-	-	-	-
2	(fruit) be ripe	(fruit) be ripe	(fruit) be ripe	(fruit) be ripe	-	(fruit) be ripe	-	-	(fruit) be ripe	(fruit) be ripe	-	-	(fruit) be ripe	-	(fruit) be ripe	-	-	-
3	(head) ache	(head) ache	(head) ache	(head) ache	-	(head) ache	-	-	(head) ache	(head) ache	-	-	(head) ache	-	(head) ache	-	-	(head) ache
4	(meanign has to be checked)	-	(meanign has to be checked)	(meanign has to be checked)	-	(meanign has to be checked)	-	-	(meanign has to be checked)	-	-	-	(meanign has to be checked)	-	-	-	-	(meanign has to be checked)
5	(meaning has to be checked)	(meaning has to be checked)	(meaning has to be checked)	(meaning has to be checked)	-	(meaning has to be checked)	-	-	(meaning has to be checked)	(meaning has to be checked)	-	-	(meaning has to be checked)	-	(meaning has to be checked)	-	-	(meaning has to be checked)
5	(meaning has to be checked)	-	(meaning has to be checked)	(meaning has to be checked)	-	(meaning has to be checked)	-	-	(meaning has to be checked)	-	-	-	(meaning has to be checked)	-	-	-	-	(meaning has to be checked)
5	(meaning has to be checked)	-	(meaning has to be checked)	(meaning has to be checked)	-	(meaning has to be checked)	-	-	(meaning has to be checked)	-	-	-	(meaning has to be checked)	-	-	-	-	(meaning has to be checked)
5	(meaning has to be checked)	-	(meaning has to be checked)	(meaning has to be checked)	-	(meaning has to be checked)	-	-	-	-	-	-	(meaning has to be checked)	-	-	-	-	(meaning has to be checked)
6	(people) crawl	(people) crawl	(people) crawl	(people) crawl	-	(people) crawl	-	-	(people) crawl	(people) crawl	-	-	(people) crawl	-	(people) crawl	-	-	(people) crawl
7	(rice) seedling	(rice) seedling	(rice) seedling	(rice) seedling	-	(rice) seedling	-	-	(rice) seedling	(rice) seedling	-	-	(rice) seedling	-	(rice) seedling	-	-	(rice) seedling
