ID	ENGLISH	POS GLOSS
1	a (an) (art.)	pakhat zong an
2	A-bomb (n.)	atomic bomb
3	A.D. (n., abbrev.)	Anno Domino; Kan Bawipa kum chungah, Bawi Jesuh chuah hnu
4	A.M. (n., abbrev.)	chun hlan
5	a priori (adj., adv.)	al len, ruah len hau ti lo i a ummi ruahnak, thil
6	abacus (n.)	Tuluk thilfonhnak
7	abandon (v.)	hlawt , kaltak
8	abase (v.)	niamter, i tthumh, i hmetter; e.g. He abased himself by drinking = Zudin in amah le amah aa niamter.
9	abate (v.)	a zor, a ttum; e.g. The storm will abate soon = Thlichia cu a zor (a ttum) zau lai.
10	abbess (n.)	Nu Khrihfa phungki pawl umnak i an haotu bik a simi.
11	abbey (n.)	Pathian rianttuantu hna a bu in nu phungki si hna seh, pa phungki si hna seh, an umnak inn
12	abbot (n.)	Pa phungki pawl an umnak i an haotu bik.
13	abbreviate (v.)	a tawinak in ttial
14	abdicate (v.)	kaltak, chuahtak, hlawt; e.g. The king abdicated his throne = Siangpahrang nih a bawi tthutdan a chuahtak.
15	abdomen (n.)	paw
16	abduct (v.)	soilem i a ping ah kalpi
17	abet (v.)	thil ttha lo tuah midang forh
18	abhor (v.)	huat, lungchung i fih
19	abide (v.)	1. i tlaihpeng, zulh, let lo; 2. um
20	ability (n.)	thil ti khawhnak
21	abject (adj.)	1. zohchia tiang i ttih; 2. zoh awk tlak lo tiang i sifah
22	abjure (v.)	chiatser in hlawt; e.g. The king ordered the Jews to abjure their religion = Siangpahrang nih Judah mi cu chiatser in an biaknak a hlawtter hna.
23	ablaze (adj.)	a alh pupmi
24	able (adj.)	kho, khawh; e.g. He is able to come = A ra kho.
25	ablution (n.)	thianh , phunglei in i thianh
26	abnegation (n.)	biaknak hlawt, mah duhnak hlawt.
27	abnormal (adj.)	hawi he aa lo lomi; e.g. He is an abnormal child = Amah cu hawi he aa lo lomi ngakchia a si.
28	aboard (adv.)	cung kai, cit; e.g. It is time to go aboard = Lawng cung kai caan a si cang.
29	abode (n.)	umnak hmun
30	abolish (v.)	hrawh, hloh; e.g. Slavery was abolished = Sal zuat cu hloh a si cang.
31	abominable (adj.)	fihnung; e.g. His behavior (behaviour) is abominable = A ziaza fih a nung.
32	abominate (v.)	fih , lungchung in fih
33	aboriginal (adj.)	ram a rak hlum hmasa bikmi hna
34	aborigines (n.)	ram a rak hlum hmasa bikmi hna
35	abort (v.)	1. nau hrawh; nau rawh. 2. donghter. Peace talks have to be aborted = Remnak biaruahnak an hrawh a hau.
36	abortion (n.)	nau rawk, thla tlin hlan nau chuah.
