GLOSS	AMBIGUITY	COVERAGE	SOURCES
Adam's apple		1	TBL
April		1	ZMYYC
April (chicken month)		1	ZMYYC
August		1	ZMYYC
August (bovine month)		1	ZMYYC
Buddha		1	TBL
Chinese		1	ZMYYC
Chinese (Han)		1	TBL
December		1	ZMYYC
December (snake month)		1	ZMYYC
February (lit. 'second month')		1	TBL
February (sheep month)		1	ZMYYC
God		1	GEM-CNL
January (horse month)		1	ZMYYC
January (year in which New Year is celebrated)		1	TBL
Job's tears (coix)		1	GEM-CNL
July		1	ZMYYC
July (rat month)		1	ZMYYC
June		1	ZMYYC
June (pig month)		1	ZMYYC
March		1	ZMYYC
March (monkey month)		1	ZMYYC
May		1	ZMYYC
May (dog month)		1	ZMYYC
Monday		1	TBL
NEG		1	ZMYYC
NEG+copula		1	ZMYYC
NEG+have		1	ZMYYC
New Year's Day		1	TBL
New Year's Day (in Burmese system, around April)		1	TBL
November		1	ZMYYC
November (dragon)		1	ZMYYC
October		1	ZMYYC
October (rabbit month)		1	ZMYYC
September		1	ZMYYC
September (tiger month)		1	ZMYYC
Tibetan		1	TBL
Tibetan (called 'Gami' locally)		1	TBL
Tibetan (from Tibet (Xizang))		1	TBL
Tibetan (of Pumi language)		1	TBL
Tuesday		1	TBL
accomplish / succeed		1	TBL
accumulate		1	TBL
accustomed to, be / habit of, ha		1	TBL
ache (head)		1	TBL
acre		1	ZMYYC
add water		1	TBL
admire and envy		1	TBL
admit		1	TBL
adult		1	TBL
adult (female)		1	TBL
adult (male)		1	TBL
advantage / benefit		1	TBL
affectionate / intimate		1	TBL
afraid, be		1	TBL
again		1	ZMYYC
again;again		1	ZMYYC
age		1	TBL
agree / consent		1	TBL
agree on / arrange		1	TBL
air		1	TBL
air; breath		1	TBL
airplane		1	ZMYYC
alcoholic beverage		1	TBL
alcoholic beverage (corn)		1	TBL
alcoholic beverage (highland barley)		1	TBL
alcoholic beverage (sorghum / maize)		1	TBL
alcoholic beverage (yellow rice / millet / Shaoxing)		1	TBL
alive		1	ZMYYC
alive, become / active		1	TBL
alive, become / active (people)		1	TBL
alkali / soda		1	TBL
all / even		1	ZMYYC
all / everything		1	TBL
all / whole, the		1	TBL
alone		1	TBL
also		1	ZMYYC
alter		1	TBL
aluminum		1	TBL
among		1	GEM-CNL
ancestors / forebears		1	TBL
ancient times, in		1	TBL
and		1	GEM-CNL
angry, be / take offense		1	TBL
animal		1	GEM-CNL
animal / beast		1	TBL
animal / beast (carnivore)		1	TBL
animal / beast (herbivore)		1	TBL
animals (twelve) (different system but analogous)		1	TBL
animals (twelve) representing the twelve years		1	TBL
answer / reply		1	TBL
ant (black)		1	GEM-CNL
ant (generic)		1	GEM-CNL
ant (red)		1	GEM-CNL
ant (white), termite		1	GEM-CNL
anus		1	TBL
apply (ointment)		1	TBL
apron		1	TBL
arm (forearm and postbrachium)		1	TBL
arm (upper)		1	ZMYYC
armlet		1	GEM-CNL
army		1	ZMYYC
arrive (2nd / 3rd person singular)		1	TBL
arrive;arr. throughout the yr		1	ZMYYC
arrogant / conceited		1	TBL
arrow (poison, bamboo)		1	TBL
arrow (poison, with iron clusters)		1	TBL
ask (a question)		1	GEM-CNL
ask / inquire		1	ZMYYC
ask / question		1	TBL
ask for		1	GEM-CNL
ask s.b. to come here / fetch		1	TBL
askew / awry / slanting		1	TBL
asleep, fall		1	TBL
assemble / muster (a team)		1	TBL
assess / estimate		1	TBL
astringent		1	TBL
at		1	GEM-CNL
at the bottom of (a hill)		1	TBL
audit (accounts)		1	TBL
aunt		1	GEM-CNL
aunt (father's elder sister)		1	ZMYYC
aunt (mater., older than mom)		1	ZMYYC
aunt (maternal)		1	ZMYYC
aunt (mother's elder sister)		1	ZMYYC
aunt (paternal)		1	ZMYYC
aunt (paternal) direct address		1	ZMYYC
aunt (paternal, elder)		1	ZMYYC
aunt (paternal, elder)(direct)		1	ZMYYC
aunt (paternal, elder)(ref)		1	ZMYYC
aunt (wife of maternal uncle)		1	ZMYYC
aunt (wife of younger paternal		1	ZMYYC
aunt <father's older sister>		1	TBL
aunt <father's sister>		1	TBL
aunt <father's sister> (= 'wife of f's o. bro')		1	TBL
aunt <father's younger sister>		1	TBL
aunt <mother's brother's wife>		1	TBL
aunt <mother's older brother's wife>		1	TBL
aunt <mother's older sister>		1	TBL
aunt <mother's sister>		1	TBL
aunt <mother's sister> (= wife of mom's bro)		1	TBL
aunt <mother's younger brother's wife>		1	TBL
aunt <mother's younger sister>		1	TBL
aunt <wife of father's elder brother>		1	TBL
aunt <wife of father's elder brother> (address)		1	TBL
aunt <wife of father's younger brother>		1	TBL
autonym		1	ZMYYC
autonym (Burmese)		1	ZMYYC
autonym; autonym (ancient)		1	ZMYYC
autumn		1	ZMYYC
avoid certain food (because of		1	TBL
awake / awaken		1	GEM-CNL
awl		1	TBL
awn of wheat		1	TBL
ax		1	ZMYYC
baa / bleat		1	TBL
back	n,n/adv	1	TBL
back (body)		1	GEM-CNL
back (direction)		1	ZMYYC
back (of body)		1	ZMYYC
back / waist		1	ZMYYC
back up / retreat		1	TBL
bad (things)		1	TBL
bad (words)		1	TBL
bag		1	GEM-CNL
bald / bare		1	TBL
bald / bare (head)		1	TBL
bald / bare (lit. 'bald mountain package')		1	TBL
bald / bare (mountain)		1	TBL
bald / bare (tail)		1	TBL
baldhead		1	TBL
ball		1	ZMYYC
bamboo (thick, coarse)		1	TBL
bamboo (thin, fine)		1	TBL
bamboo bucket		1	ZMYYC
bamboo shoot		1	ZMYYC
ban / forbid / prohibit		1	TBL
banana		1	GEM-CNL
banana (plantain)		1	TBL
bank		1	ZMYYC
bank (edge)		1	GEM-CNL
bark (of tree)		1	GEM-CNL
barley (Tibetan)		1	ZMYYC
barley (highland)		1	TBL
barrel / pail / bucket		1	ZMYYC
barrel / pail / bucket for water		1	ZMYYC
basket (back, man's)		1	GEM-CNL
basket (back, woman's)		1	GEM-CNL
basket (bamboo, large)		1	ZMYYC
basket (generic)		1	GEM-CNL
basket (large, storage)		1	GEM-CNL
basket carried on the back		1	TBL
basket carried on the back (dense strips)		1	TBL
basket carried on the back (dense, uniform-sized)		1	TBL
basket carried on the back (sharp-bottomed)		1	TBL
basket carried on the back (sparse strips )		1	TBL
basket carried on the back (sparse strips)		1	TBL
basket carried on the back (square-mouthed)		1	TBL
basketful (of vegetable)		1	TBL
basketful (of vegetable) (carried on back)		1	TBL
bat (animal)		1	GEM-CNL
bathe		1	ZMYYC
be (1st person)		1	TBL
be (3rd person)		1	TBL
be (in the house)		1	TBL
be / copula		1	ZMYYC
bead		1	GEM-CNL
beam (of building)		1	TBL
beam (of building) (big)		1	TBL
beam (of building) (small)		1	TBL
bean		1	GEM-CNL
bean (broad)		1	TBL
beans		1	ZMYYC
bear (animal)		1	GEM-CNL
beard / moustache / goatee		1	TBL
beard / moustache / goatee (chin)		1	TBL
beat		1	GEM-CNL
beat / thump		1	TBL
beautiful / pleasant to the eyes		1	TBL
beautiful, grow to be		1	TBL
because		1	GEM-CNL
become		1	GEM-CNL
become worn through (clothing)		1	TBL
bed (with bedding)		1	TBL
bed (without bedding)		1	TBL
beetle		1	GEM-CNL
before		1	GEM-CNL
before; at; to		1	GEM-CNL
beg (for food)		1	TBL
beggar		1	TBL
begin (caus.)		1	ZMYYC
beginning of a month		1	TBL
belch		1	TBL
believe / trust		1	TBL
bell (copper)		1	TBL
bell (hung in a temple)		1	TBL
bell (iron, hung over necks of draught animals)		1	TBL
bell (small)		1	TBL
bellows		1	GEM-CNL
belly (outside part of body)		1	ZMYYC
bellyband		1	TBL
bellyband (front part of belly)		1	TBL
below / under		1	TBL
belows		1	GEM-CNL
belt (for weaving)		1	GEM-CNL
belt (girdle)		1	GEM-CNL
belt / girdle		1	TBL
belt / girdle (hard)		1	TBL
belt / girdle (soft)		1	TBL
bend		1	TBL
bend at the waist		1	TBL
bet		1	TBL
betel (leaf)		1	GEM-CNL
betel (nut)		1	GEM-CNL
between		1	GEM-CNL
big / large		1	TBL
billion		1	TBL
bind		1	GEM-CNL
bind / tie up		1	TBL
birth, give (polite term)		1	ZMYYC
birth, give (taboo)		1	ZMYYC
birth, give to		1	TBL
birth, give to (piglets)		1	TBL
birth, give; give birth (animal)		1	ZMYYC
birthday		1	TBL
bit (for horse)		1	TBL
bite (mosquito)		1	TBL
bite (of draught animals, wild animals)		1	TBL
bite (of snakes)		1	TBL
bite(snake, rat); bite(by dog)		1	ZMYYC
bitter (N)		1	ZMYYC
black (of faces)		1	TBL
black bovine		1	ZMYYC
blacksmith		1	TBL
blade (of grass)		1	TBL
blanket (felt)		1	TBL
bless		1	GEM-CNL
blind		1	GEM-CNL
blind person (both eyes)		1	TBL
blind person (half-blind)		1	TBL
blind person (one eye)		1	TBL
blind, be		1	TBL
blind, be (acquired / postnatally)		1	TBL
blind, be (congenitally)		1	TBL
blink / wink		1	TBL
blissful		1	TBL
bloated, feel (of the stomach)		1	TBL
block (the wind)		1	TBL
block / obstruct		1	TBL
block / obstruct (by a rock)		1	TBL
block / obstruct (by a thorn)		1	TBL
block up / plug		1	TBL
bloom		1	ZMYYC
blossom (of flowers)		1	TBL
blow		1	GEM-CNL
blow (of wind)		1	ZMYYC
blow (one's nose)		1	TBL
blow (the trumpet)		1	TBL
blow (whirlwind)		1	TBL
blow (wind)		1	TBL
blow away (a speck of dust)		1	TBL
blow on fire, blow flute		1	ZMYYC
blow with mouth		1	ZMYYC
blue (lit. 'sky color')		1	TBL
blunt / dull		1	TBL
boar (wild)		1	TBL
board / plank		1	ZMYYC
boat / ship		1	TBL
boat / ship (cowhide)		1	TBL
boat / ship (wooden)		1	TBL
boatman		1	TBL
body (back)		1	TBL
body (front)		1	TBL
boil (rice); boil (water)		1	ZMYYC
boiling, be (water)		1	TBL
bolt (of cloth)		1	TBL
bolt (the door)		1	TBL
book (TibStyle);book(newstyle)		1	ZMYYC
book (Tibetan style long strips)		1	TBL
book (published using modern printing)		1	TBL
boot		1	TBL
boot (made of 'pulu', Tibetan woolen fabric)		1	TBL
bore / drill (a hole)		1	TBL
bored		1	TBL
borrow (money)		1	TBL
borrow (tools)		1	TBL
borrow / lend		1	ZMYYC
borrow / lend (money);(things)		1	ZMYYC
borrow / lend thing		1	ZMYYC
borrow / lend;borrow / lend thing		1	ZMYYC
bothersome / disagreeable		1	TBL
bottle (of wine)		1	TBL
boundary line / demarcation line		1	TBL
bovine		1	ZMYYC
bow (for arrow)		1	TBL
bow (for shooting)		1	GEM-CNL
bow (weapon)		1	ZMYYC
bow and arrow;bow (weapon)		1	ZMYYC
bowl (of cooked rice)		1	TBL
bowl (of tobacco)		1	TBL
bowl (of tobacco) (lit. 'pole / shaft')		1	TBL
bowl (porcelain)		1	TBL
bowl (tea)		1	TBL
bowl (wooden)		1	TBL
bowl, wooden		1	ZMYYC
bowl; wooden, porcelain		1	ZMYYC
box		1	GEM-CNL
box / case		1	TBL
box / chest		1	GEM-CNL
boy		1	GEM-CNL
braid		1	ZMYYC
braid / plait		1	TBL
braid / plait (female's)		1	TBL
brain		1	GEM-CNL
brains		1	TBL
bran		1	ZMYYC
branch / twig		1	TBL
brave		1	GEM-CNL
bray		1	TBL
bread		1	GEM-CNL
break (rope, etc.)		1	ZMYYC
break (thunderbolt)		1	TBL
break (v.i. of rope, etc.)		1	ZMYYC
break / smash (a bowl)		1	TBL
break / snap (stick)		1	TBL
break to pieces (grain)		1	TBL
break up (meeting) / end		1	TBL
break up / scatter		1	TBL
break(vi,rope);break (vi,stick		1	ZMYYC
breakfast		1	ZMYYC
breast; milk		1	ZMYYC
breastfeed / suckle		1	TBL
breath		1	TBL
breathe		1	GEM-CNL
breathe (exhale)		1	TBL
bride		1	GEM-CNL
bridge (general)		1	ZMYYC
bridge (made of a few pieces of wood)		1	TBL
bridge (small)		1	TBL
bridge (vine)		1	TBL
bring		1	GEM-CNL
bring up (children)		1	TBL
brinjal (bengan, eggplant)		1	GEM-CNL
bro (younger)direct / general		1	ZMYYC
bro (younger)used by elder bro		1	ZMYYC
broad		1	GEM-CNL
broken (bowls)		1	TBL
broken, be (bowls)		1	TBL
brother (elder) (direct)		1	ZMYYC
brothers		1	TBL
brothers (also 'sisters', 'brothers and sisters')		1	TBL
brush		1	ZMYYC
bucket		1	TBL
bucket (for carrying water on back)		1	TBL
bucket (of water)		1	TBL
bucket (red copper)		1	TBL
buckle / button up		1	TBL
buckle up / fasten (a belt)		1	TBL
buckwheat		1	TBL
buckwheat (bitter)		1	ZMYYC
buckwheat (flower)		1	TBL
buckwheat (tartary, hulless, duck wheat)		1	TBL
buckwheat; buckwheat (sweet)		1	ZMYYC
bud (of crops)		1	ZMYYC
bug		1	GEM-CNL
build		1	GEM-CNL
build (stove) by laying bricks, stones, etc.		1	TBL
build (wall) by laying bricks, stones, etc.		1	TBL
