ID	rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
1	127837	ŋoy◦do	right side (of anything)		RC-ChepQ	452	Chepang (Eastern)	1.2
2	127838	weʔ◦do	left side (of anything)		RC-ChepQ	452	Chepang (Eastern)	1.3
3	127839	kah	back (upper)		RC-ChepQ	452	Chepang (Eastern)	1.4
4	127840	giŋ	back (lower)		RC-ChepQ	452	Chepang (Eastern)	1.4
5	127841	kos (chest)	front		RC-ChepQ	452	Chepang (Eastern)	1.5
6	127842	krut dom	limbs / arms and legs		RC-ChepQ	452	Chepang (Eastern)	1.7
7	127843	kos	bosom		RC-ChepQ	452	Chepang (Eastern)	1.9
8	127844	syaʔ	flesh / meat		RC-ChepQ	452	Chepang (Eastern)	1.11
9	127845	mayʔ	flesh / meat		RC-ChepQ	452	Chepang (Eastern)	1.11
10	127846	syak◦naʔ	alive / be living		RC-ChepQ	452	Chepang (Eastern)	1.12
11	127847	si◦naʔ	die / be dead		RC-ChepQ	452	Chepang (Eastern)	1.13
12	127848	hmaŋʔ	corpse / dead body		RC-ChepQ	452	Chepang (Eastern)	1.14
13	127849	hmaŋʔ	carcass / dead animal		RC-ChepQ	452	Chepang (Eastern)	1.15
14	127850	ʔenʔ◦naʔ	sleep /  be asleep		RC-ChepQ	452	Chepang (Eastern)	1.16
15	127851	mrya◦naʔ	awake / be awake		RC-ChepQ	452	Chepang (Eastern)	1.17
16	127852	maŋʔ◦ka cyəwʔ◦naʔ	dream	v	RC-ChepQ	452	Chepang (Eastern)	1.18
17	127853	ta◦laŋ	head		RC-ChepQ	452	Chepang (Eastern)	2.1
18	127854	puh	head		RC-ChepQ	452	Chepang (Eastern)	2.1
19	127855	ta◦puʔ	top of head / crown / pate		RC-ChepQ	452	Chepang (Eastern)	2.2
20	127856	puh◦rumʔ	skull		RC-ChepQ	452	Chepang (Eastern)	2.4
21	127857	puh◦kli	brain		RC-ChepQ	452	Chepang (Eastern)	2.5
22	127858	myaŋ	hair of head		RC-ChepQ	452	Chepang (Eastern)	2.7
23	127859	chenʔ	comb (of rooster)		RC-ChepQ	452	Chepang (Eastern)	2.9
24	127860	roŋʔ	horn (of animal)		RC-ChepQ	452	Chepang (Eastern)	2.10
25	127861	roŋʔ	antler (of deer)		RC-ChepQ	452	Chepang (Eastern)	2.11
26	127862	khen	face		RC-ChepQ	452	Chepang (Eastern)	3.1
27	127863	jelh	forehead / brow		RC-ChepQ	452	Chepang (Eastern)	3.2
28	127864	ho.hlop	temple		RC-ChepQ	452	Chepang (Eastern)	3.3
29	127865	mik	eye		RC-ChepQ	452	Chepang (Eastern)	3.4
30	127866	mik◦pun	eyelid		RC-ChepQ	452	Chepang (Eastern)	3.4.1
31	127867	mik◦luŋ	eyeball		RC-ChepQ	452	Chepang (Eastern)	3.4.2
32	127868	gal◦mik	pupil		RC-ChepQ	452	Chepang (Eastern)	3.4.2.2
33	127869	mik◦pulʔ	eyebrow		RC-ChepQ	452	Chepang (Eastern)	3.4.3
34	127870	mik◦pulʔ	eyelash		RC-ChepQ	452	Chepang (Eastern)	3.4.4
35	127871	(mik)◦hliwiʔna	blink	v	RC-ChepQ	452	Chepang (Eastern)	3.4.5
36	127872	prəwnaʔ	blink	v	RC-ChepQ	452	Chepang (Eastern)	3.4.5
37	127873	mik◦kliʔ	tears		RC-ChepQ	452	Chepang (Eastern)	3.4.6
38	127874	mik◦tiʔ	tears		RC-ChepQ	452	Chepang (Eastern)	3.4.6
39	127875	mik◦kliʔ	eye sand		RC-ChepQ	452	Chepang (Eastern)	3.4.7
40	127876	ryaʔ	cry  /  weep	v	RC-ChepQ	452	Chepang (Eastern)	3.4.8
41	127877	kryap◦naʔ	cry  /  weep	v	RC-ChepQ	452	Chepang (Eastern)	3.4.8
42	127878	cyawʔnaʔ	see	v	RC-ChepQ	452	Chepang (Eastern)	3.4.9
43	127879	yo◦na?	look	v	RC-ChepQ	452	Chepang (Eastern)	3.4.9
44	127880	mik lok◦na	blind		RC-ChepQ	452	Chepang (Eastern)	3.4.10
45	127881	neh	nose		RC-ChepQ	452	Chepang (Eastern)	3.5
46	127882	neh◦siŋʔ	nose bridge		RC-ChepQ	452	Chepang (Eastern)	3.5.1
47	127883	neh◦ghaŋ	nostril		RC-ChepQ	452	Chepang (Eastern)	3.5.2
48	127884	neh◦romʔ	alae nasi (nose flaps)		RC-ChepQ	452	Chepang (Eastern)	3.5.3
49	127885	neh◦menʔ	nose hair		RC-ChepQ	452	Chepang (Eastern)	3.5.4
50	127886	moŋʔ	snout		RC-ChepQ	452	Chepang (Eastern)	3.5.5
51	127887	neh◦kli	liquid mucus		RC-ChepQ	452	Chepang (Eastern)	3.5.6
52	127888	neh◦kli	solid mucus		RC-ChepQ	452	Chepang (Eastern)	3.5.7
53	127889	neh sri◦naʔ	blow nose	v	RC-ChepQ	452	Chepang (Eastern)	3.5.8
54	127890	namh	smell  /  sniff	v	RC-ChepQ	452	Chepang (Eastern)	3.5.9
55	127891	no	ear		RC-ChepQ	452	Chepang (Eastern)	3.6
56	127892	no◦pe◦te	earlobe		RC-ChepQ	452	Chepang (Eastern)	3.6.1
57	127893	jeŋʔ	earlobe		RC-ChepQ	452	Chepang (Eastern)	3.6.1
58	127894	no◦ghaŋ	ear canal		RC-ChepQ	452	Chepang (Eastern)	3.6.4
59	127895	no◦kliʔ	earwax		RC-ChepQ	452	Chepang (Eastern)	3.6.6
60	127896	sayʔ◦naʔ	hear	v	RC-ChepQ	452	Chepang (Eastern)	3.6.7
61	127897	no lok◦naʔ	deaf		RC-ChepQ	452	Chepang (Eastern)	3.6.8
62	127898	hmo◦toŋ	mouth		RC-ChepQ	452	Chepang (Eastern)	3.7
63	127899	kam	mouth		RC-ChepQ	452	Chepang (Eastern)	3.7
64	127900	sim◦phərʔ	palate		RC-ChepQ	452	Chepang (Eastern)	3.7.1
65	127901	nəl	gums		RC-ChepQ	452	Chepang (Eastern)	3.7.3
66	127902	tyuk◦aŋ	uvula		RC-ChepQ	452	Chepang (Eastern)	3.7.4
67	127903	dyur	saliva		RC-ChepQ	452	Chepang (Eastern)	3.7.5
68	127904	jeʔ◦naʔ	eat	v	RC-ChepQ	452	Chepang (Eastern)	3.7.6
69	127905	tuŋ◦naʔ	drink	v	RC-ChepQ	452	Chepang (Eastern)	3.7.7
70	127906	tiʔ ʔəp◦naʔ	thirsty	be	RC-ChepQ	452	Chepang (Eastern)	3.7.8
71	127907	yoŋ kray◦naʔ	hungry	be	RC-ChepQ	452	Chepang (Eastern)	3.7.9
72	127908	kos◦naʔ	full / be satiated		RC-ChepQ	452	Chepang (Eastern)	3.7.10
73	127909	dyurʔ◦naʔ	spit	v	RC-ChepQ	452	Chepang (Eastern)	3.7.11
74	127910	has	vomit	n	RC-ChepQ	452	Chepang (Eastern)	3.7.12
75	127911	has◦naʔ	vomit	v	RC-ChepQ	452	Chepang (Eastern)	3.7.13
76	127912	ʔumh◦naʔ	hold in mouth	v	RC-ChepQ	452	Chepang (Eastern)	3.7.14
77	127913	ga◦naʔ	gape  /  open mouth	v	RC-ChepQ	452	Chepang (Eastern)	3.7.15
78	127914	kamh◦naʔ	yawn	v	RC-ChepQ	452	Chepang (Eastern)	3.7.16
79	127915	le	tongue		RC-ChepQ	452	Chepang (Eastern)	3.8
80	127916	dayhnaʔ	say	v	RC-ChepQ	452	Chepang (Eastern)	3.8.1
81	127917	noʔnaʔ	speak	v	RC-ChepQ	452	Chepang (Eastern)	3.8.1
82	127918	to◦naʔ	tell	v	RC-ChepQ	452	Chepang (Eastern)	3.8.1
83	127919	pap◦na	stutter  /  stammer	v	RC-ChepQ	452	Chepang (Eastern)	3.8.2
84	127920	hŋən	mute  /  dumb	n	RC-ChepQ	452	Chepang (Eastern)	3.8.3
85	127921	ŋənḍəla	mute  /  dumb	n	RC-ChepQ	452	Chepang (Eastern)	3.8.3
86	127922	təkələŋ	mute  /  dumb	n	RC-ChepQ	452	Chepang (Eastern)	3.8.3
87	127923	lemh◦naʔ	lick		RC-ChepQ	452	Chepang (Eastern)	3.8.4
88	127924	nərʔ◦pun	lip		RC-ChepQ	452	Chepang (Eastern)	3.9
89	127925	səyk	beak / bill		RC-ChepQ	452	Chepang (Eastern)	3.9.3
90	127926	niʔ◦naʔ	smile	v	RC-ChepQ	452	Chepang (Eastern)	3.9.4
91	127927	ŋiʔ◦na	smile	v	RC-ChepQ	452	Chepang (Eastern)	3.9.4
92	127928	tumʔ naʔ	kiss		RC-ChepQ	452	Chepang (Eastern)	3.9.5
93	127929	səyk	tooth		RC-ChepQ	452	Chepang (Eastern)	3.10
94	127930	junʔ◦səyk	tooth (incisor)		RC-ChepQ	452	Chepang (Eastern)	3.10.1
95	127931	tol	molar		RC-ChepQ	452	Chepang (Eastern)	3.10.2
96	127932	ma◦gam◦səyk	molar		RC-ChepQ	452	Chepang (Eastern)	3.10.2
97	127933	kuyʔ◦səyk	eyetooth / canine tooth / fang		RC-ChepQ	452	Chepang (Eastern)	3.10.3
98	127934	hluk◦gam◦səyk	tooth (wisdom)		RC-ChepQ	452	Chepang (Eastern)	3.10.4
99	127935	ray◦gam◦səyk	baby tooth		RC-ChepQ	452	Chepang (Eastern)	3.10.5
100	127936	səyk	tusk (of elephant, boar)		RC-ChepQ	452	Chepang (Eastern)	3.10.6
101	127937	jəyk◦naʔ	bite	v	RC-ChepQ	452	Chepang (Eastern)	3.10.7
102	127938	ŋam◦naʔ	chew	v	RC-ChepQ	452	Chepang (Eastern)	3.10.8
103	127939	gwer	cheek		RC-ChepQ	452	Chepang (Eastern)	3.11
104	127940	dyor	cheek		RC-ChepQ	452	Chepang (Eastern)	3.11
105	127941	temʔ	chin		RC-ChepQ	452	Chepang (Eastern)	3.12
106	127942	pemʔ	chin		RC-ChepQ	452	Chepang (Eastern)	3.12
107	127943	kwaŋ	jaw		RC-ChepQ	452	Chepang (Eastern)	3.13
108	127944	kəyk	neck		RC-ChepQ	452	Chepang (Eastern)	4.1
109	127945	guk◦kak	goiter		RC-ChepQ	452	Chepang (Eastern)	4.1.1
110	127946	gruʔ	swollen lymph nodes (in neck)		RC-ChepQ	452	Chepang (Eastern)	4.1.2
111	127947	pok◦cyu◦ruŋʔ	nape of neck		RC-ChepQ	452	Chepang (Eastern)	4.1.3
112	127948	thyoŋ◦waʔ	adam's apple / larynx		RC-ChepQ	452	Chepang (Eastern)	4.1.4
113	127949	guk	throat / gullet / pharynx		RC-ChepQ	452	Chepang (Eastern)	4.2
114	127950	ryo◦dhyoŋʔ	windpipe / trachea		RC-ChepQ	452	Chepang (Eastern)	4.2.1
115	127951	yok◦naʔ	swallow	v	RC-ChepQ	452	Chepang (Eastern)	4.2.3
116	127952	taha◦rawʔ	gizzard / crop of bird		RC-ChepQ	452	Chepang (Eastern)	4.2.4
117	127953	kos	chest		RC-ChepQ	452	Chepang (Eastern)	5.1
118	127954	rip	rib		RC-ChepQ	452	Chepang (Eastern)	5.1.2
119	127955	terʔ◦pen	breastbone / sternum		RC-ChepQ	452	Chepang (Eastern)	5.1.3
120	127956	waʔghorh◦hrus	collar bone / clavicle		RC-ChepQ	452	Chepang (Eastern)	5.2
121	127957	bal	shoulder		RC-ChepQ	452	Chepang (Eastern)	5.3
122	127958	bal	shoulder blade / scapula		RC-ChepQ	452	Chepang (Eastern)	5.3.1
123	127959	dut	breast		RC-ChepQ	452	Chepang (Eastern)	5.4
124	127960	dut.sayʔ	nipple		RC-ChepQ	452	Chepang (Eastern)	5.4.1
125	127961	ʔoh◦sayʔ	nipple		RC-ChepQ	452	Chepang (Eastern)	5.4.1
126	127962	dut	milk		RC-ChepQ	452	Chepang (Eastern)	5.4.3
127	127963	ʔoh◦(lay)◦tiʔ	milk		RC-ChepQ	452	Chepang (Eastern)	5.4.3
128	127964	nyonʔ◦naʔ	suck		RC-ChepQ	452	Chepang (Eastern)	5.4.5
129	127965	hnyonh◦naʔ	suck		RC-ChepQ	452	Chepang (Eastern)	5.4.5
130	127966	kholʔ◦naʔ	nurse  /  suckle	v	RC-ChepQ	452	Chepang (Eastern)	5.4.6
131	127967	giŋ	back		RC-ChepQ	452	Chepang (Eastern)	5.5
