ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
1869	480582	gleh-	miss (target)	vi.	RC-DOC	1977	Chepang	
1870	480583	gloŋh	shinbone, tibia	n.	RC-DOC	1977	Chepang	
1871	480584	glot	spirit of certain plants (bananas, Kapok tree, etc.) and stones - causes sores on a child if disturbed	n.	RC-DOC	1977	Chepang	
1872	480585	ba.ne glot	spirit of certain plants, stones, etc. (<N bani character)	n.	RC-DOC	1977	Chepang	
1873	480586	glomʔ-	encircle, embrace (large object)	vt.	RC-DOC	1977	Chepang	
1874	480587	glomh-	encircle, embrace (large object)	vt.	RC-DOC	1977	Chepang	
1875	480588	glos-	make ramp or ladder by leaning log against a tree	vt.	RC-DOC	1977	Chepang	
1876	480589	glos.siŋʔ	ramp (made of log)	n.	RC-DOC	1977	Chepang	
1877	480590	gloh-	encircle, embrace	vt.	RC-DOC	1977	Chepang	
1878	480591	glyəmʔ-	cease (bad smell), subside (anger)	vi.	RC-DOC	1977	Chepang	
1879	480592	glya-	emerge seasonally (crabs, etc.), lose power (shaman)	vi.	RC-DOC	1977	Chepang	
1880	480593	kura glya	exposed (secret)	vi.	RC-DOC	1977	Chepang	
1881	480594	dyur glya-	salivate	vi.	RC-DOC	1977	Chepang	
1882	480595	glyaŋʔ-	cover with water, soil	va.	RC-DOC	1977	Chepang	
1883	480596	glyan-	feel nauseated, regurgitate	vri.	RC-DOC	1977	Chepang	
1884	480597	hluŋ glyan-	feel nauseated, regurgitate	vri.	RC-DOC	1977	Chepang	
1885	480598	glyanʔ-	rebuke, reiterate previous warning or promise	vt.	RC-DOC	1977	Chepang	
1886	480599	glyawʔ-	spread (sickness)	vi.	RC-DOC	1977	Chepang	
1887	480600	glyawʔ-	water down, weaken beer, spoil	vt.	RC-DOC	1977	Chepang	
1888	480601	glyuʔ	bud (unopened), unpopped corn	n.	RC-DOC	1977	Chepang	
1889	480602	glyuŋh-	descend, emerge, come or go out	vi.	RC-DOC	1977	Chepang	
1890	480603	glyunʔ-	bring down, take down, take out	vt.	RC-DOC	1977	Chepang	
1891	480604	glyup-	slip on clothes, wear these	vit.	RC-DOC	1977	Chepang	
1892	480605	-glyum	charcoal, coals	nb.	RC-DOC	1977	Chepang	
1893	480606	hmeʔ.glyum	charcoal, coals	n.	RC-DOC	1977	Chepang	
1894	480607	glyumʔ-	push into hole, refill hole (esp. of grain pounder)	vt.	RC-DOC	1977	Chepang	
1895	480608	glyo-	tender, soft (meat)	va.	RC-DOC	1977	Chepang	
1896	480609	glyoʔ-	have enough of something, be bothered, pestered by someone	vr.	RC-DOC	1977	Chepang	
1897	480610	gwəʔ	circular	onom.	RC-DOC	1977	Chepang	
1898	480611	gwəʔ-	circular in shape	va.	RC-DOC	1977	Chepang	
1899	480612	gwək-	entrap, encircle (bat with net, fish with hands)	vt.	RC-DOC	1977	Chepang	
1900	480613	gwəm	influence, power (esp. magical, religious)	n.	RC-DOC	1977	Chepang	
1901	480614	gwəm-	dizzy, lose senses, balance	vr.	RC-DOC	1977	Chepang	
1902	480615	gwəm.ʔi	spirit, influence	n.	RC-DOC	1977	Chepang	
1903	480616	gwəmh-	cause dizziness, confusion	vt.	RC-DOC	1977	Chepang	
1904	480617	gwər-	bend, work or cut around	vt.	RC-DOC	1977	Chepang	
1905	480618	gwərʔ	circular frame of bamboo, wood (esp. for hand-net)	n.	RC-DOC	1977	Chepang	
1906	480619	gwərʔ-	circle round ahead, head off, circle around (bats)?	vt.	RC-DOC	1977	Chepang	
1907	480620	gwələʔ-	undulate, flap up and down (long flexible object)	vi.	RC-DOC	1977	Chepang	
1908	480621	gwəlʔ-	wriggle, slither, wind (as snake)	vi.	RC-DOC	1977	Chepang	
1909	480622	gwəlʔ.ma.hayk	net place just below ridge (ch.)	n.	RC-DOC	1977	Chepang	
1910	480623	gwəlʔ.lənʔ-	right around tree), swarm up	vi.	RC-DOC	1977	Chepang	
1911	480624	gwa.lak gwə.lək	see dimly (in darkness)	onom.	RC-DOC	1977	Chepang	
1912	480625	gwa.laŋ rama	large sickle	n.	RC-DOC	1977	Chepang	
1913	480626	gwa.lamʔ	completely, certainly	adv.	RC-DOC	1977	Chepang	
1914	480627	gwa.lamʔ	spirit of humans, shadow-like, associated with speaking and seeing	n.	RC-DOC	1977	Chepang	
1915	480628	gwaʔ	circular	onom.	RC-DOC	1977	Chepang	
1916	480629	gwaŋh-	treat hospitably, speak well, unhesitatingly	vt.	RC-DOC	1977	Chepang	
1917	480630	gwam-	able to finish off prey, succeed, bring to completion	vt.	RC-DOC	1977	Chepang	
1918	480631	gwam.ya	louse of birds, very small flea-like	n.	RC-DOC	1977	Chepang	
1919	480632	tiʔ.gwam.ya	insect (sp.), midge, very small, greenish, seen on top of puddles	n.	RC-DOC	1977	Chepang	
1920	480633	gwamh-	dizzy, giddy, light-headed	vr.	RC-DOC	1977	Chepang	
1921	480634	gwas	bee (sp.), large lowland type, with round nest hanging from tree (B)	n.	RC-DOC	1977	Chepang	
1922	480635	gwah	utensil (sp.), large earthen cooking pot	n.	RC-DOC	1977	Chepang	
1923	480636	gwah.pək.ro	plant (sp.), yellow flower like Hollyhock, black inside, root used for cough medicine	n.	RC-DOC	1977	Chepang	
1924	480637	gwi.ray	grass (sp.), tall, used for brooms, Thysanolaena maxima	n.	RC-DOC	1977	Chepang	
1925	480638	gwe.ray	grass (sp.), tall, used for brooms Thysanolaena maxima	n.	RC-DOC	1977	Chepang	
1926	480639	gweʔ	finger	n.	RC-DOC	1977	Chepang	
1927	480640	gwer	cheek	n.	RC-DOC	1977	Chepang	
1928	480641	gweleʔ-	flap, vibrate, flex (long springy object - more than gwələʔ, less than leweʔ-)	vi.	RC-DOC	1977	Chepang	
1929	480642	ghə.pənʔ	lid of earthen cooking pot	n.	RC-DOC	1977	Chepang	
1930	480643	ghə.bhə.ləp	unhappy, miserable	onom.	RC-DOC	1977	Chepang	
1931	480644	ghə.may-	despondent, sad (esp. because of lack of children)	vr.	RC-DOC	1977	Chepang	
1932	480645	ghəʔ-	belch	vi.	RC-DOC	1977	Chepang	
1933	480646	ghəŋ-	fall on face, bump face	vi.	RC-DOC	1977	Chepang	
1934	480647	-ghən.di	Classifier (Numeral, Animate) - animate objects	nmcl.	RC-DOC	1977	Chepang	
1935	480648	ghəmʔ-	go behind cloud (sun), be overcast, be in shade	vi.	RC-DOC	1977	Chepang	
1936	480649	hluŋ ghəmʔ-	subdued, uncommunicative, sullen	vr.	RC-DOC	1977	Chepang	
1937	480650	ghəy-	faint with distance (high sound), ease (rain)	va.	RC-DOC	1977	Chepang	
1938	480651	ghəy.la	container(s) of rain (in a cloud)	n.	RC-DOC	1977	Chepang	
1939	480652	ghəy.luŋ	swaying (bamboo)	onom.	RC-DOC	1977	Chepang	
1940	480653	ghəyʔ-	put in shadow, go behind, descend behind hill (sun, moon)	vit.	RC-DOC	1977	Chepang	
1941	480654	ghəyʔ.do	west (as a place)	nl.	RC-DOC	1977	Chepang	
1942	480655	ghəyʔ.raŋ.məyʔ	western people	n.	RC-DOC	1977	Chepang	
1943	480656	ghəyk-	put into shadow, cast shadow on	vt.	RC-DOC	1977	Chepang	
1944	480657	ghəlh-	very blunt (edge)	vai.	RC-DOC	1977	Chepang	
1945	480658	ghəw	copper taste	n.	RC-DOC	1977	Chepang	
1946	480659	ghəw-	brassy-tasting	va.	RC-DOC	1977	Chepang	
1947	480660	ghəw.sə-	scratch, rub back against (much)	vt.	RC-DOC	1977	Chepang	
1948	480661	ghəs-	graze, strike, rub against when passing (esp. overhanging rock)	vt.	RC-DOC	1977	Chepang	
1949	480662	gha-	spread apart (esp. legs), be bow-legged	vai.	RC-DOC	1977	Chepang	
1950	480663	gha.gi	pass, sharply defined saddle in ridge	n.	RC-DOC	1977	Chepang	
1951	480664	ghaʔ-	spoil, affect adversely by stepping over (person - regarded as very impolite), spoil fermentation of beer (by entering house when fermenting agent is put in)	vt.	RC-DOC	1977	Chepang	
1952	480665	ghaʔ.lan	spirit (sp.), becomes associated with the foot (causing ill effects)	nn.	RC-DOC	1977	Chepang	
1953	480666	ghak	fork, junction, crutch of body	n.	RC-DOC	1977	Chepang	
1954	480667	cok.ghak	cleft of hoof	n.	RC-DOC	1977	Chepang	
1955	480668	plek.ghak	crutch	n.	RC-DOC	1977	Chepang	
1956	480669	por.ghak	crutch	n.	RC-DOC	1977	Chepang	
1957	480670	ghak-	astride, straddle, step over, prop with forked stick	vat.	RC-DOC	1977	Chepang	
1958	480671	ghak.ryak	falling with legs astride	onom.	RC-DOC	1977	Chepang	
1959	480672	ghak.siŋʔ	forked stick	n.	RC-DOC	1977	Chepang	
1960	480673	ghaŋ	hole, gap	n.	RC-DOC	1977	Chepang	
1961	480674	ghaŋ-	have holes (cloth, etc.), come into holes	va.	RC-DOC	1977	Chepang	
1962	480675	ghaŋh	frog (sp.), bullfrog, grey, mud-living, edible	n.	RC-DOC	1977	Chepang	
1963	480676	ghan-	beat, strike (with hand), thrash grain	vt.	RC-DOC	1977	Chepang	
1964	480677	ghan.ryəw	cruel, violent person	n.	RC-DOC	1977	Chepang	
1965	480678	gham-	cross (two sticks), put arms around each other's shoulders, agree completely (ext.)	vat.	RC-DOC	1977	Chepang	
1966	480679	ghay-	weaken, ease (rain), be faint (of deep sound)	vai.	RC-DOC	1977	Chepang	
1967	480680	ghar-	similar, compare (objects), put side by side, copy shape	vat.	RC-DOC	1977	Chepang	
1968	480681	ghar.ʔaŋ	similar portion	n.	RC-DOC	1977	Chepang	
1969	480682	gharʔ	sudden pouncing	onom.	RC-DOC	1977	Chepang	
1970	480683	ghalʔ-	bare, open (space), be sparse, empty, be a gap	vat.	RC-DOC	1977	Chepang	
1971	480684	ghalʔ.lənʔ	house site	n.	RC-DOC	1977	Chepang	
1972	480685	ghas-	be across shoulders (stick), carry with such a stick (as Newars), put arms on other's shoulders	vat.	RC-DOC	1977	Chepang	
1973	480686	ghah-	spread, splayed, cloven (toes, hoof, tree branches)	va.	RC-DOC	1977	Chepang	
1974	480687	ghiʔ-	take notice, be attentive, listen, think over	vi.	RC-DOC	1977	Chepang	
1975	480688	hluŋ ghiʔ-	aware, attentive	vi.	RC-DOC	1977	Chepang	
1976	480689	ghu.tum	motionless	onom.	RC-DOC	1977	Chepang	
1977	480690	ghuŋ-	fall on face, strike (one's) face, esp. on ground	vit.	RC-DOC	1977	Chepang	
1978	480691	ghuŋ.gawʔ-	throw down, bang on ground (esp. drum) (ch.)	vt.	RC-DOC	1977	Chepang	
1979	480692	ghun	weevil (sp.), found in corn grain (<N)	n.	RC-DOC	1977	Chepang	
1980	480693	ghun.cu.ni	snail (sp.), found in soil	n.	RC-DOC	1977	Chepang	
1981	480694	ghunh-	weak, aching at knees (much), stumbling (from descent)	vai.	RC-DOC	1977	Chepang	
1982	480695	ghumh-	lean over, be bent over, hang down (tree, branches)	vai.	RC-DOC	1977	Chepang	
1983	480696	ghuy-	pull down (towards oneself - branches, etc.)	vt.	RC-DOC	1977	Chepang	
1984	480697	ghuyh	bamboo (sp.), with drooping tops	n.	RC-DOC	1977	Chepang	
1985	480698	ghuyh-	droop, hang down much (branches)	va.	RC-DOC	1977	Chepang	
1986	480699	ghur	smell (sp.), muddy odour (of cattle, pigs)	n.	RC-DOC	1977	Chepang	
1987	480700	gheŋ.teŋ	pour over, slosh	onom.	RC-DOC	1977	Chepang	
1988	480701	gherʔ-	tilted, leaning slightly (head, etc.)	vai.	RC-DOC	1977	Chepang	
1989	480702	ghel-	past zenith (sun), be tilted off vertical	va.	RC-DOC	1977	Chepang	
1990	480703	ghes-	rub, bump against obstruction	vt.	RC-DOC	1977	Chepang	
1991	480704	gho-	confess, admit	vi.	RC-DOC	1977	Chepang	
1992	480705	gho.duŋ	ravine, gully, steep valley	n.	RC-DOC	1977	Chepang	
1993	480706	gho.duŋ ya.duŋ	valleys and ridges, broken (country)	adjn.	RC-DOC	1977	Chepang	
1994	480707	ghok-	wide, broad, spread out	vat.	RC-DOC	1977	Chepang	
1995	480708	ghoŋ.ko.rok	throat (outer)	n.	RC-DOC	1977	Chepang	
1996	480709	ghon	fish (sp.), troutlike, edible, Channa gachua or stewartii	n.	RC-DOC	1977	Chepang	
1997	480710	ghoy-	admit, confess quietly	vi.	RC-DOC	1977	Chepang	
1998	480711	ghoy-	plough (B)	vt.	RC-DOC	1977	Chepang	
1999	480712	ghoy.ghoy	droop, hang (head)	onom.	RC-DOC	1977	Chepang	
2000	480713	ghor-	loud, deep (voice)	va.	RC-DOC	1977	Chepang	
2001	480714	ghorh	channel	n.	RC-DOC	1977	Chepang	
2002	480715	giŋ.koʔ ghorh	hollow along backbone	n.	RC-DOC	1977	Chepang	
2003	480716	raŋ.ghorh	ravine	n.	RC-DOC	1977	Chepang	
2004	480717	waŋ.ghorh	runnel, rut	n.	RC-DOC	1977	Chepang	
2005	480718	ghya.gər	Indian hawker	n.	RC-DOC	1977	Chepang	
2006	480719	ghyam.pa	utensil (sp.), very large earthen storage pot, about 50 litres capacity	n.	RC-DOC	1977	Chepang	
2007	480720	ghyalʔ-	laid flat, be horizontal, be held horizontally (stick, etc.)	vat.	RC-DOC	1977	Chepang	
2008	480721	ghyalʔ.siŋʔ	log, fallen tree	n.	RC-DOC	1977	Chepang	
2009	480722	ghyup-	drop speedily, in a curved trajectory (thrown stone, net), down-curving	vi.	RC-DOC	1977	Chepang	
2010	480723	ghyum	chrysalis, pupa	n.	RC-DOC	1977	Chepang	
2011	480724	ghyum-	subdued, cowed, rendered speechless	vr.	RC-DOC	1977	Chepang	
2012	480725	hluŋ ghyum-	downcast	vr.	RC-DOC	1977	Chepang	
2013	480726	ghrəʔ-	belch	vi.	RC-DOC	1977	Chepang	
2014	480727	ghrək-	laboured, grabbing (breath)	va.	RC-DOC	1977	Chepang	
2015	480728	ghrayŋh-	parallel, twinned	va.	RC-DOC	1977	Chepang	
2016	480729	ghruk-	call (sp.), of Bamboo Rat, grunt of pig	vi.	RC-DOC	1977	Chepang	
2017	480730	ghrus-	kneel down, be brought to knees; be loaded with fruit (ext.)	vai.	RC-DOC	1977	Chepang	
2018	480731	ghroyk.cik.waʔ	bird (sp.), small, brown, nests in ground hole, Spiny Babbler?	n.	RC-DOC	1977	Chepang	
2019	480732	ghryat.nyamʔ	grasshopper (sp.), weta-like	n.	RC-DOC	1977	Chepang	
2020	480733	ghryanh	cut scrub; affianced, married person (met.)	n.	RC-DOC	1977	Chepang	
2021	480734	ghryah	twigs	n.	RC-DOC	1977	Chepang	
2022	480735	(-)ŋə	First Person Exclusive suffix (Verbal) or particle	fn1.	RC-DOC	1977	Chepang	
2023	480736	-ŋə	Adverbializer	fn2.	RC-DOC	1977	Chepang	
2024	480737	ŋə.rək-	moan softly	vi.	RC-DOC	1977	Chepang	
2025	480738	ŋəkəʔ-	cut through with sawing motion, saw off	vt.	RC-DOC	1977	Chepang	
2026	480739	ŋət-	tacky, sticky (esp. Chyuri oil), be throat-catching?	va.	RC-DOC	1977	Chepang	
2027	480740	ŋən-	sticky, glutinous (cooked grain)	va.	RC-DOC	1977	Chepang	
2028	480741	ŋənə-	carry many loads together as one	vt.	RC-DOC	1977	Chepang	
2029	480742	ŋənə.na	swaying, moving (large animal, tree)	onom.	RC-DOC	1977	Chepang	
2030	480743	ŋənəʔ-	wave, sway (in wind), move (post)	vi.	RC-DOC	1977	Chepang	
2031	480744	ŋənəʔ-	ready, be willing to work, begin to move	vr.	RC-DOC	1977	Chepang	
2032	480745	hluŋ ŋənəʔ-	ready, be willing to work, begin to move	vr.	RC-DOC	1977	Chepang	
2033	480746	ŋən.də.la	dumb, mentally deficient person	adjn.	RC-DOC	1977	Chepang	
2034	480747	ŋənhəʔ-	lift, move load a little	vt.	RC-DOC	1977	Chepang	
2035	480748	ŋəm.lik	tumble (water)	onom.	RC-DOC	1977	Chepang	
2036	480749	ŋəy-	make noise (intentionally - esp. by talking), create disturbance	vi.	RC-DOC	1977	Chepang	
2037	480750	ŋər-	smoothen, trim to shape (wood)	vt.	RC-DOC	1977	Chepang	
2038	480751	ŋərʔ-	notch, cut repeated pattern, serrations	vt.	RC-DOC	1977	Chepang	
2039	480752	ŋərəʔ-	notch, be cutting repeated patterns or serrations, carve	vt.	RC-DOC	1977	Chepang	
2040	480753	ŋərh	burn thoroughly	onom.	RC-DOC	1977	Chepang	
2041	480754	ŋərhəʔ-	spiralled, twisted (large vine)	va1.	RC-DOC	1977	Chepang	
2042	480755	ŋərhəʔ-	partly burnt	va2.	RC-DOC	1977	Chepang	
2043	480756	ŋələʔ	dark, blackish	onom.	RC-DOC	1977	Chepang	
2044	480757	ŋəlʔ-	improperly cooked, blackened (tubers)	va.	RC-DOC	1977	Chepang	
2045	480758	ŋəlh-	dark, sticky (oil)	va.	RC-DOC	1977	Chepang	
2046	480759	ŋəw.ŋəw ŋaw.ŋaw	drunken talk	onom.	RC-DOC	1977	Chepang	
2047	480760	ŋəwh-	bite off pieces, nibble	vt.	RC-DOC	1977	Chepang	
2048	480761	ŋa	I	pn.	RC-DOC	1977	Chepang	
2049	480762	ŋa.koʔ	my	pn.	RC-DOC	1977	Chepang	
2050	480763	ŋa.cya	noise of crawling creatures	onom.	RC-DOC	1977	Chepang	
2051	480764	ŋa.cyaʔ	sitting upright (large person)	onom.	RC-DOC	1977	Chepang	
2052	480765	ŋa.cyaʔ ŋə.cəʔ	sitting upright (two large persons)	onom.	RC-DOC	1977	Chepang	
2053	480766	ŋa.laŋ	I (ch.)	pn.	RC-DOC	1977	Chepang	
2054	480767	ŋaʔ	fish (gen.)	n.	RC-DOC	1977	Chepang	
2055	480768	ŋaʔ-	confident, self sufficient, well-off	vr.	RC-DOC	1977	Chepang	
2056	480769	ləyʔ ŋaʔ-	boast	vi.	RC-DOC	1977	Chepang	
2057	480770	ŋat	gum from tree, used as birdlime	n.	RC-DOC	1977	Chepang	
2058	480771	ʔayh.ŋat	soft gum	n.	RC-DOC	1977	Chepang	
2059	480772	cak.ŋat	hard gum	n.	RC-DOC	1977	Chepang	
2060	480773	yah.ŋat	gum collected overnight	n.	RC-DOC	1977	Chepang	
2061	480774	hŋi.ŋat	gum collected during daytime	n.	RC-DOC	1977	Chepang	
2062	480775	ŋanə.na	moving, plodding (large animal)	onom.	RC-DOC	1977	Chepang	
2063	480776	ŋan.tha.na	many settling, appearing	onom.	RC-DOC	1977	Chepang	
2064	480777	ŋanh-	groan, moan, grunt	vi.	RC-DOC	1977	Chepang	
2065	480778	ŋanh-	grow profusely	va.	RC-DOC	1977	Chepang	
2066	480779	ŋam-	gnaw at (with front teeth)	vt.	RC-DOC	1977	Chepang	
2067	480780	kurə ŋam-	repeat over and over, reiterate	vi.	RC-DOC	1977	Chepang	
2068	480781	ŋayʔ-	strike (with missile), hit target, make contact, meet with intended object	vt.	RC-DOC	1977	Chepang	
2069	480782	hluŋ.tuk ŋayʔ-	satisfy	vr.	RC-DOC	1977	Chepang	
2070	480783	ŋayk	stirring stick	n.	RC-DOC	1977	Chepang	
2071	480784	ŋayk-	stir, turn over thick substance (cooking food)	vt.	RC-DOC	1977	Chepang	
2072	480785	ku.ra ŋayk-	argue much	vi.	RC-DOC	1977	Chepang	
2073	480786	ŋar-	purr, growl with pleasure (panther, etc.)	vi.	RC-DOC	1977	Chepang	
2074	480787	ŋar-	quarrelsome, aggressive, grow profusely and choke plants (weeds)	va.	RC-DOC	1977	Chepang	
2075	480788	ləyʔ ŋar-	quarrelsome	va.	RC-DOC	1977	Chepang	
2076	480789	ŋar-	not floury, be hard (boiled yam)	va.	RC-DOC	1977	Chepang	
2077	480790	ŋar.ryəw.məyʔ	feline species (ch.)	n.	RC-DOC	1977	Chepang	
2078	480791	ŋalʔ-	dark in colour, (blue, purple, brown)	va.	RC-DOC	1977	Chepang	
2079	480792	ŋalh	lampblack, soot from lamp	n.	RC-DOC	1977	Chepang	
2080	480793	ŋaw-	heat in vessel without water, roast (corn), fry (meat)	vt.	RC-DOC	1977	Chepang	
2081	480794	ŋawʔ.sayʔ	seeds (sp.), of wild banana	n.	RC-DOC	1977	Chepang	
2082	480795	ŋas-	entrapped, caught with net or gum	va.	RC-DOC	1977	Chepang	
2083	480796	hluŋ ŋas-	crave for	vr.	RC-DOC	1977	Chepang	
2084	480797	ŋah-	prosper, thrive (esp. beehive), be successful, lucky, gain	vai.	RC-DOC	1977	Chepang	
2085	480798	ŋah.to ŋayʔ-	gain	vt.	RC-DOC	1977	Chepang	
2086	480799	hluŋ ŋah.to noʔ-	speak with knowledge	vi.	RC-DOC	1977	Chepang	
2087	480800	ŋi	we	pn.	RC-DOC	1977	Chepang	
2088	480801	ŋi.ci	we two	pn.	RC-DOC	1977	Chepang	
2089	480802	ŋi.ciʔ	sitting upright (very small people)	onom.	RC-DOC	1977	Chepang	
2090	480803	ŋi.ciʔ ŋa.cyaʔ	sitting upright (one small, one large)	onom.	RC-DOC	1977	Chepang	
2091	480804	ŋiʔ-	smile, grin, laugh, giggle, twitter (as shrew)	vi.	RC-DOC	1977	Chepang	
2092	480805	ŋiʔ.ra.me	joke	n.	RC-DOC	1977	Chepang	
2093	480806	ŋi◦ni-	carry together two loads together as one	vt.	RC-DOC	1977	Chepang	
2094	480807	ŋiniʔ-	loose, ready to come out, begin to move (tooth, etc.)	va.	RC-DOC	1977	Chepang	
2095	480808	ŋir-	screw up eyes, face (when about to cry)	vi.	RC-DOC	1977	Chepang	
2096	480809	ŋiriʔ-	be arrow incision, groove	va.	RC-DOC	1977	Chepang	
2097	480810	ŋiriʔ-	be arrow incision, groove	va.	RC-DOC	1977	Chepang	
2098	480811	ŋiwh-	bite off very small pieces	va.	RC-DOC	1977	Chepang	
2099	480812	ŋis.ŋis	smelling of burning (flesh)	onom.	RC-DOC	1977	Chepang	
2100	480813	ŋu.cyuʔ	sitting upright (small person)	onom.	RC-DOC	1977	Chepang	
2101	480814	ŋu.tiʔ.	milk (arch.)	n.	RC-DOC	1977	Chepang	
2102	480815	ŋu.thənʔ-.	bring up from below	vi.	RC-DOC	1977	Chepang	
2103	480816	ŋu.diŋʔ	stalk of plant	n.	RC-DOC	1977	Chepang	
2104	480817	ŋu.dulʔ.ca	main stalk of plant	n.	RC-DOC	1977	Chepang	
2105	480818	ŋunu-	carry together (several loads)	vt.	RC-DOC	1977	Chepang	
2106	480819	ŋunuʔ-	rest on ground	vi.	RC-DOC	1977	Chepang	
2107	480820	ta.laŋ ŋunuʔ-	bow to ground	vi.	RC-DOC	1977	Chepang	
2108	480821	ŋun.jay.lə	unhappy, miserable	onom.	RC-DOC	1977	Chepang	
2109	480822	ŋun.thu.la	stump, base of tree	adjn.	RC-DOC	1977	Chepang	
2110	480823	ŋunʔ	fourchette, perineum	n.	RC-DOC	1977	Chepang	
2111	480824	ŋunʔ-	set down in stable position (load, pot, etc.)	vt.	RC-DOC	1977	Chepang	
2112	480825	ŋunh-	sturdy, well supported; be rich (person) (ext.)	va.	RC-DOC	1977	Chepang	
2113	480826	ŋum.(tol)	knee (B)	n.	RC-DOC	1977	Chepang	
2114	480827	ŋuy-	sound well, loudly (drum, etc.), resound, resonate, drone	va.	RC-DOC	1977	Chepang	
2115	480828	ŋuy-	sound well, loudly (drum)	va.	RC-DOC	1977	Chepang	
2116	480829	ŋuyk-	bind tightly, tangle, tie over and over, choke	vt.	RC-DOC	1977	Chepang	
2117	480830	ma.ru.ʔi ŋuyk-	flatten and tangle crops (wind)	vt.	RC-DOC	1977	Chepang	
2118	480831	ŋuykuʔ-	bind tightly, tangle, tie over and over, choke	vt.	RC-DOC	1977	Chepang	
2119	480832	ŋuyh-	resonate (somewhat)	va.	RC-DOC	1977	Chepang	
2120	480833	ŋur-	growl (dog)	vi.	RC-DOC	1977	Chepang	
2121	480834	ŋʔur	speech, language, words (B)	n.	RC-DOC	1977	Chepang	
2122	480835	ŋurh-	roar (fire, wind), rumble (thunder)	vi.	RC-DOC	1977	Chepang	
2123	480836	ŋe-	slow growing, stunted	va.	RC-DOC	1977	Chepang	
2124	480837	ŋen-	slow, lazy, listless (much)	va.	RC-DOC	1977	Chepang	
2125	480838	ŋer-	screw up eyes, face (as child about to cry), whine, whinge, sulk and not eat; spread slowly; crackle (fire) (ext.)	vi.	RC-DOC	1977	Chepang	
2126	480839	ŋereʔ-	screw up eyes when crying	vi.	RC-DOC	1977	Chepang	
2127	480840	ŋewh-	nibble at (small bites)	vt.	RC-DOC	1977	Chepang	
2128	480841	ŋo-	dizzy, giddy, drunk, lose senses (partly), be dull (head)	vr.	RC-DOC	1977	Chepang	
2129	480842	ŋo.cyoʔ	sitting upright (medium)	onom.	RC-DOC	1977	Chepang	
2130	480843	ŋo.cyoʔ ŋa.cyaʔ	sitting upright (medium) (two persons)	onom.	RC-DOC	1977	Chepang	
2131	480844	ŋo.dhiŋ	giddiness	n.	RC-DOC	1977	Chepang	
2132	480845	ŋo.liŋ	step, stage (in process, journey)	n.	RC-DOC	1977	Chepang	
2133	480846	ŋok-	long and floppy, flop sideways (hump of Brahmin bull, head of carried baby)	vai.	RC-DOC	1977	Chepang	
2134	480847	ŋoŋ-	tilt, lean sideways (much), begin to topple	vi.	RC-DOC	1977	Chepang	
2135	480848	ŋono.na	swaying, moving (small animal, tree)	onom.	RC-DOC	1977	Chepang	
2136	480849	ŋono-	move slowly, unsteadily (as when arising after sickness), be wobbly on feet, sway (person)	vi.	RC-DOC	1977	Chepang	
2137	480850	ŋoy	right (side)	nl.	RC-DOC	1977	Chepang	
2138	480851	ŋoyoʔ-	bend, veer (to right - many times)	vai.	RC-DOC	1977	Chepang	
2139	480852	ŋoy.do	right side	n.	RC-DOC	1977	Chepang	
2140	480853	ŋoyʔ-	curve, bend, turn (to right)	vai.	RC-DOC	1977	Chepang	
2141	480854	ŋoyk(oʔ)-	tangle, bind tightly (with twisting)	vat.	RC-DOC	1977	Chepang	
2142	480855	ŋoyŋ(o)ʔ-	bend, turn (to right), bend back on itself	vai.	RC-DOC	1977	Chepang	
2143	480856	ŋoyh-	twisted, distorted, bent to one side (mouth)	va.	RC-DOC	1977	Chepang	
2144	480857	ŋor-	recuperating, weak from hunger, etc.	va.	RC-DOC	1977	Chepang	
2145	480858	ŋorh-	munch, gnaw (as caterpillar)	vt.	RC-DOC	1977	Chepang	
2146	480859	ŋol	insect (sp.), Hornet - 5cm. long, with red head, lives in ground, stings severely	n.	RC-DOC	1977	Chepang	
2147	480860	hrok.ŋol	insect (sp.), Hornet, makes hole in trees	n.	RC-DOC	1977	Chepang	
2148	480861	ŋol.tuŋʔ	sinew below kneecap	n.	RC-DOC	1977	Chepang	
2149	480862	ŋol.tumʔ	sinew below kneecap	n.	RC-DOC	1977	Chepang	
2150	480863	ŋol.tumʔ.kraʔ	termite (sp.), with round, black nest in ground	n.	RC-DOC	1977	Chepang	
2151	480864	ŋolʔ-	lean on stick, support oneself with stick (when walking, etc.)	vi.	RC-DOC	1977	Chepang	
2152	480865	ŋos-	comfortable, easy, pleasant (place, appearance), be easy to use, fluent	va.	RC-DOC	1977	Chepang	
2153	480866	ŋyar-	meow a little (cat)	vi.	RC-DOC	1977	Chepang	
2154	480867	ŋyaw-	meow much (cat), give high-pitched sound (drum)	vi.	RC-DOC	1977	Chepang	
2155	480868	ŋyoŋoʔ-	stretch neck (to feed - animal)	vi.	RC-DOC	1977	Chepang	
2156	480869	ŋrə-	partly recovered, changed partly, recuperate slightly (from tiredness)	va.	RC-DOC	1977	Chepang	
2157	480870	ŋrəʔ-	partly similar, somewhat agreeable	va.	RC-DOC	1977	Chepang	
2158	480871	ŋrək-	groan, moan (slightly - with pain)	vi.	RC-DOC	1977	Chepang	
2159	480872	ŋrəs-	stick (burnt food)	vi.	RC-DOC	1977	Chepang	
