OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	kʲi₃₁kɛ₃₅t͡ʂɤ₂₁	kʲ i ₃₁ k ɛ ₃₅ t͡ʂ ɤ ₂₁	224	Allen2007, 81	earthworm / 蚯蚓	kʲi31kɛ35tʂɤ21	kʲ i ₃₁ k ɛ ₃₅ t͡ʂ ɤ - ₂₁
7027	ɕy₃₃t͡ɕi₃₁	ɕ y ₃₃ t͡ɕ i ₃₁	1380	Allen2007, 18	wet / 水田	ɕy33tɕi31	ɕ y ₃₃ t͡ɕ i ₃₁
7027	pʰɛ₅₅	pʰ ɛ ₅₅	1388	Allen2007, 420	wet / 湿	pʰɛ55	pʰ ɛ ₅₅
5980	ɕi₄₄	ɕ i ₄₄	645	Allen2007, 78	louse / 虱子	ɕi44	ɕ i ₄₄
5599	pi₃₅	p i ₃₅	972	Allen2007, 200	salt / 盐	pi35	p i ₃₅
5482	ku₃₃	k u ₃₃	798	Allen2007, 415	old / 老	ku33	k u ₃₃
5429	vɤ₃₃ɲi₂₁	v ɤ ₃₃ ɲ i ₂₁	1419	Allen2007, 164	wife / 妻子	vɤ33ɲi21	v ɤ ₃₃ ɲ i ₂₁
336072	ta₃₁	t a ₃₁	1135	Allen2007, 343	steal / 偷	ta31	t a ₃₁
3269	me₄₂	m e ₄₂	948	Allen2007, 115	root / 根	me42	m e ₄₂
5485	we₃₅ɤɤ₄₄	w e ₃₅ ɤɤ ₄₄	1357	Allen2007, 435	warm / 暖和	we35vɤ44	w e ₃₅ ɤɤ ₄₄
496633	sɤ₃₁	s ɤ ₃₁	836	Allen2007, 445	painful / 痛	sɤ31	s ɤ ₃₁
5463	a₅₅mɔ₃₃	a ₅₅ m ɔ ₃₃	719	Allen2007, 163	mother / 母亲	a55mɔ33	a ₅₅ m ɔ ₃₃
7039	xe₅₅	x e ₅₅	1038	Allen2007, 1	sky / 天	xe55	x e ₅₅
2421	ʂɤ₄₂	ʂ ɤ ₄₂	728	Allen2007, 22	mountain / 山	ʂɤ42	ʂ ɤ ₄₂
522875	ŋɛ₂₁	ŋ ɛ ₂₁	1012	Allen2007, 117	shoot,sprout / 芽	ŋɛ21	ŋ ɛ ₂₁
400	t͡sɔ₅₅	t͡s ɔ ₅₅	54	Allen2007, 61	bird / 鸟	tsɔ55	t͡s ɔ ₅₅
6280	kʰɔ₃₃	kʰ ɔ ₃₃	365	Allen2007, 119	fruit / 果	kʰɔ33	kʰ ɔ ₃₃
6025	kʲɛ₃₅	kʲ ɛ ₃₅	301	Allen2007, 347	fear / 怕	kʲɛ35	kʲ ɛ ₃₅
966	kʰɔ₃₃	kʰ ɔ ₃₃	166	Allen2007, 50	dog / 狗	kʰɔ33	kʰ ɔ ₃₃
5528	ji₃₁kʰɤ₅₅	j i ₃₁ kʰ ɤ ₅₅	1435	Allen2007, 85	wing(bird) / 翅膀	ji31kʰɤ55	j i ₃₁ kʰ ɤ - ₅₅
3388	kʰɤ₃₃	kʰ ɤ ₃₃	1065	Allen2007, 70	snake / 蛇	kʰɤ33	kʰ ɤ ₃₃
154737	kɔ₃₅	k ɔ ₃₅	403	Allen2007, 377	grow(of people) / 长（长大）	kɔ35	k ɔ ₃₅
5492	a₅₅na₄₄	a ₅₅ n a ₄₄	1402	Allen2007, 490	where / 哪里	a55na44	a ₅₅ n a ₄₄
4160	pi₅₅sɿ₅₅	p i ₅₅ s ɿ ₅₅	1427	Allen2007, 6	wind / 风	pi55sɿ55	p i ₅₅ s ɿ ₅₅
7709	kʰɔ₄₄	kʰ ɔ ₄₄	148	Allen2007, 349	cry / 哭	kʰɔ44	kʰ ɔ ₄₄
3455	sue₄₄	s u e ₄₄	1077	Allen2007, 11	snow / 雪	sue44	s u e ₄₄
443659	fe₃₅	f e ₃₅	385	Allen2007, 416	good / 好	fe35	f e ₃₅
5650	xe₄₄	x e ₄₄	20	Allen2007, 417	bad / 坏	xe44	x e ₄₄
1675	t͡sʰɔ₃₃	t͡sʰ ɔ ₃₃	396	Allen2007, 112	grass / 草	tsʰɔ33	t͡sʰ ɔ ₃₃
446278	tɯ₂₁ma₃₅	t ɯ ₂₁ m a ₃₅	420	Allen2007, 125	hair / 头发	tɯ21ma35	t ɯ - ₂₁ m a ₃₅
5439	pia₄₂	p i a ₄₂	28	Allen2007, 382	bark(of dog) / 吠	pia42	p i a ₄₂
