ID	DOCULECT	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	HANZI
48	Japhug	above	ɯ-taʁ	ɯ ◦ t a ʁ				1264	
85	Khaling	all	kʰøle	kʰ ø l e			全部	1273	凡
86	Limbu	all	kak	k a k			全部	1320	凡
101	Japhug	all	tʰamtɕɤt	tʰ a m tɕ ɤ t		tib[tʰams.tɕad]	全部	3682	凡
313	Japhug	bad	ŋɤn	ŋ ɤ n		tib[ŋan]	坏	1277	
419	Japhug	to be alive	sɯsu	s ɯ s u			活的	1330	
456	Khaling	the belly	mupu	m u p u	doubtful		肚子	1334	肚
457	Limbu	the belly	sappok	s a pp o k			肚子	1334	肚
472	Japhug	the belly	tɯ-xtu	t ɯ ◦ x t u			肚子	1296	肚
525	Japhug	below, under	ɯ-pa	ɯ ◦ p a				1297	
562	Khaling	big	ghoɔ̄lpɛ	gʰ o ɔ̄ l p ɛ			大	1305	大
563	Limbu	big	yɔmba	j ɔ m b a			大	1348	大
578	Japhug	big	wxti	w x t i			大	1302	大
615	Khaling	the bird	sʌ̄lpu	s ʌ̄ l p u			鸟	1312	鳥
616	Limbu	the bird	pu¹	p u ¹			鸟	1357	鳥
631	Japhug	the bird	pɣa	p ɣ a			鸟	1309	鳥
668	Khaling	to bite	kɛt-	k ɛ t ◦	=Dulong?		咬	3685	噬
669	Limbu	to bite	haʔr-	h a ʔ r ◦			咬	3765	噬
684	Japhug	to bite	mtsɯɣ	m ts ɯ ɣ			咬	1364	噬
721	Khaling	black	kekêm	k e k ê m			黑	1375	黑
722	Limbu	black	mak	m a k			黑	1232	黑
737	Japhug	black	ɲaʁ	ɲ a ʁ			黑	1374	黑
774	Khaling	the blood	hi	h i			血	1383	血
775	Limbu	the blood	makkhi	m a k kʰ i			血	1383	血
790	Japhug	the blood	tɤ-se	t ɤ ◦ s e			血	1380	血
843	Japhug	to blow (of wind)	ɣɤmɯt	ɣ ɤ m ɯ t			吹	1389	
933	Khaling	the bone	solo	s o l o			骨头	1394	骨
934	Limbu	the bone	yɛt	j ɛ t			骨头	1391	骨
949	Japhug	the bone	ɕɤrɯ	ɕ ɤ r ɯ			骨头	1391	骨
1002	Japhug	the branch	tɤ-rtaʁ	t ɤ ◦ r t a ʁ				1404	
1039	Khaling	the breast (female)	nʉs	n ʉ s			乳房	1202	乳
1040	Limbu	the breast (female)	nu	n u			乳房	1202	乳
1055	Japhug	the breast (female)	tɯ-nɯ	t ɯ ◦ n ɯ			乳房	1202	乳
1214	Japhug	to buy	χtɯ	χ t ɯ				1414	
1267	Japhug	to chew	nɤŋka	n ɤ ŋ k a				1422	
1463	Khaling	the cloud	kɵ̂m	k ɵ̂ m			云	1432	雲
1464	Limbu	the cloud	khaʔmit	kʰ a ʔ m i t			云	1432	雲
1479	Japhug	the cloud	zdɯm	z d ɯ m			云	1438	雲
1516	Khaling	cold (of temperature)	tshʌkpɛ	tsʰ ʌ k p ɛ			冷	1439	寒
1517	Limbu	cold (of temperature)	ci:kt-	c i: k t ◦			冷	1439	寒
1532	Japhug	cold (of temperature)	mɯɕtaʁ	m ɯ ɕ t a ʁ			冷	1440	寒
1569	Khaling	to come	pi-	p i ◦			来	1450	來
1570	Limbu	to come	phɛn-	pʰ ɛ n ◦			来	1450	來
1585	Japhug	to come	ɣi	ɣ i			来	1450	來
1691	Japhug	correct (right)	ɣɤŋgi	ɣ ɤ ŋ g i			对	1465	
1744	Japhug	to count	rtsi	r ts i		tib[rtsi]	数	1471	
1797	Japhug	to cry (weep)	ɣɤwu	ɣ ɤ w u				1480	
1940	Khaling	to die	mit-	m i t ◦			死	1487	死
1941	Limbu	to die	si-	s i ◦			死	1486	死
1956	Japhug	to die	si	s i			死	1486	死
2009	Japhug	to dig	lɣa	l ɣ a			挖	1495	
2062	Japhug	dirty	ɴqʰi	ɴ qʰ i			脏	1500	
2099	Khaling	the dog	khlêːp	kʰ l êː p			狗	1512	犬
2100	Limbu	the dog	kotco	k o t c o			狗	1513	犬
2115	Japhug	the dog	khɯna	kʰ ɯ n a			狗	1511	犬
2168	Japhug	the dream	tɯ-jmŋo	t ɯ ◦ j m ŋ o				1516	
2205	Khaling	to drink	tuŋ-	t u ŋ ◦			喝	1519	飲
2206	Limbu	to drink	thuŋ-	tʰ u ŋ ◦			喝	1519	飲
2221	Japhug	to drink	tsʰi	tsʰ i			喝	1521	飲
2258	Khaling	dry	dhoŋ	dʰ o ŋ			干	1535	乾
2259	Limbu	dry	kaŋ-	k a ŋ ◦			干	1534	乾
2274	Japhug	dry	zbaʁ	z b a ʁ			干	1538	乾
2327	Japhug	the dust	rdɯl	r d ɯ l		tib[rdul]	尘土	1542	
2364	Khaling	the ear	ŋeʦo	ŋ e ʦ o			耳朵	1557	耳
2365	Limbu	the ear	nɛbhak	n ɛ bʰ a k			耳朵	1556	耳
2380	Japhug	the ear	tɯ-rna	t ɯ ◦ r n a			耳朵	1556	耳
2417	Khaling	the earth (soil)	pɵk	p ɵ k			土地	1567	土
2418	Limbu	the earth (soil)	kham	kʰ a m			土地	1564	土
2433	Japhug	the earth (soil)	tʰɤlwa	tʰ ɤ l w a		tib[thal.ba]	土地	1566	土
2470	Khaling	to eat	ʣɵ-	ʣ ɵ ◦			吃	1574	食
2471	Limbu	to eat	ca-	c a ◦			吃	1574	食
2486	Japhug	to eat	ndza	ndz a			吃	1574	食
2523	Khaling	the egg	ti	t i			鸡蛋	1578	卵
2524	Limbu	the egg	thi:mma	tʰ i: mm a			鸡蛋	1578	卵
