lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
206524				a jeʔ⁴⁴	shadow		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	520.40	3.2.10	Light or lack of light	0
201628				a mjɑuʔ⁴⁴	cannon		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	424.40	5.15	War and violence	0
203413				bi⁵⁵	comb	n	1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	459.40	1.2.2.1	Comb/Crest	0
195610				bo²²	official		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	306.40	5.8	Religion	0
205759				bõ²²	drum		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	505.40	5.1	Waste products	0
198517				bu⁵³jɑ⁵⁵tɕɑũ⁵⁵	temple		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	363.40	1.2.5.1	Forehead/Temples	0
205555	1275,1381			bɔ⁵⁵lõ⁵⁵	ball		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	501.40	9.7.1	Shape and size	0
230341				bɛ²²	which		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	987.40	10.5.3	WH words	0
182707				bɛ²²bɛʔ⁴⁴	left		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	53.40	1.5.3.2	Five	0
187042	5713			bɛ⁵⁵	duck		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	138.40	2.1.10	Fowl (i.e. Domestic Birds)	0
211318				bɑĩ⁵⁵ŋĩ⁵³	spin (yarn)		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	614.40	6.7.6	Circularly	0
199333				bɑũ⁵⁵bi²²	pants / trousers		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	379.40	5.11.8.2.1.3	Lower body	0
206065				bɑ²²tθɑ²²	language		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	511.40	5.8	Religion	0
189541				bɑ³³li²²	barley		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	187.40	3.1.4	Seeds and flowers, nuts	0
204841				bɑ̃²²	bank		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	487.40	9.10.2	Waterways/Having to do with water	0
196120				bɑ⁵³mɑ²²lu²²mjo⁵⁵	autonym (Burmese)		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	316.40	4.6	Ethnonyms/Place names	0
196375				bɑ⁵³tɕi⁵⁵	uncle (paternal, elder)		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	321.40	4.7.1	Previous generation	0
229576				do⁵³	we (inclusive)		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	972.40	4.1	Pronouns	0
208870	306,m			du⁵⁵toʔ⁴⁴	kneel		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	566.40	1.5.8.4.1	Knee-deep	0
200863				dɑ⁵⁵	knife		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	409.40	5.5	Cooking Implements	0
189592				dʑõ²²	wheat		1428	Burmese (Spoken Rangoon)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	188.40	3.1.4	Seeds and flowers, nuts	0
