OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5662	pio₅₅	p i o ₅₅	1142	Wang2006a, 586	stick	pio55	p i o ₅₅
5466	d͡zõ₂₁	d͡z õ ₂₁	221	Wang2006a, 353	worm	dzõ21	d͡z õ ₂₁
5980	ɕi₄₄	ɕ i ₄₄	645	Wang2006a, 356	louse	ɕi44	ɕ i ₄₄
5482	kɤ₃₃	k ɤ ₃₃	798	Wang2006a, 1493	old	kv33	k ɤ ₃₃
3269	t͡so₃₃	t͡s o ₃₃	956	Wang2006a, 375	root	(tso33)	t͡s o ₃₃
5485	men₃₃tʰen₃₃	m e n ₃₃ tʰ e n ₃₃	1365	Wang2006a, 1064	lukewarm	(men33tʰen33)	m e n ₃₃ tʰ e n ₃₃
5463	moŋ₃₃	m o ŋ ₃₃	727	Wang2006a, 219	mother	moŋ33	m o ŋ ₃₃
7039	xen₅₅	x e n ₅₅	1037	Wang2006a, 1	sky	xen55	x e n ₅₅
2421	sen₅₅	s e n ₅₅	738	Wang2006a, 23	mountain	sen55	s - e n ₅₅
961244	kɯ₂₁	k ɯ ₂₁	1	Wang2006a, 1502	(water flow)	kɯ21	k ɯ ₂₁
400	t͡so₄₄	t͡s o ₄₄	54	Wang2006a, 326	bird	tso44	t͡s o ₄₄
966	kʰuaŋ₃₃	kʰ u a ŋ ₃₃	163	Wang2006a, 289	dog	kʰuaŋ33	kʰ u a ŋ ₃₃
6055	t͡suan₄₂	t͡s u a n ₄₂	1321	Wang2006a, 1806	turn around	tsuan42	t͡s u a n ₄₂
3388	t͡ɕʰiu₃₃	t͡ɕʰ i u ₃₃	1076	Wang2006a, 347	snake	tɕʰiu33	t͡ɕʰ i u ₃₃
3388	t͡ɕʰiu₃₃	t͡ɕʰ i u ₃₃	1076	Wang2006a, 347	snake	tɕʰiu33	t͡ɕʰ i u ₃₃
4160	pien₅₅	p i e n ₅₅	1424	Wang2006a, 9	wind	pien55	p i e n ₅₅
7709	kʰo₄₄	kʰ o ₄₄	148	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	kʰo44	kʰ o ₄₄
3451	fi₃₃ɕen₅₅	f i ₃₃ ɕ e n ₅₅	1057	Wang2006a, 19	smoke	fi33ɕen55	f i ₃₃ ɕ e n ₅₅
6017	t͡ɕi₃₁	t͡ɕ i ₃₁	1119	Wang2006a, 1405	squeeze (for milk)	[tɕi31]	t͡ɕ i ₃₁
3455	ɕyɛ₄₄	ɕ y ɛ ₄₄	1077	Wang2006a, 12	snow	ɕyɛ44	ɕ y ɛ ₄₄
443659	xǝ₃₃	x ǝ ₃₃	382	Wang2006a, 1052	good	xǝ33	x ǝ ₃₃
5650	kuɛ₄₄	k u ɛ ₄₄	17	Wang2006a, 1053	bad (things)	kuɛ44	k u ɛ ₄₄
446278	tɛ₂₁mɛ	t ɛ ₂₁ m ɛ	420	Wang2006a, 75	hair	[tɛ21mɛ]	t ɛ - ₂₁ m ɛ -
5439	pʰia₄₂	pʰ i a ₄₂	28	Wang2006a, 1438	to bark	pʰia42	pʰ i a ₄₂
3361	t͡soŋ₃₃	t͡s o ŋ ₃₃	984	Wang2006a, 405	seed	tsoŋ33	t͡s o ŋ ₃₃
7800	pɚ̃₂₁	p ɚ̃ ₂₁	533	Wang2006a, 1160	to be ill	pɚ̃21	p ɚ̃ ₂₁
6457	pǝɯ₂₁	p ǝ ɯ ₂₁	336	Wang2006a, 1553	float	pǝɯ21	p ǝ ɯ ₂₁
509787	xen₅₅mɚ₂₁	x e n ₅₅ m ɚ ₂₁	1277	Wang2006a, 8	thunder	xen55mɚ21	x e n ₅₅ m ɚ - ₂₁
1446	fi₃₃	f i ₃₃	317	Wang2006a, 18	fire	fi33	f i ₃₃
5995	miɚ₅₅	m i ɚ ₅₅	746	Wang2006a, 687	name	miɚ55	m i ɚ ₅₅
6312	t͡sʰi₄₂	t͡sʰ i ₄₂	1199	Wang2006a, 806	ten	tsʰi42	t͡sʰ i ₄₂
6059	zǝɯ₂₁	z ǝ ɯ ₂₁	381	Wang2006a, 1345	give	zǝɯ21	z ǝ ɯ ₂₁
6041	ɕɚ̃₅₅	ɕ ɚ̃ ₅₅	1127	Wang2006a, 5	star	ɕɚ̃55	ɕ ɚ̃ ₅₅ - - -
156096	saŋ₅₅	s a ŋ ₅₅	1276	Wang2006a, 799	three	saŋ55	s a ŋ ₅₅
5951	t͡sen₅₅	t͡s e n ₅₅	784	Wang2006a, 578	needle	tsen55	t͡s e n ₅₅
950344	t͡soŋ₂₁	t͡s o ŋ ₂₁	538	Wang2006a, 149	intestine; guts	tsoŋ21	t͡s o ŋ ₂₁
6042	soŋ₅₅	s o ŋ ₅₅	362	Wang2006a, 14	frost	soŋ55	s - o ŋ ₅₅
5983	kua₄₄	k u a ₄₄	97	Wang2006a, 133	bone	kua44	k u a ₄₄ - - - -
5440	t͡sʰɛ₄₂	t͡sʰ ɛ ₄₂	1290	Wang2006a, 139	tongue	tsʰɛ42	t͡sʰ ɛ ₄₂
5639	kɯ₅₅	k ɯ ₅₅	136	Wang2006a, 1063	cold	kɯ55	k ɯ ₅₅
869106	t͡ɕen₃₃	t͡ɕ e n ₃₃	769	Wang2006a, 975	near	tɕen33	t͡ɕ e n ₃₃
340828	sɛ₄₂	s ɛ ₄₂	252	Wang2006a, 450	egg	sɛ42	s ɛ ₄₂
7004	t͡ɕʰi₄₄	t͡ɕʰ i ₄₄	999	Wang2006a, 803	seven	tɕʰi44	t͡ɕʰ i ₄₄
1333710	xoŋ₃₃	x o ŋ ₃₃	921	Wang2006a, 1007	red	[xoŋ33]	x o ŋ ₃₃
478515	kɤ₄₂	k ɤ ₄₂	624	Wang2006a, 1452	live; reside	kv42	k ɤ ₄₂
3854	d͡zǝɯ₂₁	d͡z ǝ ɯ ₂₁	1308	Wang2006a, 372	tree	dzǝɯ21	d͡z ǝ ɯ ₂₁
1533	ɕen₅₅koŋ₃₃	ɕ e n ₅₅ k o ŋ ₃₃	360	Wang2006a, 50	forest	ɕen55koŋ33	ɕ e n ₅₅ k o ŋ ₃₃
3253	koŋ₅₅	k o ŋ ₅₅	934	Wang2006a, 30	river	koŋ55	k o ŋ ₅₅
5438	t͡soŋ₂₁	t͡s o ŋ ₂₁	644	Wang2006a, 972	long	tsoŋ21	t͡s o ŋ ₂₁
5476	kaŋ₅₅	k a ŋ ₅₅	632	Wang2006a, 145	liver	kaŋ55	k a ŋ ₅₅
5503	kǝɯ₃₃	k ǝ ɯ ₃₃	1240	Wang2006a, 980	thick	kǝɯ33	k ǝ ɯ ₃₃
