OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5662	t͡ɕo₅₅	t͡ɕ o ₅₅	1141	Wang2006a, 586	stick	tɕo55	t͡ɕ o ₅₅
5466	t͡ɕiu₂₁	t͡ɕ i u ₂₁	222	Wang2006a, 353	worm	tɕiu21	t͡ɕ i u ₂₁
5980	ɕi₄₄	ɕ i ₄₄	645	Wang2006a, 356	louse	ɕi44	ɕ i ₄₄
5599	t͡suɛ₅₅	t͡s u ɛ ₅₅	970	Wang2006a, 61	salt	tsuɛ55	t͡s u ɛ - ₅₅
5482	kɤ₂₂	k ɤ ₂₂	798	Wang2006a, 1493	old	kv22	k ɤ ₂₂
3269	tɛ₄₂	t ɛ ₄₂	945	Wang2006a, 375	root	tɛ42	t ɛ ₄₂
5485	ʔuɛ̃₅₅	ʔ u ɛ̃ ₅₅	1355	Wang2006a, 1064	lukewarm	ʔuɛ̃55	ʔ u ɛ̃ ₅₅
5463	mo₂₂	m o ₂₂	717	Wang2006a, 219	mother	mo22	m o ₂₂
7039	xɛ̃₅₅	x ɛ̃ ₅₅	1038	Wang2006a, 1	sky	xɛ̃55	x ɛ̃ ₅₅
2421	sɛ₅₅	s ɛ ₅₅	728	Wang2006a, 23	mountain	sɛ55	s ɛ ₅₅
961244	kɯ₂₁	k ɯ ₂₁	1	Wang2006a, 1502	(water flow)	kɯ21	k ɯ ₂₁
400	t͡su₄₄	t͡s u ₄₄	54	Wang2006a, 326	bird	tsu44	t͡s u ₄₄
966	qʰua₂₂	qʰ u a ₂₂	163	Wang2006a, 289	dog	qʰua22	qʰ u a - ₂₂
6055	zyɛ₄₂	z y ɛ ₄₂	1322	Wang2006a, 1806	turn around	zyɛ42	z y ɛ ₄₂
3388	ʃʰɛ₂₂	ʃʰ ɛ ₂₂	1066	Wang2006a, 347	snake	ʃʰɛ22	ʃʰ ɛ ₂₂
3388	t͡sʰɛ₂₂	t͡sʰ ɛ ₂₂	1067	Wang2006a, 347	snake	tsʰɛ22	t͡sʰ ɛ ₂₂
4160	t͡ɕyi₅₅	t͡ɕ y i ₅₅	1425	Wang2006a, 9	wind	tɕyi55	t͡ɕ y i - ₅₅
7709	qʰu₄₄	qʰ u ₄₄	148	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	qʰu44	qʰ u ₄₄
3451	fi₂₂sɛ₅₅	f i ₂₂ s ɛ ₅₅	1057	Wang2006a, 19	smoke	fi22sɛ55	f i ₂₂ s ɛ - ₅₅
6017	nɛ₅₅	n ɛ ₅₅	1120	Wang2006a, 1405	squeeze (for milk)	(nɛ55)	n ɛ ₅₅
3455	suɛ₄₄	s u ɛ ₄₄	1077	Wang2006a, 12	snow	suɛ44	s u ɛ ₄₄
443659	xo₅₅	x o ₅₅	382	Wang2006a, 1052	good	xo55	x o ₅₅
5650	quɛ₄₂	q u ɛ ₄₂	17	Wang2006a, 1053	bad (things)	quɛ42	q u ɛ ₄₂
446278	ti₂₁mi₅₅	t i ₂₁ m i ₅₅	420	Wang2006a, 75	hair	[ti21mi55]	t - i ₂₁ m i ₅₅
5439	t͡ɕya₂₁	t͡ɕ y a ₂₁	29	Wang2006a, 1438	to bark	tɕya21	t͡ɕ y a ₂₁
3361	t͡ɕu₂₂	t͡ɕ u ₂₂	985	Wang2006a, 405	seed	tɕu22	t͡ɕ u ₂₂
7800	su₄₂	s u ₄₂	534	Wang2006a, 1160	to be ill	(su42)	s u ₄₂
6457	pɯ₂₁	p ɯ ₂₁	330	Wang2006a, 1553	float	pɯ21	p ɯ ₂₁
509787	xẽ₅₅ma₂₁	x ẽ ₅₅ m a ₂₁	1277	Wang2006a, 8	thunder	xẽ55ma21	x ẽ - ₅₅ m a - ₂₁
1446	fi₂₂	f i ₂₂	317	Wang2006a, 18	fire	fi22	f i ₂₂
5995	ɲya₅₅	ɲ y a ₅₅	747	Wang2006a, 687	name	ɲya55	ɲ y a ₅₅
6312	t͡sɛ₄₂	t͡s ɛ ₄₂	1199	Wang2006a, 806	ten	tsɛ42	t͡s ɛ ₄₂
6059	zi₄₂	z i ₄₂	375	Wang2006a, 1345	give	zi42	z i ₄₂
6041	ɕia₅₅	ɕ i a ₅₅	1124	Wang2006a, 5	star	ɕia55	ɕ i a ₅₅ - - -
156096	so₅₅	s o ₅₅	1272	Wang2006a, 799	three	so55	s o ₅₅
5951	t͡sẽ₅₅	t͡s ẽ ₅₅	780	Wang2006a, 578	needle	tsẽ55	t͡s ẽ ₅₅
950344	tʣɨɯ₂₁	t ʣ ɨ ɯ ₂₁	539	Wang2006a, 149	intestine; guts	tʣɨɯ21	t ʣ ɨ ɯ ₂₁
6042	ɕuoŋ₅₅	ɕ u o ŋ ₅₅	362	Wang2006a, 14	frost	ɕuoŋ55	ɕ u o ŋ ₅₅
5983	qua₄₄	q u a ₄₄	97	Wang2006a, 133	bone	qua44	q u a ₄₄ - - - -
5440	ti₂₁	t i ₂₁	1290	Wang2006a, 139	tongue	ti21	t i ₂₁
5639	kɯ₅₅	k ɯ ₅₅	136	Wang2006a, 1063	cold	kɯ55	k ɯ ₅₅
869106	t͡sʰo₅₅	t͡sʰ o ₅₅	759	Wang2006a, 975	near	(tsʰo55)	t͡sʰ o ₅₅
340828	sɛ₄₂	s ɛ ₄₂	252	Wang2006a, 450	egg	sɛ42	s ɛ ₄₂
7004	t͡sʰi₄₄	t͡sʰ i ₄₄	999	Wang2006a, 803	seven	tsʰi44	t͡sʰ i ₄₄
1333710	t͡ɕʰa₄₄	t͡ɕʰ a ₄₄	910	Wang2006a, 1007	red	tɕʰa44	t͡ɕʰ a ₄₄
478515	kɤ₄₂	k ɤ ₄₂	624	Wang2006a, 1452	live; reside	kv42	k ɤ ₄₂
3854	d͡ʑi₄₂	d͡ʑ i ₄₂	1306	Wang2006a, 372	tree	dʑi42	d͡ʑ i ₄₂
1533	d͡ʑi₄₂kɯ₄₂	d͡ʑ i ₄₂ k ɯ ₄₂	355	Wang2006a, 50	forest	dʑi42kɯ42	d͡ʑ i ₄₂ k ɯ ₄₂
3253	qu₅₅	q u ₅₅	930	Wang2006a, 30	river	qu55/tɕo21	q u ₅₅
5438	t͡ɕu₂₁	t͡ɕ u ₂₁	640	Wang2006a, 972	long	tɕu21	t͡ɕ u ₂₁
5476	qo₅₅	q o ₅₅	628	Wang2006a, 145	liver	qo55	q o ₅₅
1499731	la₅₅t͡ɕo₄₄t͡ɕo₄₄pʰo₅₅	l a ₅₅ t͡ɕ o ₄₄ t͡ɕ o ₄₄ pʰ o ₅₅	593	Wang2006a, 710	left	(la55tɕo44tɕo44pʰo55)	l a ₅₅ t͡ɕ o ₄₄ t͡ɕ o ₄₄ pʰ o ₅₅
5502	qʰua₄₄	qʰ u a ₄₄	1418	Wang2006a, 966	wide	qʰua44	qʰ u a ₄₄
5502	qʰua₄₄	qʰ u a ₄₄	1418	Wang2006a, 976	wide	qʰua44	qʰ u a ₄₄
6030	so₅₅qa₂₁	s o ₅₅ q a ₂₁	313	Wang2006a, 1234	fight	(so55qa21)	s o ₅₅ q a ₂₁
4165	ɲyi₂₂	ɲ y i ₂₂	1442	Wang2006a, 174	woman	ɲyi22	ɲ y i ₂₂
5992	pa₄₂	p a ₄₂	108	Wang2006a, 94	breasts	pa42	p a ₄₂
