OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5662	pio₂₄	p i o ₂₄	1142	Wang2006a, 586	stick	(pio24)	p i o ₂₄
5466	t͡ɕio₂₁	t͡ɕ i o ₂₁	222	Wang2006a, 353	worm	tɕio21	t͡ɕ i o ₂₁
5980	ɕi₅₅	ɕ i ₅₅	645	Wang2006a, 356	louse	ɕi55	ɕ i ₅₅
5599	t͡suɛ₂₄	t͡s u ɛ ₂₄	970	Wang2006a, 61	salt	tsuE24	t͡s u ɛ - ₂₄
5482	ku₂₂	k u ₂₂	798	Wang2006a, 1493	old	ku22	k u ₂₂
3269	tɛ₅₅	t ɛ ₅₅	945	Wang2006a, 375	root	tE55	t ɛ ₅₅
5485	ʔuɛ₂₄	ʔ u ɛ ₂₄	1355	Wang2006a, 1064	lukewarm	ʔuE24	ʔ u ɛ ₂₄
5463	mo₂₂	m o ₂₂	717	Wang2006a, 219	mother	mo22	m o ₂₂
7039	xɛ₂₄	x ɛ ₂₄	1038	Wang2006a, 1	sky	xE24	x ɛ ₂₄
961244	kɯ₂₁	k ɯ ₂₁	1	Wang2006a, 1502	(water flow)	kɯ21	k ɯ ₂₁
400	t͡su₅₅	t͡s u ₅₅	54	Wang2006a, 326	bird	tsu55	t͡s u ₅₅
966	qʰua₂₂	qʰ u a ₂₂	163	Wang2006a, 289	dog	qʰua22	qʰ u a - ₂₂
6055	t͡ɕyɛ₄₃	t͡ɕ y ɛ ₄₃	1322	Wang2006a, 1806	turn around	tɕyE43	t͡ɕ y ɛ ₄₃
3388	t͡sʰɿ₂₂	t͡sʰ ɿ ₂₂	1067	Wang2006a, 347	snake	tsʰɿ22	t͡sʰ ɿ ₂₂
3388	t͡sʰɿ₂₂	t͡sʰ ɿ ₂₂	1067	Wang2006a, 347	snake	tsʰɿ22	t͡sʰ ɿ ₂₂
4160	t͡suɛ₂₄	t͡s u ɛ ₂₄	1425	Wang2006a, 9	wind	tsuE24	t͡s u ɛ - ₂₄
7709	qʰu₅₅	qʰ u ₅₅	148	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	qʰu55	qʰ u ₅₅
3451	xui₂₂si₂₄	x u i ₂₂ s i ₂₄	1058	Wang2006a, 19	smoke	xui22si24	x u i ₂₂ s i ₂₄
6017	t͡suɛ₅₅	t͡s u ɛ ₅₅	1121	Wang2006a, 1405	squeeze (for milk)	tsuE55	t͡s u ɛ ₅₅
