OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5662	pio₅₅	p i o ₅₅	1142	Wang2006a, 586	stick	pio55	p i o ₅₅
5466	t͡sɤ̃₂₁	t͡s ɤ̃ ₂₁	221	Wang2006a, 353	worm	tsṽ21	t͡s ɤ̃ ₂₁
5980	ɕi₄₄	ɕ i ₄₄	645	Wang2006a, 356	louse	ɕi44	ɕ i ₄₄
5599	pien₅₅	p i e n ₅₅	969	Wang2006a, 61	salt	pien55	p i e n ₅₅
5482	ku₃₃	k u ₃₃	798	Wang2006a, 1493	old	ku33	k u ₃₃
3269	te₄₄	t e ₄₄	945	Wang2006a, 375	root	te44	t e ₄₄
5485	ʔuen₅₅	ʔ u e n ₅₅	1354	Wang2006a, 1064	lukewarm	ʔuen55	ʔ u e n ₅₅
5463	mõ₃₃	m õ ₃₃	717	Wang2006a, 219	mother	mõ33	m õ ₃₃
7039	xen₅₅	x e n ₅₅	1037	Wang2006a, 1	sky	xen55	x e n ₅₅
2421	sɤ̃₄₂	s ɤ̃ ₄₂	728	Wang2006a, 23	mountain	sṽ42	s ɤ̃ ₄₂
961244	kɯ₂₁	k ɯ ₂₁	1	Wang2006a, 1502	(water flow)	kɯ21	k ɯ ₂₁
400	t͡sou₄₄	t͡s o u ₄₄	53	Wang2006a, 326	bird	tsou44	t͡s o u ₄₄
6055	t͡suen₄₂	t͡s u e n ₄₂	1321	Wang2006a, 1806	turn around	tsuen42	t͡s u e n ₄₂
3388	kʰɤ₃₃	kʰ ɤ ₃₃	1065	Wang2006a, 347	snake	kʰv33	kʰ ɤ ₃₃
4160	pi₅₅	p i ₅₅	1429	Wang2006a, 9	wind	pi55	p i ₅₅
7709	kʰou₄₄	kʰ o u ₄₄	153	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	kʰou44	kʰ o u ₄₄
3451	xui₃₃ɕien₅₅	x u i ₃₃ ɕ i e n ₅₅	1056	Wang2006a, 19	smoke	xui33ɕien55	x u i ₃₃ ɕ i e n ₅₅
6017	t͡sui₄₄	t͡s u i ₄₄	1121	Wang2006a, 1405	squeeze (for milk)	tsui44	t͡s u i ₄₄
3455	sui₄₄	s u i ₄₄	1077	Wang2006a, 12	snow	sui44	s u i ₄₄
443659	xu₃₃	x u ₃₃	382	Wang2006a, 1052	good	xu33	x u ₃₃
5650	kua₄₄	k u a ₄₄	17	Wang2006a, 1053	bad (things)	kua44	k u a ₄₄
446278	ɕɔ₄₄	ɕ ɔ ₄₄	411	Wang2006a, 75	hair	ɕɔ44	ɕ ɔ ₄₄
5439	pio₄₂	p i o ₄₂	28	Wang2006a, 1438	to bark	pio42	p i o ₄₂
3361	t͡sɤ̃₃₃	t͡s ɤ̃ ₃₃	985	Wang2006a, 405	seed	tsṽ33	t͡s ɤ̃ ₃₃
7800	pan₃₁	p a n ₃₁	537	Wang2006a, 1160	to be ill	pan31	p a n ₃₁
6457	pɯ₂₁	p ɯ ₂₁	330	Wang2006a, 1553	float	pɯ21	p ɯ ₂₁
509787	xen₅₅man₂₁	x e n ₅₅ m a n ₂₁	1277	Wang2006a, 8	thunder	xen55man21	x e n ₅₅ m a n ₂₁
