rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
122909	hyms-	boiled, cooked, soft	be v.	BM-Bah	299	Bahing	
121683	lett-	suffice		BM-Bah	299	Bahing	
121713	py	pot		BM-Bah	299	Bahing	
121702	sɔk-	leak or filter through a medium, disappear underground (of a stream), come up through the nose (of drink)		BM-Bah	299	Bahing	
121673	-i	also		BM-Bah	299	Bahing	
121674	i-	your	pron	BM-Bah	299	Bahing	
121676	isi	your (du)	pron	BM-Bah	299	Bahing	
121677	iːke	your (pl)	pron	BM-Bah	299	Bahing	
121678	ikitsi	a little	adv df.	BM-Bah	299	Bahing	
121679	ike, eke	here	adv	BM-Bah	299	Bahing	
121680	ikhœ	thus	adv	BM-Bah	299	Bahing	
121681	intsitsi	a little	adv df.	BM-Bah	299	Bahing	
121682	ip-	sleep	v	BM-Bah	299	Bahing	
121684	estsi	mowra-fat tree	n	BM-Bah	299	Bahing	
121685	ɛkhala	this way, here	adv	BM-Bah	299	Bahing	
121686	ɛp-	wear out, wear away, rust	v	BM-Bah	299	Bahing	
121687	ɛm	this, he, she	demon	BM-Bah	299	Bahing	
121688	ɛmdɔ	these	demon	BM-Bah	299	Bahing	
121689	aĩse	I don't know, who knows?	demon	BM-Bah	299	Bahing	
121690	akatsi	little	adv df.	BM-Bah	299	Bahing	
121691	akare	here, towards here	adv	BM-Bah	299	Bahing	
121692	aːtsa	small	adj	BM-Bah	299	Bahing	
121693	adze	truth	n	BM-Bah	299	Bahing	
121694	ana	today	adv	BM-Bah	299	Bahing	
121695	anama	later (in the day)	adv	BM-Bah	299	Bahing	
121696	ana-i	again	adv	BM-Bah	299	Bahing	
121697	ana mɔltse	this year	adv	BM-Bah	299	Bahing	
121698	ap-	shoot, throw a projectile	vt	BM-Bah	299	Bahing	
121699	apha	someone else, another	n	BM-Bah	299	Bahing	
121700	am	he, she	pron v.	BM-Bah	299	Bahing	
121701	amdɔ	they (pl)	pron	BM-Bah	299	Bahing	
121703	amtsam	he [ERGATIVE]	pron	BM-Bah	299	Bahing	
121704	al-	pry up	vt	BM-Bah	299	Bahing	
121705	ɔbara	mango	n	BM-Bah	299	Bahing	
121706	ɔm-ɔm	yellow	n	BM-Bah	299	Bahing	
121707	œn-	run	v	BM-Bah	299	Bahing	
121708	om-	yellow (of plants)	v	BM-Bah	299	Bahing	
121709	œrœ seola	plant, Colebrookia oppositifolia	n df.	BM-Bah	299	Bahing	
121710	ol-	starch thread for weaving, mix flour and water to make glue	v	BM-Bah	299	Bahing	
121711	øis-	start, be about to	v	BM-Bah	299	Bahing	
121712	øk-	peel (with the hands), shell, skin	vt	BM-Bah	299	Bahing	
121714	oŋ-	climb, enter	v	BM-Bah	299	Bahing	
121715	ut-	fall, fell (e.g. of a tree)	vt	BM-Bah	299	Bahing	
