OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	t͡ɕi₂₁t͡ɕɛ₅₅t͡sɤ₂₁	t͡ɕ i ₂₁ t͡ɕ ɛ ₅₅ t͡s ɤ ₂₁	224	Allen2007, 81	earthworm / 蚯蚓	tɕi21tɕɛ55tsɤ21	t͡ɕ i ₂₁ t͡ɕ ɛ ₅₅ t͡s ɤ - ₂₁
7027	so₅₅jo₄₄t͡ɕi₃₁	s o ₅₅ j o ₄₄ t͡ɕ i ₃₁	1382	Allen2007, 18	wet / 水田	so55jo44tɕi31	s o ₅₅ j o ₄₄ t͡ɕ i ₃₁
7027	xɛ̃₅₅	x ɛ̃ ₅₅	1383	Allen2007, 420	wet / 湿	xɛ̃55	x ɛ̃ ₅₅
5980	ɕi₄₄	ɕ i ₄₄	645	Allen2007, 78	louse / 虱子	ɕi44	ɕ i ₄₄
5599	pĩ₅₅	p ĩ ₅₅	972	Allen2007, 200	salt / 盐	pĩ55	p ĩ ₅₅
5482	ku₃₃	k u ₃₃	798	Allen2007, 415	old / 老	ku33	k u ₃₃
5429	vɤ₃₃jĩ₂₁	v ɤ ₃₃ j ĩ ₂₁	1419	Allen2007, 164	wife / 妻子	vɤ33jĩ21	v ɤ ₃₃ j ĩ ₂₁
336072	ta₂₁	t a ₂₁	1135	Allen2007, 343	steal / 偷	ta21	t a ₂₁
3269	mi₄₄	m i ₄₄	948	Allen2007, 115	root / 根	mi44	m i ₄₄
5485	wẽ₅₅ɤɤ₄₄	w ẽ ₅₅ ɤɤ ₄₄	1357	Allen2007, 435	warm / 暖和	wẽ55vɤ44	w ẽ ₅₅ ɤɤ ₄₄
496633	sɤ̃₃₁	s ɤ̃ ₃₁	836	Allen2007, 445	painful / 痛	sɤ̃31	s ɤ̃ ₃₁
5463	a₃₁mo₃₃	a ₃₁ m o ₃₃	719	Allen2007, 163	mother / 母亲	a31mo33	a ₃₁ m o ₃₃
7039	xẽ₅₅	x ẽ ₅₅	1038	Allen2007, 1	sky / 天	xẽ55	x ẽ ₅₅
2421	sɤ₄₂	s ɤ ₄₂	728	Allen2007, 22	mountain / 山	sɤ42	s ɤ ₄₂
522875	ŋɛ₂₁	ŋ ɛ ₂₁	1012	Allen2007, 117	shoot,sprout / 芽	ŋɛ21	ŋ ɛ ₂₁
400	t͡sou₄₄t͡sɿ₃₃	t͡s o u ₄₄ t͡s ɿ ₃₃	58	Allen2007, 61	bird / 鸟	tsou44tsɿ33	t͡s o u ₄₄ t͡s ɿ ₃₃
6280	kou₃₃	k o u ₃₃	366	Allen2007, 119	fruit / 果	kou33	k o u ₃₃
6025	kɛ̃₅₅	k ɛ̃ ₅₅	301	Allen2007, 347	fear / 怕	kɛ̃55	k ɛ̃ ₅₅
966	kʰũã₃₃	kʰ ũ ã ₃₃	163	Allen2007, 50	dog / 狗	kʰũã33	kʰ ũ ã - ₃₃
5528	jĩ₃₃kʰɤ₅₅	j ĩ ₃₃ kʰ ɤ ₅₅	1435	Allen2007, 85	wing(bird) / 翅膀	jĩ33kʰɤ55	j ĩ ₃₃ kʰ ɤ - ₅₅
3388	kʰɤ₃₃	kʰ ɤ ₃₃	1065	Allen2007, 70	snake / 蛇	kʰɤ33	kʰ ɤ ₃₃
