NUMBER	GLOSS	SEMANTIC TAG	STATUS	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	to bite	action	OLD	bite (verb)
2	to buy	action	OLD	buy (verb)
3	to chew	action	OLD	chew (verb)
4	to come	action	OLD	come (verb)
5	to cook	action	OLD	cook / boil (verb)
6	to count	action	OLD	count (numbers) (verb)
7	to cry (weep)	action	OLD	cry (verb)
8	to cut	action	OLD	cut (meat) (verb)
9	to dig	action	OLD	dig / scoop out (verb)
10	to drink	action	OLD	drink (verb)
11	to eat	action	OLD	eat
12	to fight	action	OLD	fight (verb)
13	to fly (move through air)	action	OLD	fly (verb)
14	to give	action	OLD	give (verb)
15	to hear	action	OLD	hear (verb)
16	to hide (conceal)	action	OLD	hide (sthg.)
17	to hold	action	OLD	hold (a pen) (verb)
18	to hunt	action	OLD	hunt
19	to kill	action	OLD	kill (verb)
20	to know	action	OLD	familiar with, be / know sthg. o (verb)
21	to laugh	action	OLD	laugh / smile (verb)
22	to lick	action	OLD	lick / lap (verb)
23	to lie down	action	OLD	lie down (verb)
24	to open	action	OLD	open (verb)
25	to plant	action	OLD	plant (trees) (verb)
26	to play	action	OLD	play / amuse oneself (verb)
27	to pull	action	OLD	pull / tug (verb)
28	to push	action	OLD	push / shove (verb)
29	to reside (live)	action	OLD	live / reside (verb)
30	to scratch	action	OLD	scratch (an itch) (verb)
31	to see	action	OLD	see ( a doctor) (verb)
32	to shoot (an arrow)	action	OLD	shoot (an arrow) (verb)
33	to sing	action	OLD	sing
34	to sleep	action	OLD	sleep (verb)
35	to smell (perceive odor) [transitive]	action	OLD	smell (verb)
36	to spit	action	OLD	spit (verb)
37	to stand	action	OLD	stand (verb)
38	to steal	action	OLD	steal (verb)
39	to think (reflect)	action	OLD	think (verb)
40	to throw	action	OLD	throw / hurl (verb)
41	to vomit	action	OLD	throw up / vomit (verb)
42	to walk	action	OLD	walk (verb)
43	to wash	action	OLD	wash (clothes) (verb)
44	to wipe	action	OLD	wipe (the table)
45	knead	action	NEW	knead (dough) (verb)
46	marry (a man marries a woman)	action	NEW	marry (a woman) (verb)
47	forget	action	NEW	forget (verb)
48	learn	action	NEW	learn (verb)
49	run	action	NEW	run (verb)
50	swallow	action	NEW	swallow (verb)
51	the bird	animal	OLD	bird (noun)
52	the fish	animal	OLD	fish (noun)
53	the louse	animal	OLD	louse (noun)
54	the mosquito	animal	OLD	mosquito (noun)
55	the mouse or rat	animal	OLD	mouse (noun)
56	the snake	animal	OLD	snake (noun)
57	the spider	animal	OLD	spider (noun)
58	the worm	animal	OLD	insect / worm (noun)
59	the ant	animal	NEW	ant (noun)
60	the bedbug	animal	NEW	bedbug (noun)
61	the crow	animal	NEW	crow (noun)
62	the earthworm	animal	NEW	earthworm (noun)
63	the goose	animal	NEW	goose (wild) (noun)
64	the monkey	animal	NEW	monkey (noun)
65	the pig	animal	NEW	pig (noun)
66	the rabbit	animal	NEW	rabbit (noun)
67	the bull	animal	NEW	bull (noun)
68	the cat	animal	NEW	cat (noun)
69	the frog	animal	NEW	frog (noun)
70	the goat	animal	NEW	goat (noun)
71	the sheep	animal	NEW	sheep (noun)
72	the sparrow	animal	NEW	sparrow (noun)
73	the tiger	animal	NEW	tiger (noun)
