ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	above			
2	all	371	all	1
3	the ant	129	ant	3
4	the armpit	170	armpit	
5	bad	435	to be bad	3
6	the bamboo	60	bamboo plant	
7	the barley (tibetan or highland)			
8	to be alive			
9	the belly	163	belly	3
10	below, under			
11	big	375	to be big	3
12	the bird	107	bird	3
13	to bite	97	to bite	1
14	black	398	black	1
15	the blood	187	blood	3
16	to blow (of wind)	274	to blow	2
17	the body hair (hair or fur)	144	hair (body)		
18	the bone	180	bone	3
19	the branch	44	branch	3
20	the breast (female)			
21	to burn [intransitive]	243	to burn something	!	
22	to buy	351	to buy	1
23	to chew			
24	the child (young human)	198	child	3
25	the cloud	5	cloud	3
26	cold (of temperature)	from old lists	cold (person feels cold)	2
27	to come	313	to come	1
28	correct (right)	436	to be correct	3
29	to count	293	to count	1
30	to cry (weep)	260	to weep	
31	dark	406	to be dark	3
32	the daughter			
33	the dew			
34	to die	305	to die	1
35	to dig	342	to dig	1
36	dirty	403	to be dirty	3
37	the dog	95	dog	3
38	the dream	298	to dream	3
39	to drink	266	to drink	1
40	dry	415	to be dry	3
41	the dust	33	dust	3
42	the ear	151	ear	3
43	early			
44	the earth (soil)	31	soil (earth)	
45	the earthworm	139	earth worm	
46	to eat	261	to eat	1
47	the egg	113	egg	3
48	eight	364	eight	1
49	the eye	147	eye	3
50	far	394	to be far	3
51	the father	195	father	3
52	the feather	111	feather	3
53	to fight	350	to fight	1
54	the fire	242	fire	3
55	firewood	241	firewood	1
56	the fish	116	fish	3
57	five	361	five	1
58	the flea			
59	to float	326	to float	1
60	to flow	328	to flow	1
61	the flower	49	flower	3
62	to fly (move through air)	112	to fly	3
63	the fog	6	mist, fog	3
64	the foot	174	foot	3
65	the forest	42	forest	3
66	to forget	287	to forget	1
67	four	360	four	1
68	the fox			
69	the frog	123	frog	3
70	the front (front side)			
71	the frost			
72	the fruit	50	fruit	3
73	full	390	to be full	3			
74	to give	329	to give	1
75	the goat			
76	good	434	to be good	3
77	the grass	52	grass	3
78	green	401	green	1
79	the hail			
80	the hair (of the head)	143	hair (head)	3
81	the hand	168	arm	
82	hard	421	to be hard	3
83	he or she [third person singular]	446	he, she	2
84	the head	140	head	3
85	to hear	254	to hear	1
86	the heart	165	heart	3
87	heavy	419	to be heavy	3
88	here			
89	to hide (conceal)	356	to hide(self)	2
90	high / tall	379	to be tall	3
91	to hold			
92	the hoof		
93	horizontal			
94	the horn (keratinized skin)	103	horn (buffalo)	3
95	the horse						
96	hot	23	to be hot (water)	3		
97	the house	217	house	3
98	hundred	368	hundred	1
99	to hunt	348	to hunt	1
100	the husband	201	husbanc	
101	I [first person singular]	444	I	2
102	the ice			
103	inside			
104	to kill	349	to kill	1
105	to knead			
106	the knee	176	knee	3
107	knife	253	knife	1
108	to know (something)	286	to know	2
109	the lake			
110	late			
111	to laugh	279	to laugh	1
112	the leaf	48	leaf	3
113	to learn			
114	left	392	left side	
115	to lick	277	to lick	1
116	to lie down			
117	light (of weight)	420	to be light	3
118	the lip (the lips)			
119	the liver	166	liver	3
120	long	377	to be long	3
121	the louse	127	louse (head)	3
122	the lung			
123	the man (male human)	192	man	3
124	many	370	to be many	3
125	to marry (a man marries a woman)			
126	the meat	184	meat, flesh	10
127	middle			
128	the moon	3	moon	3
129	morning	15	morning	1
130	the mosquito	132	mosquito	3
131	the mother	196	mother	3
132	the mountain	40	mountain	3
133	the mouse or rat	94	rat	3
134	the mouth	152	mouth	3
135	the mud	32	mud	3
136	the nail (fingernail or claw)	173	finger nail	
137	the name	213	name	3
138	narrow	386	to be narrow	3
139	near	395	to be near	3
140	the neck	160	neck	3
141	the needle (for sewing)	233	needle	3
142	new	404	to be new	3
143	nine	365	nine	1
144	the nit			
145	noon	16	noon	1
146	the nose	149	nose	3			
147	old (of person)	197	to be old (person)	3
148	one	357	one	1
149	the otter	122	otter	3
150	outside			
151	the pig	99	pig	3
