rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
441428	ɗuʔ	want, crave, lack		KVB-PKC	1920	*Chin	116
441400	yaŋ	penis / stinger (of bee)		KVB-PKC	1920	*Chin	1224
441396	tshuu	vagina		KVB-PKC	1920	*Chin	609
441417	luu ⪤ luuk	copulate		KVB-PKC	1920	*Chin	1003
500032	ɓaan	ARM		KVB-PKC	1920	*Chin	1
500033	ɓeel-I, ɓelʔ-II	ATTACH / ADHERE / APPEND		KVB-PKC	1920	*Chin	2
500034	ɓan-|hlaa	BANANA		KVB-PKC	1920	*Chin	3
500035	ɓoŋ ⪤ ɓuŋ	BANYAN		KVB-PKC	1920	*Chin	4
500036	ɓuuk ⪤ ɓook	BARN / BOOTH / HUT		KVB-PKC	1920	*Chin	5
500037	ɓaak	BAT		KVB-PKC	1920	*Chin	6
500038	ɓee	BEAN / PEA		KVB-PKC	1920	*Chin	7
500039	ɓil	BLUNT		KVB-PKC	1920	*Chin	8
500040	ɓut-|I, ɓuʔ-|II	BOIL (v.)		KVB-PKC	1920	*Chin	9
500041	ɓok-ɓoon ⪤ ɓuk-ɓu	BRINJAL / EGGPLANT		KVB-PKC	1920	*Chin	10
500042	ɓaw	BUMP / SWELL		KVB-PKC	1920	*Chin	11
500043	ɓor	BUNCH (flower)		KVB-PKC	1920	*Chin	12
500044	ɓuay	BUSY / BUSTLE / CONFUSED / DISTURB		KVB-PKC	1920	*Chin	13
500045	ɓum	CHEAT / LIE / BEWITCH		KVB-PKC	1920	*Chin	14
500046	ɓiaŋ	CHEEK		KVB-PKC	1920	*Chin	15
500047	ɓeel	CHEEK		KVB-PKC	1920	*Chin	16
500048	ɓooy	CHIEF / MASTER		KVB-PKC	1920	*Chin	17
500049	ka- ⪤ kha-ɓee|	CHIN		KVB-PKC	1920	*Chin	18
500052	ɓoom	CONTAINER / BOX / BASKET		KVB-PKC	1920	*Chin	21
500054	ɓuy⪤ wuy	ELEPHANT		KVB-PKC	1920	*Chin	23
500055	ɓaŋ-I, ɓaŋʔ-II	EQUAL / RESEMBLE / SIMILAR		KVB-PKC	1920	*Chin	24
500056	ɓay	EXERT / ATTEMPT		KVB-PKC	1920	*Chin	25
500057	ɓay-say	EXPECT / HOPE		KVB-PKC	1920	*Chin	26
500058	ɓaar	FEED (using palm of hand)		KVB-PKC	1920	*Chin	27
500059	ɓil	FOLD		KVB-PKC	1920	*Chin	28
500060	ɓat-I, ɓaʔ-II	HANG / HANG UP		KVB-PKC	1920	*Chin	29
500061	ɓuum ⪤ puum	HEAP / COLLECT		KVB-PKC	1920	*Chin	30
500062	ɓoom	HELP / ASSIST		KVB-PKC	1920	*Chin	31
500064	ɓa(a)y ⪤ pa(a)y	LAME / LIMP / HALTING (speech)		KVB-PKC	1920	*Chin	33
500065	ɓok-I, ɓoʔ-II	LIE (face down) / PROSTRATE		KVB-PKC	1920	*Chin	34
500066	ɓul	MAIMED		KVB-PKC	1920	*Chin	35
500067	ɓuy ⪤ puy	MOUSE / RAT (bamboo) / MOLE		KVB-PKC	1920	*Chin	36
500068	ɓuan	MUD / FOAM		KVB-PKC	1920	*Chin	37
500069	ɓuu	NEST / DEN		KVB-PKC	1920	*Chin	38
500070	ɓaa-I, ɓat-II	OWE / BORROW		KVB-PKC	1920	*Chin	39
500071	ɓot-I, ɓoʔ-II	PLUCK / PULL OUT / UPROOT		KVB-PKC	1920	*Chin	40
500072	ɓeel	POT / UTENSIL / CAULDRON		KVB-PKC	1920	*Chin	41
500073	ɓuŋ-I, ɓuŋʔ-II; ɓun-I, ɓut-II	POUR OUT / EMPTY OUT		KVB-PKC	1920	*Chin	42
500074	ɓaan	REACH		KVB-PKC	1920	*Chin	43
500075	ɓuʔ	RICE (cooked)		KVB-PKC	1920	*Chin	44
500076	ɓial	ROUND / CIRCLE		KVB-PKC	1920	*Chin	45
500077	ɓeeŋ-I, ɓeŋʔ ⪤ ɓen-II	SLAP		KVB-PKC	1920	*Chin	46
500078	ɓoo ⪤ poo	SPERM / SEMEN		KVB-PKC	1920	*Chin	47
500079	ɓul	STUMP / BASE		KVB-PKC	1920	*Chin	48
500080	ɓia-|I, ɓiak-|II	TALK TO / WORSHIP		KVB-PKC	1920	*Chin	49
500081	ɓaal	TARO / ARUM		KVB-PKC	1920	*Chin	50
500084	ɓaa	TIRED / EXHAUSTED		KVB-PKC	1920	*Chin	53
500085	ɓaaŋ	TIRED / EXHAUSTED		KVB-PKC	1920	*Chin	54
