ID	ENGLISH
443230	sweep
445256	cost, price
444097	trap, mesh, tangle
442005	separate, debar
444788	long
447322	stray, wander
445264	curry, dish
446982	recuperate, revive, regain strengh
445809	hornet (ground bees)
441940	healthy, well
447019	before, ancient time
444566	firm, be strong
446399	suitable, congruous, proper
444007	open (mouth)
444676	ahead, first
446198	quick, fast
442677	weave
446725	pick fruit, pluck
447609	spread, hang things in the sun
443986	locative marker (in, to, on, etc)
446387	spirit
443458	layers
442436	endure, suffer, tolerate
445379	person, man, mankind, people
445495	ashamed, be shy, be modest
444110	wilt, shrivel, wither
441549	boil, to heat (in water)
447735	mud, clay
443509	scatter, sprinkle
445180	woo, court
445990	kiss
447112	throw, discard
444646	suck (e.g. sugar cane)
444139	blind
444669	wrap, pack
444444	generation, era
442530	nail
443189	reveal, proclaim
446260	intestines, bowels, entrails
447522	early morning
447618	smoke (as cigar)
447033	secret exit (of a mouse or a rat), backdoor
447662	slip out, fall (e.g. food out of table)
443193	pull away (as support from underneath), to cut off (as a water source
445403	quail
441971	love, care
443449	comprehend, know, understand, hear
444104	vegetables, edible plants
442775	carry (in the hand), bring along
441981	oppose, to fight
445093	juice, curry
445605	murder
444777	lead (metal)
446688	lift, raise, turn up
447705	few, little (amount)
444185	dry, become hard
442558	participate, join, take part
444701	build, connect
441594	chin
442779	chin
443529	sinew, strength
445763	fair skin, white
445116	peel off, skin, strip off, unroof
446570	donkey, ass, mule
446269	land, country, forest
446836	roll about (on the floor), wallow (in the mud)
443862	crab
442063	any, every
445561	female
446068	urge, stimulate
445076	haunted (by spririts), dangerous
447670	arrive, return (home)
447559	pointed, sharp
443350	deep
445581	belle, unmarried woman
445826	belle, unmarried woman
445185	yawn
446617	flow
442067	assemble, gather, put together
444415	cook
444055	stack of firewood
442684	win, overcome
446039	sniff, to smell
442445	erect, post, stand up (a post)
442118	body, stomach
444474	owl
442458	fireplace, hearth
446449	bier, stretcher
444575	grain, clf. for seed, unit (for money)
443113	carry (things on the back)
443130	erect, post
447487	jump, bounce, fly
447474	intensify, increase, worsen (as in sickness)
445890	mouth, beak, lip, tip (e.g. of a pen)
446873	avoid, shun
446866	yard (measurement: one fingertip from the other)
447336	times (Clf.)
311403	testicle
445911	ripe, well cooked
441402	penis; stinger (of bee)
446535	dance
442820	gate
