ID	DOCULECT	CONCEPT	CONCEPTID	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	RGEN	TOKENS	IPA
82	Rongpo	the flower	90	239	377	bloom	547277	ph uː l	phu:l-
83	Rongpo	the fog	91	249	16	mist	546877	k u iː ɽ	kui:R
84	Rongpo	the foot	92	1301	103	foot	547112	n aː r	na:r
85	Rongpo	the forest	93	420	50	forest	546336	b ɔ ɳ	bɔN
86	Rongpo	the forest	93	420	50	forest	546788	j ə ŋ ə l	jəŋəl
87	Rongpo	the frog	95	503	349	frog	547086	m y ə n k ɔ	myənkɔ
88	Rongpo	the front (front side)	96	2194	712	front, before	547171	nh ə m c aː r	nhəmca:r, nhanca:r, nhica:r
89	Rongpo	the frost	97	2034	14	frost	547198	p aː w ɔ	pa:wɔ
90	Rongpo	the fruit	98	1507	378	fruit	547296	ph ə l	phəl
91	Rongpo	the grass	100	606	436	grass	546431	c i	ci
92	Rongpo	the hail	101	609	13	hail	546636	ɖh aː n o	Dha:no
93	Rongpo	the hair (of the head)	102	1040	75	anything	546909	kh e b i	khebi
94	Rongpo	the hand	103	1277	107	hand	546986	l a g	lag
95	Rongpo	the head	104	1256	74	head	547234	p u s u	pusu
96	Rongpo	the head	104	1256	74	head	547383	s iː r	si:r
97	Rongpo	the heart	105	1223	144	heart	546542	d i l	dil
98	Rongpo	the heart	105	1223	144	heart	547443	ʃ u a ʃ a	ʃuaʃa
99	Rongpo	the horn (keratinized skin)	107	1393	263	horn	547454	ʃ uː ɳ i	ʃu:Ni
100	Rongpo	the horse	108	615	268	horse	546716	gh u aː ɽ a	ghua:Ra
101	Rongpo	the house	109	1252	494	house	546864	k i m	kim
102	Rongpo	the husband	110	1200	247	husband	546956	kh y ə w a	khyəwa, khyɔwa
103	Rongpo	the knee	112	1371	101	knee	546718	gh u nn ɔ	ghunnɔ
104	Rongpo	the lake	113	624	31	lake	546828	jh iː l	jhi:l
105	Rongpo	the leaf	114	628	376	leaf of a plant	547197	p aː t	pa:t
106	Rongpo	the lip (the lips)	115	478	85	lips	547531	th o u	thou, thol
107	Rongpo	the liver	116	1224	145	liver	546484	ch i n p a	chinpa
108	Rongpo	the louse	117	1392	356	louse	547345	rh iː g	rhi:g
109	Rongpo	the lung	118	688	143	lungs	547005	l u a	lua
110	Rongpo	the man (male human)	119	2106	173	male	546487	ch o rs o	chorso
111	Rongpo	the meat	120	634	443	meat, flesh	547453	ʃ a	ʃa
112	Rongpo	the moon	121	1313	4	moon	546806	j o n	jon
113	Rongpo	the mosquito	122	1509	360	mosquito	547087	m ə ch ə r	məchər
114	Rongpo	the mother	123	1216	219	mother	546256	aː m a	a:ma
115	Rongpo	the mountain	124	639	23	mountain, a big rock	547196	p aː ɽ	pa:R
116	Rongpo	the mouse or rat	125	2139	320	rat, mouse	547132	n i b c a	nibca
117	Rongpo	the mud	127	640	46	mud	546743	h i l ɔ	hilɔ
118	Rongpo	the nail (fingernail or claw)	128	2128	113	finger nail	547150	n ə ŋ	nəŋ
119	Rongpo	the name	129	1405	687	name	547103	mh i n	mhin
120	Rongpo	the neck	130	1333	89	nape of the neck	547094	m ə ɽ g i n i	məRgini, məNgini
121	Rongpo	the needle (for sewing)	131	1382	578	needle	546910	kh e b	kheb
122	Rongpo	the nose	133	1221	80	nose	547166	nh i m c i	nhimci
123	Rongpo	the pig	135	1337	284	pig	547404	s ũ ŋ ə r	sũŋər
124	Rongpo	the rain	136	658	10	rain	546311	b a r kh a	barkha
125	Rongpo	the rice plant	138	2026	439	rice	546657	g a	ga
126	Rongpo	the river	139	666	30	river	546698	g ə ɽ ə m	gəRəm
127	Rongpo	the road	140	667	38	path, way, road	546237	a m c a	amca
128	Rongpo	the root	141	670	375	root	546822	j ɔ ɽ o	jɔRo ~ jəRɔ
129	Rongpo	the rope	142	1218	619	rope	547306	r ə ss i	rəssi
130	Rongpo	the rope	142	1218	619	rope	547516	th a g p a	thagpa
131	Rongpo	the salt	143	1274	61	salt	546467	ch a	cha
132	Rongpo	the sand	144	671	44	sand	546307	b aː w o	ba:wo
133	Rongpo	the sea	145	1474	32	sea	547433	s ə m u n d ə r	səmundər
134	Rongpo	the seed	146	714	405	seed	547216	p i j a g	pijag
135	Rongpo	the sheep	147	1331	275	sheep	547048	m a	ma
136	Rongpo	the shit	148	676	151	defecate	546252	aː k a _ kh y ə r	a:ka khyər-
137	Rongpo	the shoulder	149	1482	90	shoulder	546846	k aː n	ka:n
138	Rongpo	the shoulder	149	1482	90	shoulder	546891	k ə n dh a	kəndha
139	Rongpo	the sickle	150	341	624	sickle	547425	s ə d	səd
140	Rongpo	the skin	151	763	120	skin	546415	c aː m	ca:m
141	Rongpo	the skin	151	763	120	skin	547004	l o t ɔ	lotɔ
142	Rongpo	the sky	152	1732	1	sky	546251	aː g aː s	a:ga:s, aga:s
143	Rongpo	the smoke	153	778	19	smoke	546937	kh u	khu
144	Rongpo	the snake	154	730	347	big snake	547107	n aː g	na:g
145	Rongpo	the snow	155	784	12	snow	546246	a ŋ	aŋ
146	Rongpo	the son	156	1620	220	son	546470	ch e r i	cheri
147	Rongpo	the spider	158	843	361	spider	547044	m a k ɽ a	makRa
148	Rongpo	the star	159	1430	5	star	547473	t aː r a	ta:ra
149	Rongpo	the stick	160	1295	586	stick	546797	j ã ʈh i	jãThi
150	Rongpo	the stone (a piece of)	161	857	379	stone	547593	u ŋ	uŋ
151	Rongpo	the sun	162	1343	2	sun	547137	n i	ni
152	Rongpo	the tail	163	1220	267	tail	547229	p u c ə ɽ i	pucəRi
153	Rongpo	the thigh	164	800	100	thigh	547501	t ɔ ɽ o	tɔRo
154	Rongpo	the tiger	166	846	304	tiger	546298	b aː g	ba:g
155	Rongpo	the tongue	167	1205	139	tongue	546803	j i b ə ɽ o	jibəRo
156	Rongpo	the tooth (front)	168	1380	137	tooth	547369	s a g	sag
157	Rongpo	the tree	169	906	372	tree	546616	ɖ a l o	Dalo
158	Rongpo	the water	170	948	47	water	547495	t i	ti
159	Rongpo	the wheat	171	1077	410	wheat	546781	j ə d	jəd
160	Rongpo	the wife	172	1199	248	wife	547581	u ms ə r i	umsəri
161	Rongpo	the wind	173	960	9	wind	546286	b ə t ɔ̃	bətɔ̃
162	Rongpo	the woman	176	962	174	female	546485	ch o r m i	chormi
163	Rongpo	the wood (material)	177	1803	511	wood	547390	s i ŋ	siŋ
164	Rongpo	the year	178	1226	777	year	547358	s aː l	sa:l
165	Rongpo	the year	178	1226	777	year	547614	y ũ	yũ
166	Rongpo	there	179	1937	950	there	546555	d ɔ	dɔ
167	Rongpo	thin (object)	181	2307	981	fasten	546895	k ə s	kəs-
168	Rongpo	this	182	1214	942	this	546606	dh i	dhi
169	Rongpo	thou [second person singular]	183	1215	931	2sg	546695	g ə n	gən
170	Rongpo	three	184	492	799	three	547413	s u m	sum
171	Rongpo	to be alive	185	1422	1087	sit, live, be	546746	h u ŋ	huŋ-, hunc-, hun-, hum-
172	Rongpo	to blow (of wind)	187	175	1738	blow, sound of something falling	546642	ɖh ə m aː k	Dhəma:k
173	Rongpo	to burn [intransitive]	188	1428	1269	burn	547015	l y ə _ l y aː c	lyə- lya:c-
174	Rongpo	to buy	189	1869	1516	buy	546488	ch ɔ̃	chɔ̃-
175	Rongpo	to chew	190	321	1424	chew	546405	c ə b a _ c ə p a	cəba- cəpa-
176	Rongpo	to come	191	1446	1491	come	547340	rh a	rha-
177	Rongpo	to count	192	1420	1640	count	546687	g ɔ ɳ	gɔN-
178	Rongpo	to cry (weep)	193	1420	1485	count	546687	g ɔ ɳ	gɔN-
179	Rongpo	to die	194	1494	1651	die, extinguish	547391	s i s	sis-, sisc-
180	Rongpo	to dig	195	1418	1698	dig	546959	kh ɔ ɳ	khɔN-
181	Rongpo	to drink	196	1401	1370	drink	547505	t ũ	tũ-
182	Rongpo	to eat	197	1336	1198	eat	546776	j ə	jə-
183	Rongpo	to fly (move through air)	201	1441	1318	fly	547574	uː ɽ	u:R-
184	Rongpo	to forget	202	1523	1704	forget	546329	b i s ə r	bisər-
185	Rongpo	to give	203	1447	1345	give (to 2nd and 3rd person)	546587	dh aː	dha:-
186	Rongpo	to hear	204	1408	1682	hear	547620	y ə n _ y ə m	yən- yəm-
187	Rongpo	to hold	206	1448	1709	hold, keep	547550	ʈ iː k	Ti:k-
188	Rongpo	to hunt	207	1435	1230	hunt, rush	546574	dh ə d y aː	dhədya:-
189	Rongpo	to kill	208	1417	1602	kill, extinguish	547368	s a d	sad-, sap-
190	Rongpo	to knead	209	274	1594	knead	547176	o l	ol-
191	Rongpo	to know (something)	210	1410	1398	know	546793	j aː ɳ	ja:N-
192	Rongpo	to know (something)	210	1410	1398	know	547441	s ə s	səs-
193	Rongpo	to laugh	211	1355	1735	laugh	547352	rh ə b	rhəb, rhəc-
194	Rongpo	to learn	212	504	1742	learn	547536	th u s	thus-
195	Rongpo	to lick	213	319	1674	lick	546417	c aː ʈ	ca:T-
196	Rongpo	to lick	213	319	1674	lick	546447	c y a ŋ	cyaŋ-
197	Rongpo	to lie down	214	215	1661	lie down	546350	b u ə l	buəl-
198	Rongpo	to plant (vegetals, rice)	216	1486	1774	plant	547330	r o p	rop-
199	Rongpo	to pull	218	1455	1568	pull	546961	kh ɛ̃ c	khɛ̃c-
200	Rongpo	to pull	218	1455	1568	pull	547032	lh ə s o ɽ	lhəsoR-
201	Rongpo	to pull	218	1455	1568	pull	547328	r o ŋ	roŋ-
202	Rongpo	to push	219	1452	1689	push	546577	dh ə kk aː	dhəkka:-
203	Rongpo	to reside (live)	220	1099	1452	sit, live, be	546746	h u ŋ	huŋ-, hunc-, hun-, hum-
204	Rongpo	to run	221	1519	1544	run, go away	546374	bh aː j	bha:j-
205	Rongpo	to run	221	1519	1544	run	546355	b y ɛ̃	byɛ̃-
206	Rongpo	to scratch	222	1436	1530	scrape	546945	kh y o	khyo-
207	Rongpo	to see	223	1409	1471	see (imp. sg.)	546856	k a n	kan-
208	Rongpo	to shoot (an arrow)	224	1172	1611	seed, sprout	546875	k u aː ɽ a	kua:Ra
209	Rongpo	to sing	225	1261	1184	sing a song	546724	gh ə s _ l ə g aː	ghəs ləga:-
210	Rongpo	to sleep	226	1585	1646	sleep	546666	g u c	guc-
211	Rongpo	to smell (perceive odor) [transitive]	227	1586	1707	smell	547407	s uː ŋ	su:ŋ-
212	Rongpo	to sow (broadcast, scatter seeds)	228	748	1597	to sow, to plough	546344	b uː t	bu:t-
213	Rongpo	to spit	229	1440	1688	spit	547532	th uː g	thu:g-
214	Rongpo	to stand	230	1442	1784	stand	547567	ʈh a ɳ o _ h w ə ŋ	ThaNo hwəŋ-
215	Rongpo	to think (reflect)	232	1415	1726	think	547398	s ɔ̃ c	sɔ̃c-
216	Rongpo	to throw	233	1456	1687	throw	547160	nh a r	nhar-
217	Rongpo	to walk	235	1443	1815	walk	547612	y ũ	yũ-
218	Rongpo	to walk	235	1443	1815	go	546540	d i	di-
219	Rongpo	to wipe	236	1454	1163	wipe	547062	m i ʈ aː	miTa:-
220	Rongpo	to wipe	236	1454	1163	wipe	547388	s i g	sig-
221	Rongpo	today	237	1283	738	today	547520	th a n	than
222	Rongpo	tomorrow	238	1329	742	tomorrow	547178	o r o	oro, orɔ
223	Rongpo	twenty	239	1710	816	twenty	546317	b iː s	bi:s
224	Rongpo	two	240	1498	798	two	547164	nh iː s	nhi:s
225	Rongpo	we [first person plural inclusive]	241	1131	930	we (agentive form)	546767	i n j ə	injə
226	Rongpo	wet	242	1726	1029	wet	547524	th iː d ə	thi:də
227	Rongpo	what	243	1236	954	what	546944	kh y e	khye
228	Rongpo	where	244	1237	955	where	546672	g u	gu
229	Rongpo	white	245	1335	1006	white	547382	s iː d ə	si:də
230	Rongpo	who	246	1235	953	who (sg. agentive)	546705	gh o j ə	ghojə
231	Rongpo	yellow	247	1424	1008	yellow	547029	lh e d ə	lhedə
232	Rongpo	yesterday	248	1174	739	yesterday	547145	n y aː r	nya:r
233	Rongpo	young	250	1207	1059	young	547455	ʃ ə r b a	ʃərba
