ID	DOCULECT	CONCEPT	CONCEPTID	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	RGEN	TOKENS	IPA
125	Byangsi	the rope	142	1218	619	rope	541863	j a ŋ	jaŋ
126	Byangsi	the salt	143	1274	61	salt	542577	tsh àː	tshà:
127	Byangsi	the sand	144	671	44	sand	541554	b a l w aː	balwa:
128	Byangsi	the sea	145	1474	32	sea	542356	s a m u n d r o	samundro
129	Byangsi	the seed	146	714	405	seed	542213	p i j ɛ	pijɛ
130	Byangsi	the sheep	147	1331	275	sheep	542044	m aː m l aː	ma:mla:
131	Byangsi	the shoulder	149	1482	90	shoulder	542309	r ɔ ŋ	rɔŋ
132	Byangsi	the sickle	150	341	624	sickle	541526	a kh a n	akhan
133	Byangsi	the skin	151	763	120	skin	541571	b ɛ	bɛ
134	Byangsi	the sky	152	1732	1	sky; blue	542464	t i m b u	timbu
135	Byangsi	the smoke	153	778	19	smoke	541969	kh ù	khù
136	Byangsi	the snake	154	730	347	snake	541939	kh a b u	khabu
137	Byangsi	the snow	155	784	12	snow	542343	h r ɔ	hrɔ
138	Byangsi	the son	156	1620	220	boy, son	542411	ʃ i r i	ʃiri
139	Byangsi	the star	159	1430	5	star	541907	k a r m aː	karma:
140	Byangsi	the stick	160	1295	586	stick	541702	d u l i	duli
141	Byangsi	the stone (a piece of)	161	857	379	stone	542595	u ŋ	uŋ
142	Byangsi	the sun	162	1343	2	sun	542181	n̺ i	n5i
143	Byangsi	the tail	163	1220	267	tail	542239	p ə ch n i	pəchni
144	Byangsi	the thigh	164	800	100	thigh	541984	l a k ʃ y aː	lakʃya:
145	Byangsi	the thunder	165	1150	8	thunder, dragon	542089	m u k n aː	mukna:
146	Byangsi	the tiger	166	846	304	tiger	542599	w a	wa
147	Byangsi	the tongue	167	1205	139	tongue	541857	j a b l y e	jablye
148	Byangsi	the tooth (front)	168	1380	137	tooth	542370	s ò	sò
149	Byangsi	the water	170	948	47	water	542459	t i	ti
150	Byangsi	the wheat	171	1077	410	wheat	542288	r a j ɛ	rajɛ
151	Byangsi	the wife	172	1199	248	wife	542339	h r i th i ʃ y aː	hrithiʃya:
152	Byangsi	the wind	173	960	9	wind	542123	n ə l a n	nəlan
153	Byangsi	the wood (material)	177	1803	511	wood	542409	ʃ i n	ʃin
154	Byangsi	the year	178	1226	777	this year	542497	th a n ʃ i n	thanʃin
155	Byangsi	there	179	1937	950	there	541536	a t i kh o	atikho
156	Byangsi	there	179	1937	950	there	541534	a t ɛ	atɛ
157	Byangsi	thick	180	1244	980	thick (liquid)	542270	ph o t e	phote
158	Byangsi	thin (object)	181	2307	981	thin (round shape)	541985	l a k t ɛ	laktɛ
159	Byangsi	this	182	1214	942	these (used for human beings)	541521	a i m a ŋ	aimaŋ
160	Byangsi	thou [second person singular]	183	1215	931	2sg. you	541771	g a n	gan
161	Byangsi	three	184	492	799	three	542381	s ə m	səm
162	Byangsi	to be alive	185	1422	1087	alive	542529	t̺ a ŋ d e	t5aŋde
163	Byangsi	to bite	186	1403	1753	pinch, bite	541607	c e m o	cemo
164	Byangsi	to burn [intransitive]	188	1428	1269	burn, ignite	541622	c ı̀ mm o	cı̀mmo
165	Byangsi	to buy	189	1869	1516	stop; understand; buy	542479	t o m o	tomo
166	Byangsi	to chew	190	321	1424	chew (something which is something hard)	542194	p à c m o	pàcmo
167	Byangsi	to come	191	1446	1491	come	542280	r aː m o	ra:mo
168	Byangsi	to count	192	1420	1640	count	541840	h y ɔ ŋ m o	hyɔŋmo
169	Byangsi	to cry (weep)	193	1420	1485	count	541840	h y ɔ ŋ m o	hyɔŋmo
170	Byangsi	to die	194	1494	1651	die, be extinguished	541825	h i c i m o	hicimo
171	Byangsi	to dig	195	1418	1698	dig, scratch	541929	k w à m o	kwàmo
172	Byangsi	to drink	196	1401	1370	drink	542487	t u ŋ ◦ m o	tuŋ◦mo
173	Byangsi	to eat	197	1336	1198	eat	541736	dz aː m o	dza:mo
174	Byangsi	to fight	198	1423	1234	fight	541689	d a k ʃ i m o	dakʃimo
175	Byangsi	to float	199	1574	1553	float	541841	h y uː m o	hyu:mo
176	Byangsi	to flow	200	2003	1502	flow, be opened	541578	b ɔ m o	bɔmo
177	Byangsi	to fly (move through air)	201	1441	1318	fly	542252	ph a ŋ m o	phaŋmo
178	Byangsi	to forget	202	1523	1704	forget	542015	l ɔ ◦ ʃ i ◦ m o	lɔ◦ʃi◦mo
179	Byangsi	to give	203	1447	1345	give	541688	d aː m o	da:mo
180	Byangsi	to hear	204	1408	1682	hear, agree, accept	542316	r u ŋ ʃ i m o	ruŋʃimo
181	Byangsi	to hide (conceal)	205	602	1169	hide	541638	c y aː m o	cya:mo
182	Byangsi	to kill	208	1417	1602	kill, extinguish	542355	s à m o	sàmo
183	Byangsi	to knead	209	274	1594	knead	541705	d u m o	dumo
184	Byangsi	to know (something)	210	1410	1398	lick; know	541989	l aː m o	la:mo
185	Byangsi	to laugh	211	1355	1735	laugh	541838	h y e m o	hyemo
186	Byangsi	to learn	212	504	1742	learn	542031	h l a b ʃ i m o	hlabʃimo
187	Byangsi	to lick	213	319	1674	lick; know	541989	l aː m o	la:mo
188	Byangsi	to play	217	1413	1703	play	541994	l a ŋ m o	laŋmo
189	Byangsi	to pull	218	1455	1568	pull	542135	n o m o	nomo
190	Byangsi	to push	219	1452	1689	strike a match; push	542547	t̺h aː m o	t5ha:mo
191	Byangsi	to reside (live)	220	1099	1452	live, stay	542126	n i m o	nimo
192	Byangsi	to run	221	1519	1544	run	541861	j a ŋ m o	jaŋmo
193	Byangsi	to scratch	222	1436	1530	dig, scratch	541929	k w à m o	kwàmo
194	Byangsi	to see	223	1409	1471	see, be found	542468	t i ŋ m o	tiŋmo
195	Byangsi	to sing	225	1261	1184	sing	542476	t o c m o	tocmo
196	Byangsi	to sleep	226	1585	1646	sleep	542621	y aː ◦ m o	ya:◦mo
197	Byangsi	to smell (perceive odor) [transitive]	227	1586	1707	smell	542154	h n i mm o	hnimmo
198	Byangsi	to sow (broadcast, scatter seeds)	228	748	1597	sow	542640	y e b m o	yebmo
199	Byangsi	to spit	229	1440	1688	spit	542490	th ə b m o	thəbmo
200	Byangsi	to stand	230	1442	1784	stand	542622	y a b m o	yabmo
201	Byangsi	to steal	231	713	1686	steal	541960	kh uː m o	khu:mo
202	Byangsi	to think (reflect)	232	1415	1726	think	541621	c ı̀ c i m o	cı̀cimo
203	Byangsi	to throw	233	1456	1687	throw (stone, etc.)	541935	k ə ŋ m ɔ	kəŋmɔ, kəmmɔ
204	Byangsi	to vomit	234	1278	1535	vomit	542013	l ɔ ŋ m o	lɔŋmo
205	Byangsi	to walk	235	1443	1815	go	541712	d y e m o	dyemo
206	Byangsi	to walk	235	1443	1815	walk	542645	y e n ʃ i m o	yenʃimo
207	Byangsi	to wipe	236	1454	1163	apply something, wipe	542403	ʃ ı̀ m o	ʃı̀mo
208	Byangsi	today	237	1283	738	today	542511	th i n j aː	thinja:
209	Byangsi	tomorrow	238	1329	742	tomorrow	541653	ch a n a n	chanan
210	Byangsi	twenty	239	1710	816	twenty	542120	n a ss aː	nassa:
211	Byangsi	two	240	1498	798	two	542116	n a ʃ ɛ	naʃɛ
212	Byangsi	we [first person plural inclusive]	241	1131	930	1sg, I, me	541874	j e	je
213	Byangsi	wet	242	1726	1029	wet, watery	542509	th iː t ɛ	thi:tɛ
214	Byangsi	where	244	1237	955	where	542592	u l o	ulo
215	Byangsi	white	245	1335	1006	white	542399	ʃ iː d ɛ	ʃi:dɛ
216	Byangsi	who	246	1235	953	who	542593	u n aː	una:
217	Byangsi	yellow	247	1424	1008	yellow	542025	l y e d ɛ	lyedɛ
218	Byangsi	yesterday	248	1174	739	yesterday	542140	n y aː r ɛ	nya:rɛ
219	Byangsi	you [second person plural]	249	1213	933	2pl. you	541768	g a n i	gani
